label_id,label
0,ambohimanga
1,royal
2,imerina
3,antananarivo
4,sites
5,sacred
6,rova
7,capital
8,king
9,kingdom
10,antarctic
11,continent
12,antarctica
13,banff
14,national park
15,national
16,park
17,capon
18,capon chapel
19,chapel
20,church
21,methodist
22,cemetery
23,worship
24,bridge
25,truss
26,whipple
27,truss bridge
28,whipple truss
29,whipple truss bridge
30,capon lake
31,capon lake whipple
32,capon lake whipple truss
33,expedition
34,exploration
35,earth
36,years
37,life
38,billion
39,sun
40,wright
41,mercator
42,latitude
43,first
44,globes
45,molyneux
46,everglades
47,ecosystems
48,florida
49,water
50,ireland
51,island
52,climate
53,warming
54,global warming
55,change
56,climate change
57,effects
58,global
59,temperature
60,surface
61,changes
62,hebron
63,lutheran church
64,lutheran
65,hebron church
66,congregation
67,west
68,germany
69,inner german
70,inner german border
71,german border
72,german
73,border
74,berlin
75,inner
76,east
77,literary
78,romney
79,society
80,literary hall
81,library
82,building
83,west virginia
84,romney literary
85,romney literary society
86,literary society
87,minnesota
88,states
89,state
90,oklahoma
91,territory
92,pine church
93,old pine
94,old pine church
95,pine
96,old
97,hakluyt
98,english
99,hues
100,observations
101,sea
102,ocean
103,also
104,valley view
105,south branch
106,house
107,view
108,south branch potomac
109,south branch potomac river
110,branch potomac
111,branch potomac river
112,potomac river
113,valley
114,virginia
115,commonwealth
116,falls
117,waterfalls
118,named
119,ricketts
120,glens
121,glen
122,creek
123,area
124,part
125,abyssal
126,plains
127,abyssal plains
128,oceanic
129,adriatic
130,italy
131,eastern coast
132,coast
133,mediterranean
134,eastern
135,along
136,hotspot
137,plume
138,anahim
139,anahim hotspot
140,volcanic
141,antofalla
142,formed
143,volcano
144,ripple
145,ripple marks
146,marks
147,caldera
148,water geysers
149,geysers
150,co2
151,cold
152,justices
153,court
154,deserts
155,sand
156,desert
157,arid
158,england
159,united
160,united kingdom
161,great britain
162,britain
163,great
164,north
165,galán
166,names
167,turkish
168,croatia
169,country
170,basin
171,kilometres
172,dinaric
173,dinaric alps
174,alps
175,pannonian
176,newfoundland
177,province
178,labrador
179,county
180,hills
181,bristol
182,somerset
183,cressey
184,university
185,maps
186,geyser
187,eruptions
188,due
189,google
190,google earth
191,users
192,program
193,various
194,providence
195,point
196,high desert
197,region
198,oregon
199,high
200,hong kong
201,kong
202,hong
203,world
204,china
205,one
206,activity
207,range
208,itcha range
209,itcha
210,shield
211,mountain
212,lebanese
213,johor
214,malay peninsula
