,country,label_id,label,tfidf,pmi
0,4,1941,alcoholic drinks,0.0244056599458926,0.12331750907567718
1,1,385,edible plants,0.021406509001798083,0.06814170327476875
2,2,242,cuisine,0.021356312713822816,0.05264564276657345
3,6,69,nutrition,0.020801037019673726,0.08132839518117059
4,0,760,cookbooks,0.020320770590205522,0.16918848316764937
5,4,1957,alcoholic drinks by country,0.020239301845431268,0.10666474747940305
6,2,287,cuisine by country,0.019743152408893783,0.04664739135071537
7,6,1424,health,0.019240527863323927,0.07898119376701075
8,2,262,food and drink by country,0.019108126265112806,0.04787622770266428
9,4,2188,fermented drinks,0.018851390354116152,0.09750809008328268
10,2,298,culture by country,0.018635693108962893,0.0463594768608704
11,2,199,cuisine by continent,0.018516690314538575,0.05102432413724583
12,1,420,plants and humans,0.018400792773659396,0.0660983551259711
13,6,8,food politics,0.018371600798528655,0.07541430114527478
14,2,231,cuisine by region,0.018088928635001937,0.04791097422742859
15,6,1218,branches of biology,0.017917065828439546,0.08222856144556098
16,6,3,food and drink,0.01745923286999936,0.0450361388949108
17,2,392,prepared foods by main ingredient,0.01727667005408362,0.05089379630829263
18,4,2193,alcohol,0.017095041611043624,0.0967104835777277
19,1,687,flora by continent,0.016958036041116297,0.0656948979037316
20,2,340,asian cuisine,0.016826957294778913,0.04609618879878134
21,6,36,food science,0.016772501597372157,0.06845192620691029
22,1,178,ethnobotany,0.016503764670151008,0.06303473220117868
23,1,210,types of food,0.016076590921345592,0.055345614875124655
24,0,804,british cuisine,0.01601779404738712,0.0881334592382751
25,6,1521,determinants of health,0.015993679788273145,0.0746897565512789
26,0,923,handbooks and manuals by subject,0.015992847987147348,0.17584217891395612
27,4,2182,drug culture,0.01594438482075876,0.08776784437802385
28,0,933,books by type,0.015939270517867057,0.17416349462838135
29,4,2958,beer,0.0158424520281522,0.09954134727049588
30,4,2181,drinking culture,0.015824456642691432,0.08876049649773098
31,1,367,vegan cuisine,0.015803798295567613,0.05319804755710475
32,0,916,books about food and drink,0.015682222498055853,0.166228939064446
33,1,1659,flora by country,0.015617257910986749,0.06294322866458091
34,1,694,plant products,0.015580847759060166,0.05748867852675239
35,4,1177,drinks,0.015505919321427449,0.07086373448069128
36,2,83,foods,0.015440434096273702,0.036471659429858895
37,1,423,crops,0.015221583406367447,0.05939715888400705
38,1,180,categories by continent,0.015161589423066162,0.057564993067370215
39,2,191,european cuisine,0.014993747115205205,0.04497016038326388
40,0,919,works about cooking,0.014919744111400802,0.1439339334305558
41,4,1939,distilled drinks,0.014880828916624247,0.09692723632764587
42,0,925,works about food and drink,0.014682456310104446,0.13043751967264716
43,6,6,food additives,0.014608818566917836,0.06573542339487358
44,4,98,beer by country,0.014404958988966968,0.09358194676899287
45,0,788,english culture,0.01405964210231018,0.12783321565191255
46,6,79,food industry,0.013982523839862338,0.03803076706830491
47,0,924,books by year,0.013968383381339183,0.17759823961308005
48,6,34,chemical substances by use,0.013709566428651886,0.063557181022175
49,0,828,agriculture in england,0.013676432102117402,0.13193943897800947
50,5,296,food product brands,0.013445469557200995,0.04403294976890042
51,5,1906,brands,0.013227758607771123,0.044724650307440376
52,5,539,companies by year of establishment,0.012888925648109202,0.04264782119764136
53,5,1898,brands by company,0.01082461693847066,0.04096222113804207
54,5,2514,food and drink companies by country,0.010613380385567198,0.03925762511687724
55,5,1900,categories by company,0.010242611735543796,0.03831530063908357
56,5,2702,product introductions by century,0.010016882535771618,0.039386531317463835
57,5,513,companies by industry and year of establishment,0.009944012995748487,0.029471233317998235
58,5,1879,food and drink companies by time,0.009890543883964296,0.03942713465477022
59,5,1905,food and drink companies by century of establishment,0.009890543883964296,0.03942713465477022
60,3,529,restaurants by year of establishment,0.008841342021951654,0.026023462689019453
61,3,540,restaurants by time,0.008841342021951654,0.026023462689019453
62,3,562,restaurants by century of establishment,0.008821714174244596,0.025978924395884114
63,3,569,restaurants by type,0.008442331000479576,0.02478601460219556
64,3,473,restaurants,0.008161569404661189,0.023937501138608815
65,3,565,restaurants in the united states,0.007889262061393556,0.023772580338338935
66,3,798,years,0.00787660483884586,0.0226838574315474
67,3,778,births by decade,0.007823853643309613,0.023123047541575646
68,3,515,food and drink companies by year of establishment,0.00744415938409556,0.020286011951107043
69,3,537,restaurants established in the 20th century,0.007432530148257645,0.022736013394477457
