,Unnamed: 0,alg,country,h_cat,key_phrases,key_words,kmeans_augmented,label,lda,links,pmi,tfidf
0,0,kmeans_augmented,0,1.0,0.0,0.0,1,food politics,0.0,0.0,0.07706224011288977,0.01918128001940493
1,1,kmeans_augmented,0,1.0,0.0,0.0,1,nutrition,0.0,0.0,0.07407089388870705,0.01884807877404647
2,2,kmeans_augmented,0,1.0,0.0,0.0,1,health,0.0,0.0,0.07365947683228613,0.01768628256283448
3,3,kmeans_augmented,0,1.0,0.0,0.0,1,food additives,0.0,0.0,0.07450862172731547,0.01693739713738491
4,4,kmeans_augmented,0,1.0,0.0,0.0,1,food and drink,0.0,0.0,0.043500741139751366,0.016908635085539362
5,5,kmeans_augmented,0,1.0,0.0,0.0,1,branches of biology,0.0,0.0,0.07416583628634264,0.01614358228369917
6,6,kmeans_augmented,0,1.0,0.0,0.0,1,food science,0.0,0.0,0.06147901410465216,0.015383717383560643
7,7,kmeans_augmented,0,1.0,0.0,0.0,1,chemical substances by use,0.0,0.0,0.06931667712761429,0.015166416066972756
8,8,kmeans_augmented,0,1.0,0.0,0.0,1,organic compounds,0.0,0.0,0.07147035303055073,0.014345857663629353
9,9,kmeans_augmented,0,1.0,0.0,0.0,1,determinants of health,0.0,0.0,0.0669832509328566,0.014197789436722081
10,10,kmeans_augmented,1,1.0,0.0,0.0,1,cuisine,0.0,0.0,0.04373120367997796,0.01856050509836678
11,11,kmeans_augmented,1,1.0,0.0,0.0,1,cuisine by country,0.0,0.0,0.042417164817178006,0.01847822534895653
12,12,kmeans_augmented,1,1.0,0.0,0.0,1,food and drink by country,0.0,0.0,0.03976290802330852,0.016612040984488062
13,13,kmeans_augmented,1,1.0,0.0,0.0,1,culture by country,0.0,0.0,0.03923938843932685,0.016576323421510643
14,14,kmeans_augmented,1,1.0,0.0,0.0,1,cuisine by region,0.0,0.0,0.040068104384135175,0.01611750113049635
15,15,kmeans_augmented,1,1.0,0.0,0.0,1,cuisine by continent,0.0,0.0,0.040416676154462976,0.015714761574180898
16,16,kmeans_augmented,1,1.0,0.0,0.0,1,prepared foods by main ingredient,0.0,0.0,0.04152454610607399,0.015288216719368978
17,17,kmeans_augmented,1,1.0,0.0,0.0,1,european cuisine by country,0.0,0.0,0.038012613503758334,0.014741402117337588
18,18,kmeans_augmented,1,1.0,0.0,0.0,1,asian cuisine,0.0,0.0,0.03556323698282838,0.01375496827773642
19,19,kmeans_augmented,1,1.0,0.0,0.0,1,foods,0.0,0.0,0.031796412012216786,0.013751870762509524
20,20,kmeans_augmented,2,1.0,0.0,0.0,1,births by decade,0.0,0.0,0.04858006611585158,0.011184037806178423
21,21,kmeans_augmented,2,1.0,0.0,0.0,1,years,0.0,0.0,0.04400054279504647,0.01083062138985565
22,22,kmeans_augmented,2,1.0,0.0,0.0,1,20th-century births,0.0,0.0,0.05032330535702899,0.01067767116588727
23,23,kmeans_augmented,2,1.0,0.0,0.0,1,people,0.0,0.0,0.04781708804980328,0.009413457686809084
24,24,kmeans_augmented,2,1.0,0.0,0.0,1,survivors,0.0,0.0,0.04811564629187248,0.009352094075075494
25,25,kmeans_augmented,2,1.0,0.0,0.0,1,living people,0.0,0.0,0.04811564629187248,0.009352094075075494
26,26,kmeans_augmented,2,1.0,0.0,0.0,1,people by status,0.0,0.0,0.04811564629187248,0.009352094075075494
27,27,kmeans_augmented,2,1.0,0.0,0.0,1,victims,0.0,0.0,0.04811564629187248,0.009352094075075494
28,28,kmeans_augmented,2,1.0,0.0,0.0,1,life,0.0,0.0,0.04588117355385983,0.009221204019582442
29,29,kmeans_augmented,2,1.0,0.0,0.0,1,nature,0.0,0.0,0.04518176542041684,0.009062157945007554
30,30,kmeans_augmented,3,1.0,0.0,0.0,1,companies by industry and year of establishment,0.0,0.0,0.03379536947498805,0.012073334151378406
31,31,kmeans_augmented,3,1.0,0.0,0.0,1,food product brands,0.0,0.0,0.031695466268059226,0.010679388224702059
32,32,kmeans_augmented,3,1.0,0.0,0.0,1,food and drink companies by year of establishment,0.0,0.0,0.030863128952347763,0.01051320440853211
33,33,kmeans_augmented,3,1.0,0.0,0.0,1,brands,0.0,0.0,0.031551606288448386,0.010387318513913028
34,34,kmeans_augmented,3,1.0,0.0,0.0,1,establishments in the united states by year,0.0,0.0,0.030695843382040008,0.009968341022904965
35,35,kmeans_augmented,3,1.0,0.0,0.0,1,brands by product type,0.0,0.0,0.0322168829331393,0.009966146469777157
36,36,kmeans_augmented,3,1.0,0.0,0.0,1,companies established in the 20th century,0.0,0.0,0.03067152791675005,0.009932542609305343
37,37,kmeans_augmented,3,1.0,0.0,0.0,1,companies by year of establishment,0.0,0.0,0.03019701228579767,0.00988108976059863
38,38,kmeans_augmented,3,1.0,0.0,0.0,1,establishments in the united states by state,0.0,0.0,0.030456826708919405,0.009700693556244236
39,39,kmeans_augmented,3,1.0,0.0,0.0,1,food and drink companies established in the 20th century,0.0,0.0,0.028689787227404614,0.008994154758193589
40,40,kmeans_augmented,4,1.0,0.0,0.0,1,alcoholic drinks by country,0.0,0.0,0.0939387476190363,0.021283537585553132
41,41,kmeans_augmented,4,1.0,0.0,0.0,1,alcoholic drinks,0.0,0.0,0.08782255591771182,0.02058959858913212
42,42,kmeans_augmented,4,1.0,0.0,0.0,1,fermented drinks,0.0,0.0,0.08373093884625524,0.019332802272801184
43,43,kmeans_augmented,4,1.0,0.0,0.0,1,wine,0.0,0.0,0.07305147446342633,0.015662085690639243
