label_id,label
0,company
1,medium
2,network
3,channel
4,use
5,service
6,tv
7,system
8,television
9,time
10,new
11,content
12,include
13,broadcast
14,video
15,radio
16,film
17,camera
18,information
19,launch
20,internet
21,base
22,program
23,station
24,digital
25,allow
26,datum
27,image
28,business
29,online
30,news
31,create
32,group
33,website
34,technology
35,produce
36,provide
37,advertising
38,user
39,market
40,product
41,air
42,programming
43,control
44,year
45,color
46,series
47,example
48,entertainment
49,support
50,site
51,consumer
52,format
53,signal
54,standard
55,light
56,world
57,begin
58,feature
59,show
60,release
61,record
62,bbc
63,host
64,sport
65,live
66,production
67,cbs
68,studio
69,nbc
70,like
71,form
72,music
73,design
74,picture
75,lens
76,country
77,call
78,american
79,social_medium
80,industry
81,software
82,offer
83,access
84,large
85,development
86,platform
87,marketing
88,later
89,day
90,international
91,award
92,process
93,type
94,sound
95,device
96,require
97,focus
98,line
99,announce
100,state
101,work
102,newspaper
103,write
104,journalist
105,report
106,story
107,government
108,people
109,issue
110,book
111,article
112,lead
113,press
114,own
115,coverage
116,russian
117,new_york_time
118,publish
119,child
120,public
121,fox
122,september
123,january
124,programme
125,abc
126,broadcasting
127,april
128,describe
129,man
130,life
131,claim
132,find
133,play
134,appear
135,author
136,know
137,take
138,case
139,song
140,accord
141,note
142,go
143,come
144,character
145,style
146,interview
147,law
148,national
149,political
150,journalism
151,russia
152,war
153,staff
154,reporting
155,reporter
156,official
157,ukraine
158,propaganda
159,united_state
160,editor
161,campaign
162,censorship
163,al_jazeera
164,editorial
165,washington_post
166,magazine
167,paper
168,woman
169,communication
170,study
171,publication
172,city
173,isbn
174,research
175,social
176,audience
177,culture
178,theory
179,society
180,individual
181,message
182,effect
183,cinema
184,art
185,influence
186,university
187,pp
188,idea
189,cultural
190,way
191,education
192,gender
193,role
194,celebrity
195,project
196,journal
197,mass_medium
198,encyclopedia
199,small
200,audio
201,frame
202,scene
203,display
204,usually
205,digital_camera
206,set
207,print
208,different
209,introduce
210,number
211,tape
212,sensor
213,develop
214,single
215,canada
216,found
217,daily
218,weekly
219,canadian
220,fm
221,sell
222,history
223,local
224,publisher
225,community
226,edition
227,circulation
228,serve
229,radio_station
230,english
231,french
232,acquire
233,reference
234,list
