,article_name,country,treatment
0,Bomis,0,LDA
1,FreeBSD,0,LDA
2,Hitachi Magic Wand,0,LDA
3,PlayStation,0,LDA
4,Rebel Heart Tour,0,LDA
5,Steam (software),0,LDA
6,Barcode,0,LDA
7,BlackBerry,0,LDA
8,Consumer Electronics Show,0,LDA
9,Dell,0,LDA
10,Google Play,0,LDA
11,IBM,0,LDA
12,IPod,0,LDA
13,IPod Nano,0,LDA
14,IPod Shuffle,0,LDA
15,ITunes,0,LDA
16,Microsoft,0,LDA
17,Microsoft Windows,0,LDA
18,Radio-frequency identification,0,LDA
19,Smart grid,0,LDA
20,Sony,0,LDA
21,Technological singularity,0,LDA
22,Unix,0,LDA
23,Video game,0,LDA
24,Zune,0,LDA
25,Acer Inc.,0,LDA
26,Active Directory,0,LDA
27,Altran,0,LDA
28,Amlogic,0,LDA
29,Apple Watch,0,LDA
30,Applications of artificial intelligence,0,LDA
31,Autonomous car,0,LDA
32,Avaya,0,LDA
33,BIOS,0,LDA
34,Bing (search engine),0,LDA
35,Biometrics,0,LDA
36,BlackBerry Limited,0,LDA
37,Bleacher Report,0,LDA
38,Blended learning,0,LDA
39,Blockchain,0,LDA
40,Brian Krzanich,0,LDA
41,CA Technologies,0,LDA
42,Citrix Systems,0,LDA
43,Computer,0,LDA
44,Computer data storage,0,LDA
45,Computer network,0,LDA
46,Decentralization,0,LDA
47,Dell EMC,0,LDA
48,Dell Technologies,0,LDA
49,Desktop computer,0,LDA
50,Disruptive innovation,0,LDA
51,Do it yourself,0,LDA
52,Educational technology,0,LDA
53,Electronic Data Systems,0,LDA
54,Electronic cigarette,0,LDA
55,Elon Musk,0,LDA
56,Emerging technologies,0,LDA
57,FieldTurf,0,LDA
58,Firmware,0,LDA
59,Fitbit,0,LDA
60,GPS navigation device,0,LDA
61,GSM,0,LDA
62,GameCube,0,LDA
63,General Electric,0,LDA
64,Google,0,LDA
65,Google Nexus,0,LDA
66,Graphical user interface,0,LDA
67,Graphing calculator,0,LDA
68,HBO Go,0,LDA
69,HP Inc.,0,LDA
70,HTTPS,0,LDA
71,Haptic technology,0,LDA
72,Hewlett-Packard,0,LDA
73,History of Google,0,LDA
74,History of video games,0,LDA
75,Huawei EMUI,0,LDA
76,Hyper-threading,0,LDA
77,Hyperloop,0,LDA
78,IBM Personal Computer,0,LDA
79,IBM System i,0,LDA
80,ICloud,0,LDA
81,IEEE 802.11ax,0,LDA
82,IOS,0,LDA
83,IPhone,0,LDA
84,IPhone 6S,0,LDA
85,IPod Classic,0,LDA
86,I Am Rich,0,LDA
87,Infineon Technologies,0,LDA
88,Information Age,0,LDA
89,Information and communication technologies for development,0,LDA
90,Information and communications technology,0,LDA
91,Information technology,0,LDA
92,Institute of Electrical and Electronics Engineers,0,LDA
93,Intellectual property,0,LDA
94,Internet Archive,0,LDA
95,Intuit,0,LDA
96,John McAfee,0,LDA
97,Just-in-time manufacturing,0,LDA
98,Laptop,0,LDA
99,Linux,0,LDA
100,Loon (company),0,LDA
101,MAN SE,0,LDA
102,MacOS,0,LDA
103,Magnetic stripe card,0,LDA
104,Media (communication),0,LDA
105,Microprocessor,0,LDA
106,Miracast,0,LDA
107,Mobile operating system,0,LDA
108,Mobile payment,0,LDA
109,Mobile phone,0,LDA
110,Mobile phone tracking,0,LDA
111,Mojibake,0,LDA
112,Motorola Mobility,0,LDA
113,Motorola Razr,0,LDA
114,Multi-core processor,0,LDA
115,Multimedia,0,LDA
116,National Institute of Standards and Technology,0,LDA
117,Network interface controller,0,LDA
118,Nexus 6P,0,LDA
119,Novell,0,LDA
120,OCLC,0,LDA
121,OS X Mavericks,0,LDA
122,OS X Yosemite,0,LDA
123,OnePlus One,0,LDA
124,Online advertising,0,LDA
125,Open-source hardware,0,LDA
126,Open defecation,0,LDA
127,Optical disc,0,LDA
128,Oracle Corporation,0,LDA
129,Pager,0,LDA
130,Pixel (smartphone),0,LDA
131,Planned obsolescence,0,LDA
132,PlayStation Vita,0,LDA
133,Post-it Note,0,LDA
134,Programmer,0,LDA
