label_id,label
0,Military equipment of the United Kingdom
1,Avionics
2,Military radars
3,World War II radars
4,Automation
5,Military electronics of the United Kingdom
6,World War II British electronics
7,Anti-aircraft warfare
8,Electronics
9,Military history of the United Kingdom during World War II
10,Science and technology during World War II
11,World War II military equipment of the United Kingdom
12,Radar
13,Aircraft radars
14,Spacecraft components
15,Aircraft instruments
16,World War II military equipment by country
17,Microwave technology
18,World War II electronics
19,World War II Allied electronics
20,Military radars of the United Kingdom
21,Military equipment of World War II
22,Military equipment of the United Kingdom by period
23,Wireless
24,World War II military equipment by type
25,Embedded systems
26,Military electronics
27,Technology systems
28,Electricity
29,Chemical equipment
30,Sound
31,Mechanics
32,Applied and interdisciplinary physics
33,Filtration
34,Electronic circuits
35,Tools
36,Aesthetics
37,Concepts by field
38,Physics
39,Mechanical engineering
40,Subfields by academic discipline
41,Filters
42,Telecommunications engineering
43,Electronic design
44,Filter theory
45,Concepts in physics
46,Subfields of physics
47,Design
48,Engineering
49,Structure
50,Recording devices
51,Signal processing
52,Sound technology
53,Linear filters
54,Sound recording technology
55,Engineering disciplines
56,Analog circuits
57,Signal processing filter
58,Electrical circuits
59,Computer engineering
60,Algorithms
61,Electrical engineering
62,Equipment
63,Technology by type
64,Visual arts
65,Sound recording
66,Electromechanical engineering
67,Electronic engineering
68,Electromagnetism
69,Recording
70,Control theory
71,Human activities
72,Spanish colonization of the Americas
73,Port cities and towns of the Pacific Ocean
74,Populated places in the United States
75,English colonization of the Americas
76,Municipalities in California
77,Counties
78,Second-level administrative country subdivisions
79,County seats of the United States
80,Establishments by type and year
81,History of the Rocky Mountains
82,County government in California
83,Populated places established in the 1770s
84,1850 establishments in North America
85,West Coast of the United States
86,1850 in California
87,Regions of California
88,Port cities and towns of the West Coast of the United States
89,Northern California
90,1776 establishments
91,County seats in California
92,Ports and harbors of the West Coast of the United States
93,Government of California by county
94,Populated places in North America
95,Spanish mission settlements in North America
96,British North America
97,Canadian folklore
98,New Spain
99,Cities in the San Francisco Bay Area
100,History of companies of Canada
101,Cities in the United States
102,Oregon Country
103,Colonial settlements in North America
104,Cities in the United States by metropolitan area
105,Commercial buildings in Canada
106,Establishments by year
107,Mergers of country subdivisions
108,Establishments in the United States by year
109,1850 establishments in the United States
110,1850 establishments by country
111,Populated places by decade of establishment
112,Populated places in the San Francisco Bay Area
113,Local government in California
114,California counties
115,Port cities in California
116,Capitals of political divisions in the United States
117,Populated coastal places in the United States by state
118,Consolidated city-counties in the United States
119,Establishments in the United States by state
120,Municipalities in the United States
121,County government in the United States
122,Subdivisions of the United States
123,Ports and harbors of the United States by state
124,Fur trade
125,1850 establishments in California
126,Chartered companies
127,Spanish missions in North America
128,Spanish missions in the Americas
129,Cities by country
130,19th-century establishments in California
131,Water transportation in California
132,Hudson Bay
133,Populated places in the United States by state
134,Administrative divisions of the United States by state
135,Populated places by period of establishment
136,Geography of the San Francisco Bay Area
137,Former Spanish colonies
138,Colonial United States (British)
139,Geography of the United States by county
140,Events in California
141,Ports and harbors of California
142,Years in California
143,Incorporated cities and towns in California
144,Populated coastal places in California
145,Mergers of subdivisions in the United States
146,Establishments in California by decade
147,Hudson's Bay Company trading posts
148,Trading posts
149,Trade
150,Populated places in the United States by metropolitan area
151,1770s establishments
152,Colonization history of the United States
153,Counties of the United States by state
154,Counties of the United States
155,Department stores of Canada
156,Populated places by year of establishment
157,Counties in the San Francisco Bay Area
158,Commercial buildings
159,Former colonies in North America
160,1776
161,Geography of the United States by state
162,Populated places established in 1776
163,Cities in the United States by state
164,Economic history of Canada
165,History of the Pacific Northwest
166,Hudson's Bay Company
167,County government in the United States by state
168,Populated places in California
169,1850 in the United States
170,Cities in North America
171,Viceroyalties of the Spanish Empire
172,Trading posts in Canada
173,Populated coastal places of the United States on the Pacific Ocean
174,Establishments in California by year
175,Geography of California
176,European colonization of the Americas
177,1850s establishments in the United States
178,British colonization of the Americas
179,Government of California
180,Subregions of the San Francisco Bay Area
181,California
182,History of Canada
183,Rural development in North America
184,1850s in California
185,Spanish diaspora in North America
186,1850s establishments in California
187,Port cities and towns in the United States
188,Christian missions in North America
189,1850 in the United States by state
190,Plantations (settlements or colonies)
191,History of North America
192,Populated coastal places in the United States
193,San Francisco
194,Populated places established in the 18th century
195,12th century in science
196,Naval history by country
197,Centuries
198,History of China by topic
199,Maritime history of China
200,History by country and topic
201,Technology
202,Asian dynasties
203,11th century in science
204,Naval history
205,12th century
206,Military history of Asia by country
207,Military history by country
208,Economy of China
209,13th century in science
210,Science and technology in China
211,Categories by century
212,Science and technology
213,History of engineering
214,Technology by period
215,1st millennium
216,Applied sciences
217,History of science and technology in China
218,Maritime history by country
219,History of technology
220,Science and technology by country
221,History by topic and country
222,Middle Ages
223,Categories by period
224,Water transport in China
225,10th century in science
226,Military history of the Song dynasty
227,History of Imperial China
228,Military of China
229,Science by century
230,2nd millennium in China
231,History of science and technology by region
232,Former countries in Chinese history
233,History of science and technology by country
234,10th century
235,Military history of Imperial China
236,History of science and technology
237,Millennia in China
238,Economic history
239,History of Asia by topic
240,Industrial history
241,History of China
242,Dynasties in Chinese history
243,11th century
244,History of transport in China
245,Science and technology in East Asia
246,2nd millennium in Asia
247,Science in the Middle Ages
248,Science and technology studies
249,2nd millennium by country
250,Technology in the Middle Ages
251,Naval history of China
252,History of industries
253,Military history of China
254,History of science by period
255,13th century
256,2nd millennium
257,Time in science
258,Song dynasty
259,Fuels
260,Energy technology
261,Petroleum engineering
262,Primary industries
263,Petroleum production
264,Sustainable technologies
265,Sedimentary rocks
266,Petroleum industry
267,Fuel production
268,Synthetic fuels
269,Energy production
270,Petroleum
271,Industrial gases
272,Solid fuels
273,Energy
274,Chemistry
275,Unconventional oil
276,Energy industry
277,Synthetic fuel technologies
278,Oil shale technology
279,Industrial processes
280,Chemical process engineering
281,Natural gas
282,Fuel gas
283,Chemical processes
284,Oil shale
285,Petroleum technology
286,Energy conversion
287,Song dynasty people
288,Chinese writers by century
289,Medieval Chinese geographers
290,1090s
291,Chinese ethnographers
292,Medieval astronomers
293,Scientists from Zhejiang
294,Technology writers
295,People by century and occupation
296,Politicians by Imperial Chinese dynasty
297,Philosophers from Zhejiang
298,Magnetism
299,Chinese academics
300,Wikipedia WikiProjects
301,Agronomists
302,International relations by century
303,Cartographers by nationality
304,Science
305,Ancient military writers
306,Years
307,People associated with electricity
308,Ethnographers by nationality
309,Academia in China
310,Engineers
311,Song dynasty essayists
312,People by nationality and occupation
313,Healthcare in China
314,History of science
315,Poets by nationality and century
316,Academic disciplines
317,Essayists by nationality
318,Agriculture
319,Scientists by nationality
320,Zoologists
321,Maritime history
322,11th-century Chinese people by occupation
323,People by occupation and century
324,People in agriculture by nationality
325,Astronomers by century
326,Mineralogists
327,Publications by format
328,Geologists
329,Inventors by nationality
330,Mathematicians by century
331,Scholars
332,Chinese botanists
333,Chinese anthropologists
334,Engineers from Zhejiang
335,Construction trades workers
336,1031
337,People by city in China
338,Art by country
339,Writers from Hangzhou
340,Chinese mathematicians
341,Instructional writers
342,Chinese people
343,Chinese geomorphologists
344,Chinese inventors
345,Science in society
346,1030s
347,Chinese poets
348,People in agriculture
349,Hydraulic engineers
350,Chinese meteorologists
351,Works by Chinese people
352,Chinese mathematics
353,Chinese entomologists
354,Medieval scholars
355,Physicians by century
356,Maritime culture
357,Scientists by field
358,Geographers by century
359,Poets by century
360,1095 deaths
361,People in food and agriculture occupations
362,Agronomists by nationality
363,Astronomers by period
364,Chinese art
365,Post-Classical Chinese philosophers
366,Art critics
367,Chinese engineers
368,Poets by period
369,11th-century literature
370,Politicians from Hangzhou
371,Geomorphologists by nationality
372,Agriculture in China
373,11th-century works
374,Writers
375,11th century in the arts
376,Chinese people by occupation and city
377,Physicians
378,Taoism in China
379,Geologists by nationality
380,Medieval diplomats
381,Chinese military leaders
382,Geographers by nationality
383,Post-Classical Chinese philosophy
384,Astronomy in China
385,Medieval astronomy
386,Chinese generals
387,Art critics by nationality
388,Scientists by field and nationality
389,Pharmacologists
390,Ancient people by occupation
391,Natural history of China
392,Scholars by nationality
393,Song dynasty diplomats
394,Medieval people by occupation
395,Agriculture in Asia by country
396,Writers by format
397,11th-century Chinese writers
398,Earth scientists by nationality
399,Chinese culture
400,Geomorphologists
401,Writers by city
402,People by occupation
403,Medieval mathematics
404,Chinese cartographers
405,Knowledge
406,Medieval astronomers by century
407,Critics by nationality
408,Chinese philosophers by period
409,Taoists by nationality
410,History of medieval medicine
411,Mathematics by period
412,Chinese people by religion
413,Chinese politicians
414,Pharmacologists by nationality
415,Asian Buddhists
416,East Asian art
417,Anthropologists by nationality
418,Ethnographers
419,Song dynasty literature
420,Chinese earth scientists
421,Atmospheric scientists by nationality
422,Chinese essayists
423,Buddhism in China
424,11th-century writers
425,Encyclopedists by nationality
426,Poets from Zhejiang
427,Biochemists by nationality
428,Song dynasty generals
429,People by occupation and nationality
430,Scientists by century
431,Buddhists by nationality
432,Song dynasty poets
433,Chinese scholars
434,Scientific instruments
435,Entomologists by nationality
436,Mathematicians
437,Chinese people in health professions
438,Chinese writers by province
439,11th-century people by occupation
440,Geographers
441,Generals from Zhejiang
442,Births by decade
443,Instrument makers
444,Scholars and academics
445,Water
446,People by association
447,Chinese politicians by city
448,Scientists from Hangzhou
449,Politicians by nationality and city
450,Entomologists
451,Cartographers
452,Scholars by century
453,Writers by period
454,Song dynasty Taoists
455,11th century in international relations
456,Writers from Zhejiang
457,History of water transport
458,Artisans
459,Medieval Chinese mathematicians
460,Education and training occupations
461,Medieval Chinese astronomers
462,11th-century geographers
463,Chinese non-fiction writers
464,Medieval poetry
465,11th-century mathematicians
466,Medieval geographers
467,Measuring instruments
468,Naturalists by nationality
469,Chinese poets by century
470,Chinese diplomats
471,Chinese people by occupation
472,Categories by topic
473,11th-century physicians
474,Arts in China
475,Song dynasty politicians from Zhejiang
476,Medieval international relations
477,Literature by century
478,Hydraulics
479,Scientists by city
480,11th-century deaths
481,People in health professions by nationality
482,1030s births
483,Chinese educators
484,11th-century scientists
485,Chinese geologists
486,Asian people by occupation
487,Hydraulic engineering
488,Navigation
489,Chinese mineralogists
490,Hydrology
491,People from Zhejiang
492,Chinese Buddhists
493,11th-century scholars
494,Diplomats by nationality
495,Military writers by nationality
496,Physicists
497,History of ideas
498,Chinese people by province by occupation
499,People from Zhejiang by occupation
500,Chinese politicians by province
501,Politicians from Zhejiang
502,Astrologers by period
503,Chinese poets by era
504,Chinese writers by genre
505,Chinese encyclopedists
506,Spoken articles
507,Chinese Taoists
508,Chinese art critics
509,Chinese scientists by province
510,Mathematicians by nationality
511,Meteorologists by nationality
512,Ancient Chinese people
513,Medical doctors by specialty and nationality
514,Song dynasty politicians
515,Geography
516,Writers by non-fiction genre
517,Hangzhou
518,History of geography
519,Chinese poetry by era
520,11th century in politics
521,Innovators by nationality
522,History of navigation
523,Diplomats by century
524,Scientific instrument makers
525,Technology commentators
526,Biologists from Zhejiang
527,Tool manufacturers
528,11th-century diplomats
529,Chinese social scientists
530,Chinese writers by city
531,Biologists by nationality
532,Magneticians
533,2nd-millennium literature
534,Economic history of China
535,11th-century people
536,Scholars by subfield
537,11th-century astronomers
538,Chinese astronomers
539,Chinese agronomists
540,Scholars and academics by subject
541,Writers by non-fiction subject area
542,Writers by century
543,Generals by nationality
544,Inventors
545,Medieval mathematicians
546,Chinese biologists
547,Agriculturalists
548,Engineers by specialty
549,Academics by nationality
550,11th-century births
551,Medieval scientists
552,Chinese writers
553,Astronomers by nationality
554,Chinese philosophers
555,Scholars and academics by nationality
556,Botanists by nationality
557,Science studies
558,11th-century poets
559,Inventions by country
560,Electrical engineers
561,Scientists by period
562,Technical writers
563,Military writers
564,Earth scientists by century
565,Zoologists by nationality
566,Medieval writers
567,Ancient Chinese military writers
568,Civil engineering
569,Chinese geographers
570,Agriculture by country
571,Chinese inventions
572,Medieval literature
573,Song dynasty writers
574,Meteorologists
575,Song poetry
576,Chinese scientists
577,Chinese critics
578,Civil engineers
579,Song dynasty Buddhists
580,Philosophy of science
581,Epistemology
582,People by Imperial Chinese dynasty
583,1031 births
584,Non-fiction writers by nationality
585,Ancient Chinese people by occupation
586,Chinese military writers
587,11th-century Chinese poets
588,Encyclopedists
589,Water transport
590,1090s deaths
591,Diplomats by period
592,People categories by type
593,Scientific equipment
594,Chinese people by occupation and century
595,Medieval poets
596,Medieval philosophers
597,1095
598,Botanists
599,Orientalism
600,Ancient writers
601,Chinese scientists by city
602,Chinese zoologists
603,Song dynasty philosophers
604,People from Hangzhou
605,Technology literature
606,People associated with water
607,Mineralogists by nationality
608,WikiProject Spoken Wikipedia
609,Chinese poets by province
610,Chinese philosophers by location
611,Engineers by nationality
612,11th-century poetry
613,Chinese pharmacologists
614,Medieval physicians
615,19th-century introductions
616,Industrial history by country
617,1874
618,Obsolescence
619,1870s events
620,Writing
621,Industry in the United States
622,Text
623,Office equipment
624,Science and technology in North America
625,Economy of the United States
626,Media technology
627,1870s
628,Art materials
629,Science and technology in the United States
630,Industrial history of the United States
631,Inventions
632,1870s introductions
633,Typewriters
634,Writing implements
635,Obsolete technologies
636,1874 introductions
637,American inventions
638,Introductions by decade
639,Economic history of the United States
640,Former entities
641,Office work
642,Stationery
643,Military installations of the United States by state
644,National Historic Landmarks of the United States
645,Environment of the United States
646,National Historic Landmarks of the United States by state
647,Years of the 20th century in the United States
648,Deception
649,Historic sites in New Mexico
650,"Tourist attractions in Alamogordo, New Mexico"
651,Tourist attractions in the United States by city
652,Social concepts
653,Decades in the United States
654,Military facilities on the National Register of Historic Places in New Mexico
655,"Tourist attractions in Otero County, New Mexico"
656,Cyberwarfare
657,Nuclear war and weapons in popular culture
658,"History of Socorro County, New Mexico"
659,20th-century explosions
660,Disasters by year
661,Architecture in New Mexico
662,Information sensitivity
663,Cities in New Mexico
664,Military history of New Mexico
665,Buildings and structures in New Mexico by county
666,1945 in the United States by state
667,Espionage
668,Buildings and structures on the National Register of Historic Places by state
669,Categories by year
670,Categories by state of the United States
671,Explosions in 1945
672,History of science and technology in the United States
673,Atomic tourism
674,Physiographic provinces
675,1940s in New Mexico
676,Historic districts on the National Register of Historic Places
677,"Alamogordo, New Mexico"
678,Explosions by country
679,Military facilities on the National Register of Historic Places by state
680,Historic districts in New Mexico
681,Environmental issues by country
682,Environmental issues in the United States
683,Nuclear warfare
684,South Central United States
685,World War II national military histories
686,Tourist attractions in New Mexico
687,Nuclear weapons program of the United States
688,1940s in the United States by state
689,Buildings and structures in the United States by state
690,1940s events
691,Military history of the United States during World War II
692,Nuclear history by country
693,Military projects of the United States
694,Explosions by year
695,Years in the United States by state
696,Events by month
697,Disasters in the United States
698,Historic districts in the United States by state
699,Military installations in New Mexico
700,Heritage registers in the United States by state
701,20th-century disasters
702,20th century in science
703,World War II sites of the United States
704,Historic districts on the National Register of Historic Places by state
705,Tourism
706,Agencies of the United States government during World War II
707,1945 in science
708,Buildings and structures in New Mexico
709,Geography of the United States
710,Years of the 20th century in North America
711,Years in the United States
712,"Socorro County, New Mexico"
713,New Mexico counties
714,History of the American West
715,Tourist attractions in New Mexico by city
716,New Mexico State Register of Cultural Properties
717,Nuclear weapons programs
718,History of the United States by period
719,Landmarks in the United States
720,Explosions by century
721,History of United States expansionism
722,Southwestern United States
723,Histories of counties in New Mexico
724,World War II sites
725,"Otero County, New Mexico"
726,July 1945 events
727,Military in New Mexico
728,United States military policies
729,Years in New Mexico
730,"National Register of Historic Places in Socorro County, New Mexico"
731,Naming conventions
732,Regions of the United States by state
733,Military history by year
734,Man-made disasters by country
735,Water in the United States
736,Years of the 20th century by country
737,Obfuscation
738,Military history of the United States by state
739,1940s
740,War in popular culture
741,Landforms of the United States
742,Geography of New Mexico by county
743,Types of travel
744,National Register of Historic Places in New Mexico
745,Parts of speech
746,1945 in New Mexico
747,History of the Manhattan Project
748,Crimes
749,Traditions
750,Buildings and structures on the National Register of Historic Places in New Mexico
751,"Cities in Otero County, New Mexico"
752,Man-made disasters in the United States
753,History of New Mexico
754,Tourist attractions in the United States by county
755,Nuclear weapons by country
756,Explosions in the United States
757,1940s by country
758,Western United States
759,Defunct agencies of the United States government
760,History by country subdivision
761,Historic sites in the United States
762,Explosions
763,National Historic Landmarks in New Mexico
764,20th-century military history by country
765,"Geography of Otero County, New Mexico"
766,States of the United States
767,Histories of regions of the United States
768,"Geography of Lincoln County, New Mexico"
769,Types of tourism
770,Truth
771,1945 in North America
772,Geography of Mexico
773,Man-made disasters in North America
774,Regions of the Western United States
775,Drainage basins by country
776,Basin and Range Province
777,Names
778,Decades in New Mexico
779,Military history by period
780,World War II on the National Register of Historic Places
781,1940s disasters
782,Military of the United States
783,Geologic provinces of California
784,Heritage registers in the United States
785,Nuclear history of the United States
786,1945
787,"Buildings and structures in Socorro County, New Mexico"
788,1945 in military history
789,1945 by country
790,Historic sites in the United States by state
791,National Register of Historic Places
792,United States home front during World War II
793,Landmarks in the United States by state
794,Military facilities on the National Register of Historic Places
795,Geologic provinces of the United States
796,Historic districts on the National Register of Historic Places in New Mexico
797,1940s in science
798,History of New Mexico by period
799,Military history of the United States
800,History of the United States by location
801,Code names
802,Histories of counties in the United States
803,1945 in the United States
804,July events
805,20th century in the United States
806,Regions of New Mexico
807,Nuclear technology in the United States
808,"Lincoln County, New Mexico"
809,Military in the United States by state
810,Years by state of the United States
811,United States in World War II
812,Drainage basins of North America
813,Watersheds of the United States
814,1940s in North America
815,"Geography of Doña Ana County, New Mexico"
816,Onomastics
817,Tularosa Basin
818,National Register of Historic Places in New Mexico by county
819,Nuclear weapons testing by country
820,Nuclear weapons
821,20th-century military history of the United States
822,July
823,American nuclear weapons testing
824,Military history by decade
825,Buildings and structures in New Mexico by type
826,Intelligence assessment
827,1945 disasters
828,Science by year
829,Military intelligence collection
830,Weapons in popular culture
831,National security
832,Identifiers
833,History of the United States (1918–45)
834,Nuclear weapons testing
835,1940s in military history
836,World War II sites in the United States
837,New Mexico
838,20th century in New Mexico
839,History of the United States by state
840,20th-century military history
841,"Doña Ana County, New Mexico"
842,1945 by continent
843,1945 events by month
844,Landmarks in New Mexico
845,1940s in the United States
846,National Register of Historic Places by county
847,Tourist attractions in New Mexico by county
848,National Register of Historic Places by state
849,Geography of New Mexico
850,Manhattan Project
851,History of the Southwestern United States
852,"Tourist attractions in Socorro County, New Mexico"
853,Information and communications technology
854,Radio
855,Radio frequency propagation
856,Broadcast engineering
857,Wireless tuning and filtering
858,Radio technology
