label_id,label
0,World War II military equipment by type
1,Science and technology during World War II
2,Military electronics of the United Kingdom
3,Radar
4,World War II Allied electronics
5,Microwave technology
6,Avionics
7,World War II radars
8,Aircraft radars
9,Spacecraft components
10,World War II military equipment of the United Kingdom
11,Embedded systems
12,Anti-aircraft warfare
13,Military equipment of the United Kingdom
14,Wireless
15,Military electronics
16,World War II electronics
17,Military equipment of the United Kingdom by period
18,Electronics
19,World War II British electronics
20,World War II military equipment by country
21,Military radars
22,Military equipment of World War II
23,Aircraft instruments
24,Military radars of the United Kingdom
25,Automation
26,Military history of the United Kingdom during World War II
27,Filtration
28,Recording
29,Technology by type
30,Recording devices
31,Electrical circuits
32,Human activities
33,Mechanical engineering
34,Electromagnetism
35,Computer engineering
36,Telecommunications engineering
37,Electromechanical engineering
38,Signal processing filter
39,Electricity
40,Technology systems
41,Sound technology
42,Sound recording
43,Sound recording technology
44,Electronic design
45,Physics
46,Design
47,Concepts in physics
48,Concepts by field
49,Engineering disciplines
50,Filter theory
51,Linear filters
52,Electronic circuits
53,Mechanics
54,Filters
55,Engineering
56,Structure
57,Equipment
58,Tools
59,Analog circuits
60,Control theory
61,Aesthetics
62,Electronic engineering
63,Sound
64,Electrical engineering
65,Mechanical engineering by discipline
66,Subfields by academic discipline
67,Signal processing
68,Visual arts
69,Applied and interdisciplinary physics
70,Chemical equipment
71,Subfields of physics
72,Algorithms
73,Populated places established in the 18th century
74,Christian missions in North America
75,County seats of the United States
76,Populated places by decade of establishment
77,1850 establishments in California
78,Years in California
79,Spanish colonization of the Americas
80,1850 establishments in the United States
81,Capitals of political divisions in the United States
82,Populated coastal places in the United States
83,Trade
84,1850 establishments in North America
85,Counties in the San Francisco Bay Area
86,Hudson Bay
87,1850 in the United States
88,Establishments in the United States by year
89,Cities by country
90,Trading posts
91,Mergers of subdivisions in the United States
92,Commercial buildings
93,County government in the United States
94,Cities in the United States
95,1850 in the United States by state
96,19th-century establishments in California
97,Populated places in the United States
98,Northern California
99,Spanish diaspora in North America
100,Colonial United States (British)
101,Colonization history of the United States
102,Viceroyalties of the Spanish Empire
103,Cities in North America
104,New Spain
105,Trading posts in Canada
106,Events in California
107,Government of California by county
108,History of the Rocky Mountains
109,Counties of the United States
110,1776 establishments
111,Oregon Country
112,Canadian folklore
113,Incorporated cities and towns in California
114,West Coast of the United States
115,Ports and harbors of the United States by state
116,Establishments in California by decade
117,Populated places in the San Francisco Bay Area
118,Populated places established in 1776
119,Populated places established in the 1770s
120,Port cities and towns of the West Coast of the United States
121,Cities in the United States by metropolitan area
122,Populated places in the United States by state
123,1770s establishments
124,Geography of California
125,Second-level administrative country subdivisions
126,Spanish mission settlements in North America
127,California counties
128,Geography of the San Francisco Bay Area
129,Hudson's Bay Company trading posts
130,Subregions of the San Francisco Bay Area
131,Establishments in California by year
132,Populated places in the United States by metropolitan area
133,County government in the United States by state
134,Commercial buildings in Canada
135,Water transportation in California
136,Counties
137,Cities in the San Francisco Bay Area
138,Port cities and towns of the Pacific Ocean
139,Hudson's Bay Company
140,1850 in California
141,Establishments in the United States by state
142,Port cities and towns in the United States
143,European colonization of the Americas
144,Regions of California
145,History of companies of Canada
146,Populated coastal places of the United States on the Pacific Ocean
147,1850s establishments in California
148,Mergers of country subdivisions
149,Populated coastal places in California
150,Populated places in California
151,Populated places by period of establishment
152,Chartered companies
153,Geography of the United States by county
154,History of North America
155,Establishments by year
156,History of the Pacific Northwest
157,San Francisco
158,Populated places in North America
159,Port cities in California
160,Fur trade
161,Ports and harbors of the West Coast of the United States
162,Spanish missions in the Americas
163,Rural development in North America
164,History of Canada
165,Populated coastal places in the United States by state
166,Municipalities in California
167,Geography of the United States by state
168,Consolidated city-counties in the United States
169,Cities in the United States by state
170,Establishments by type and year
171,County government in California
172,Municipalities in the United States
173,California
174,British North America
175,County seats in California
176,English colonization of the Americas
177,Spanish missions in North America
178,Counties of the United States by state
179,British colonization of the Americas
180,1850 establishments by country
181,Plantations (settlements or colonies)
182,Government of California
183,Former Spanish colonies
184,Colonial settlements in North America
185,Local government in California
186,Former colonies in North America
187,Ports and harbors of California
188,Administrative divisions of the United States by state
189,Economic history of Canada
190,1776
191,1850s establishments in the United States
192,Populated places by year of establishment
193,Subdivisions of the United States
194,Department stores of Canada
195,1850s in California
196,1st millennium
197,Technology by period
198,10th century in science
199,History of Imperial China
200,11th century
201,History of Asia by topic
202,Centuries
203,Science and technology in China
204,History by country and topic
