label_id,label
0,Acetic acids
1,Acids in wine
2,Antiseptics
3,Commodity chemicals
4,E-number additives
5,Flavors
6,Household chemicals
7,Otologicals
8,Photographic chemicals
9,Solvents
10,World Health Organization essential medicines
11,Alcohol law in the United States by state
12,Beer in New Jersey
13,Food and drink in New Jersey
14,New Jersey law
15,New Jersey wine
16,Fish described in 1792
17,Fish of Canada
18,Freshwater fish of the United States
19,IUCN Red List vulnerable species
20,Living fossils
21,Polyodontidae
22,Basque cuisine
23,Boletus
24,Edible fungi
25,Fungi described in 1789
26,Fungi of Africa
27,Fungi of China
28,Fungi of Europe
29,Fungi of North America
30,French cuisine
31,Fungi described in 1782
32,Fungi naturalized in Australia
33,Fungi of Asia
34,Fungi of Finland
35,Fungi of New Zealand
36,Fungi of the Middle East
37,Italian cuisine
38,Italian products with protected designation of origin
39,Armenian soups
40,Ashkenazi Jewish cuisine
41,Azerbaijani soups
42,Belarusian cuisine
43,Cold soups
44,Culinary dishes
45,Latvian cuisine
46,Lithuanian cuisine
47,National dishes
48,National symbols of Ukraine
49,Polish soups
50,Romanian cuisine
51,Russian soups
52,Slavic cuisine
53,Soviet cuisine
54,Ukrainian soups
55,Ukrainian traditions
56,Vegetable dishes
57,Brassica oleracea
58,Cabbage
59,Food plant cultivars
60,Leaf vegetables
61,Medicinal plants
62,Boletaceae
63,Fungi described in 1790
64,Fungi of Central America
65,Fungi of South America
66,Cortinarius
67,Fungi described in 1796
68,Taxa named by Christiaan Hendrik Persoon
69,1969 establishments in Tennessee
70,1980s initial public offerings
71,Companies listed on NASDAQ
72,"Lebanon, Tennessee"
73,Restaurant chains in the United States
74,Restaurants established in 1969
75,Restaurants in Tennessee
76,Retail companies established in 1969
77,Retail companies of the United States
78,Theme restaurants
79,Crops originating from indigenous Americans
80,Cucurbita
81,Cucurbitaceae genera
82,Early agriculture in Mesoamerica
83,Native American cuisine
84,Squashes and pumpkins
85,Cold water fish
86,Fauna of California
87,Fauna of the Northwestern United States
88,Fauna of the Rocky Mountains
89,Fauna of the Sierra Nevada (U.S.)
90,Fauna of the Southwestern United States
91,Fish described in 1836
92,Fish of the Pacific Ocean
93,Fish of the Western United States
94,Freshwater fish of North America
95,Oncorhynchus
96,Symbols of Wyoming
97,Durio
98,Fruits originating in Asia
99,Helicteroideae
100,Medicinal plants of Asia
101,Non-timber forest products
102,Spoken articles
103,Taxa named by Carl Linnaeus
104,Tropical agriculture
105,Tropical fruit
106,1799 births
107,1859 deaths
108,19th-century English poets
109,19th-century women writers
110,English chefs
111,English food writers
112,English women poets
113,"People from Battle, East Sussex"
114,People from Hampstead
115,People from Ipswich
116,Women cookbook writers
117,Women food writers
118,Women of the Victorian era
119,1913 births
120,1992 deaths
121,20th-century British non-fiction writers
122,20th-century British women writers
123,College of Sorbonne alumni
124,Commanders of the Order of the British Empire
125,Fellows of the Royal Society of Literature
126,Knights of the Order of Agricultural Merit
127,"People from Chelsea, London"
128,People from Wealden (district)
129,2002 non-fiction books
130,American cookbooks
131,American women non-fiction writers
132,Books about bacon
133,1943 paintings
134,Food and drink paintings
135,Four Freedoms
136,Paintings by Norman Rockwell
137,Thanksgiving (United States)
138,Works originally published in The Saturday Evening Post
139,World War II and the media
140,1871 births
141,1946 deaths
142,American inventors
143,Belgian emigrants to the United States
144,Belgian people of English descent
145,Businesspeople in coffee
146,Businesspeople in the drink industry
147,Military food of Canada
148,Military food of the United States
149,"People from Bellport, New York"
150,People from Kortrijk
151,People from Park Slope
152,University of Bonn alumni
153,Biomechanics
154,Caelifera
155,Extant Triassic first appearances
156,Herbivorous insects
157,Insect common names
158,Insects in culture
159,Animal models
160,Bolivian cuisine
161,Cavies
162,Domesticated animals
163,Ecuadorian cuisine
164,Extant Pleistocene first appearances
165,Fauna of the Andes
166,Guinea pigs
167,Mammals described in 1758
168,Mammals of Bolivia
169,Mammals of Colombia
170,Mammals of Peru
171,Meat by animal
172,Peruvian cuisine
173,Pleistocene rodents
174,Quaternary mammals of South America
175,Rodents of South America
176,American rice dishes
177,American soups
178,American stews
179,Cajun cuisine
180,Cuisine of New Orleans
181,Cuisine of the Southern United States
182,Louisiana cuisine
183,1708 births
184,1770 deaths
185,18th-century women writers
186,English non-fiction writers
187,People from Hexham
188,People imprisoned for debt
189,Prisoners in Fleet Prison
190,Prisoners in Marshalsea
191,Writers from London
192,History of food and drink
193,Saffron
194,Cantharellales
195,Fungi described in 1753
196,Fungi of Australia
197,Hydnum
198,Fungi described in 1818
199,Taxa named by Elias Magnus Fries
200,1836 births
201,1865 deaths
202,19th-century British women writers
203,19th-century English writers
204,19th-century journalists
205,Burials at West Norwood Cemetery
206,Deaths in childbirth
207,English businesspeople
208,English women journalists
209,People from the City of London
210,Diets
211,Epilepsy
212,High-fat diets
213,Low-carbohydrate diets
214,1870 establishments in New York (state)
215,1958 disestablishments in New York (state)
216,1999 establishments in New York (state)
217,"Buildings and structures in Ulster County, New York"
218,Italian restaurants
219,"New Paltz, New York"
220,Railway stations closed in 1958
221,Railway stations opened in 1870
222,Restaurants established in 1999
223,Wallkill Valley Railroad
224,Fungi described in 1822
225,Lactarius
226,Cichorieae
227,Crops
228,Crops originating from Egypt
229,Edible Asteraceae
230,Lettuce
231,Plants described in 1753
232,1995 American television episodes
233,Linda McCartney
234,Paul McCartney
235,Television episodes written by David X. Cohen
236,The Simpsons (season 7) episodes
237,Vegetarian-related media
238,Vegetarianism in the United States
239,African cuisine
240,Malagasy cuisine
241,Malagasy culture
242,American cuisine
243,Canadian cuisine
244,Cuisine of New York (state)
245,Food made from maple
246,Forestry in Canada
247,Forestry in the United States
248,Indigenous cuisine in Canada
249,New England cuisine
250,Syrup
251,Tree tapping
252,Agriculture in Rwanda
253,Alternative trading organizations
254,Coffee brands
255,Medieval cuisine
256,1980 establishments in California
257,2001 mergers and acquisitions
258,Coca-Cola acquisitions
259,Coca-Cola brands
260,"Companies based in San Mateo County, California"
261,Drink companies based in California
262,Food and drink companies established in 1980
263,Food recalls
264,"Half Moon Bay, California"
265,Juice brands
266,2013 establishments in California
267,California wine
268,"Culture of Oakland, California"
269,Drinking establishments in the San Francisco Bay Area
270,Organic food
271,Restaurants established in 2013
272,Restaurants in the San Francisco Bay Area
273,"Tourist attractions in Oakland, California"
274,Wine bars
275,Chinese edible mushrooms
276,Fungi described in 1798
277,Fungi of Mexico
278,Fungi of Oceania
279,Medicinal fungi
280,Phallales
281,American inventions
282,Cocktails with bitters
283,Cocktails with brandy
284,Peruvian alcoholic drinks
285,Pisco
286,Sour cocktails
287,Commercial fish
288,Freshwater fish of Asia
289,IUCN Red List least concern species
290,Taxa named by Johann Julius Walbaum
291,Fungi described in 1797
292,Fungi found in fairy rings
293,Gomphaceae
294,Snowbank fungi
295,Fungi described in 1774
296,Russula
297,1991 establishments in Florida
298,Cinemas and movie theaters in Florida
299,Disney's Hollywood Studios
300,Drive-in restaurants
301,Drive-in theatres
302,Restaurants established in 1991
303,Retro style
304,Theatres completed in 1991
305,Walt Disney Parks and Resorts entertainment
306,Walt Disney World restaurants
307,Fungi naturalized in North America
308,Suillus
309,Hybrid grape varieties
310,Table grape varieties
311,Edible nuts and seeds
312,Lists of plants
313,Chemistry-related lists
314,Cooking fats
315,Lists of foods
316,Vegetable oils
317,Bibliographies by writer
318,Bibliographies of British writers
319,Featured pictures
320,Featured pictures of the Netherlands
321,Wikipedia Picture of the day files
322,Picture of the day/Unused
323,Featured pictures of Madagascar
324,Featured pictures of Alaska
325,Featured pictures of Ohio
326,Featured pictures of Tanzania
327,Featured pictures of Australia
328,Featured pictures promoted through delist
329,Coca-Cola
330,Distilled drinks
331,Featured pictures on Mathematics Portal
332,Wikipedia former featured pictures
333,Featured pictures of Indonesia
334,National symbols of Pakistan
335,Featured picture sets
336,Opium poppy development (featured picture set)
337,1928 establishments in Minnesota
338,Buildings and structures in Minneapolis
339,Drinking establishments in Minnesota
340,Restaurants established in 1928
341,Restaurants in Minnesota
342,1950 books
343,British cookbooks
344,English cuisine
345,1806 books
346,Ancient dishes
347,Bread soups
348,Italian soups
349,Australian brands
350,Australian confectionery
351,Australian cuisine
352,Australian snack foods
353,Aviation media
354,Fictional aircraft
355,Gelatin
356,Agriculture
357,Agronomy
358,Food industry
359,Controlled substances in Oregon
360,Food and drink in Oregon
361,History of Oregon
362,Oregon law
363,2012 establishments in Morocco
364,Educational institutions established in 2012
365,Non-profit organizations based in Morocco
366,Restaurants in Marrakesh
367,Women's occupational organizations
368,Women's organizations based in Morocco
369,Women and education in Africa
370,1927 establishments in Mandatory Palestine
371,Bakeries of Israel
372,Buildings and structures in Jerusalem
373,Companies listed on TASE
374,Food and drink companies established in 1927
375,Israeli brands
376,Jewish businesses established in Mandatory Palestine
377,Kosher bakeries
378,Appetizers
379,Bacon dishes
380,Oyster dishes
381,1725 births
382,1805 deaths
383,18th-century Swedish women writers
384,18th-century Swedish writers
385,Swedish chefs
386,Swedish food writers
387,Swedish non-fiction writers
388,Apples
389,Cyanide-containing foods
390,Malus
391,Plants described in 1768
392,Apple products
393,Cakes
394,Companies based in Chicago
395,Restaurants established in 2003
396,Restaurants in Chicago
397,Tea brands in United States
398,Tea companies of the United States
399,Tea houses
400,Auriculariales
401,Fungi in cultivation
402,Avocado dishes
403,Burger King foods
404,Products introduced in 2005
405,American sandwiches
406,Bacon sandwiches
407,British sandwiches
408,2010s in food
409,Bacon drinks
410,Cocktails with vodka
411,Molecular gastronomy
412,2009 non-fiction books
413,Cookbooks
414,2008 introductions
415,Baked goods
416,Internet memes
417,Pork dishes
418,Sausage dishes
419,Smoked meat
420,Flavors of ice cream
421,Bacon
422,Condiments
423,Kosher food
424,Sauces of the mayonnaise family
425,Fungi described in 1807
426,Dips (food)
427,Legume dishes
428,2010s American cooking television series
429,2010s American game shows
430,2012 American television series debuts
431,2012 American television series endings
432,American game shows
433,American reality television series
434,Cable game shows
435,English-language television programs
436,Food reality television series
437,Game Show Network original programs
438,2003 establishments in Washington (state)
439,Cheese retailers
440,Cheesemakers
441,Companies based in Seattle
442,Dairy products companies of the United States
443,Food and drink companies established in 2003
444,Pike Place Market
445,Cuisine of New York City
446,Culture of New York City
447,New Jersey culture
448,Alcoholic drinks
449,Beer
450,Brewing
451,Fermented drinks
452,"Beer brewing companies based in San Diego County, California"
453,Beer in California
454,"San Diego County, California"
455,Bee ecology
456,Beekeeping
457,Environmental effects of pesticides
458,Honey
459,Pollinator decline
460,Sustainable agriculture
461,"1958 establishments in Washington, D.C."
462,"African-American history of Washington, D.C."
463,Chili con carne restaurants
464,Former cinemas in the United States
465,"Historic district contributing properties in Washington, D.C."
466,Hot dog restaurants
467,James Beard Foundation Award winners
