label_id,label
0,organic compound
1,chemical formula
2,Vinegar
3,polyvinyl acetate
4,cellulose acetate
5,acid strength
6,Dissociation 
7,carboxylic acid
8,formic acid
9,methyl group
10,reagent
11,photographic film
12,Adhesive
13,descaling agent
14,food industry
15,E number
16,acidity regulator
17,biochemistry
18,coenzyme A
19,metabolism
20,carbohydrate
21,fat
22,metric ton
23,methanol
24,ethanol fermentation
25,ethanol
26,Basal 
27,ray-finned fish
28,sturgeon
29,Order 
30,Acipenseriformes
31,paddlefish
32,extant taxon
33,Polyodontidae
34,Chinese paddlefish
35,endemic
36,Yangtze River
37,China
38,primitive fish
39,Relict 
40,cartilaginous
41,Rostrum 
42,sharks
43,heterocercal
44,caudal fin
45,Synapomorphy
46,zooplankton
47,Mississippi River
48,braided river
49,oxbow lake
50,Great Lakes
51,overfishing
52,Poaching
53,caviar
54,Local extinction
55,New York 
56,Maryland
57,Virginia
58,Pennsylvania
59,Missouri River
60,Jean Baptiste François Pierre Bulliard
61,Lucien Quélet
62,René Maire
63,Boris Pavlovich Vasilkov
64,edible mushroom
65,Boletaceae
66,bolete
67,Basque Country 
68,Navarre
69,Mediterranean
70,mycology
71,Boletus reticulatus
72,Boletus pinophilus
73,Boletus edulis
74,Boletus mamorensis
75,phylogenetics
76,symbiotic
77,mycorrhiza
78,hypha
79,Quercus suber
80,host 
81,spore
82,basidiocarp
83,pileus 
84,lamella 
85,Stipe 
86,wikt:reticulate
87,Giovanni Antonio Battarra
88,James Sowerby
89,Samuel Frederick Gray
90,Lucien Forquignon
91,basidiomycete
92,type species
93,Boletus
94,Northern Hemisphere
95,introduced species
96,variety 
97,form 
98,molecular phylogenetic
99,wikt:conspecific
100,deciduous forest
101,coniferous forest
102,plantation
103,risotto
104,protein 
105,vitamin
106,dietary mineral
107,dietary fibre
108,Central Europe
109,Southern Europe
110,Northern Europe
111,sour soup
112,Eastern Europe
113,Northern Asia
114,Ukraine
115,beetroot
116,sorrel
117,Sorrel soup
118,rye
119,Sour rye soup
120,cabbage
121,umbel
122,Heracleum sphondylium
123,Slavic languages
124,Stock 
125,Sautéing
126,Smetana 
127,sour cream
128,Garnish 
129,uszka
130,pampushky
131,Russian Empire
132,Ethnic Mennonite
133,national dish
134,Eastern Orthodox Church
135,Ukrainian Greek Catholic Church
136,Latin Church
137,cultivar
138,Brassica oleracea
139,biennial plant
140,annual plant
141,cole crops
142,broccoli
143,cauliflower
144,Brussels sprouts
145,savoy cabbage
146,Brassica rapa
147,Middle Ages
148,European cuisine
149,Biological life cycle
150,cross-pollination
151,micronutrient deficiency
152,Pest 
153,pickling
154,fermented
155,sauerkraut
156,steaming
157,stewing
158,braising
159,Raw food
160,vitamin K
161,vitamin C
162,dietary fiber
163,Food and Agriculture Organization
164,brassica
165,tonne
166,Frédéric Bataille
167,Quél.
168,Otto Kuntze
169,William Alphonso Murrill
170,mushroom
171,naturalization 
172,Tasmania
173,Nothofagus cunninghamii
174,stipe 
175,Chalciporus
176,lineage 
177,parasitism
178,ectomycorrhiza
179,symbiosis
180,Amanita muscaria
181,trama 
182,genus
183,Cortinarius
184,Pinophyta
185,beech
186,heath
187,Annulus 
188,Trama 
189,mushroom foragers
190,Maggot
191,poisonous mushroom
192,Inocybe erubescens
193,bioaccumulate
194,Mercury 
195,caesium
196,restaurant
197,Variety store
198,Culture of the Southern United States
199,Dan Evins
200,"Lebanon, Tennessee"
201,Interstate highway
202,Southeastern United States
203,Midwestern United States
204,MSN
205,Cuisine of the Southern United States
206,general store
207,porch
208,rocking chair
209,fireplace
210,country music
211,Hurricane Katrina
212,U.S. Department of Justice
213,Minority group
214,Racial segregation
215,sexual orientation
216,Latin
217,gourd
218,Herbaceous plant
219,vine
220,family 
221,Cucurbitaceae
222,Andes
223,Mesoamerica
224,pumpkin
225,Variety 
226,Lagenaria
227,Tribe 
228,tendril
229,pollen
230,Apidae
231,pollinator
232,honey bee
233,Taxonomy 
234,Domestication#Plants
235,Cucurbita argyrosperma
236,Cucurbita ficifolia
237,Cucurbita maxima
238,Cucurbita moschata
239,Cucurbita pepo
240,winter squash
241,summer squash
242,nutrient
243,vitamin A
244,pumpkin pie
245,Family 
246,Salmonidae
247,tributary
248,Rocky Mountains
249,Great Basin
250,Oncorhynchus
251,trout
252,rainbow trout
253,gamefish
254,Angling
255,fly fishing
256,Mandible
257,specific name 
258,William Clark 
259,Lewis and Clark Expedition
260,Spawn 
261,Oxygenation 
262,Alluvium
263,freestone stream
264,hybrid 
265,cutbow
266,population
267,anadromous
268,subspecies
269,threatened species
270,habitat loss
271,extinct
272,fish hatchery
273,List of U.S. state fish
274,species
275,Indonesia
276,Durio zibethinus
277,Borneo
278,Sumatra
279,odour
280,Spine 
281,peel 
282,turpentine
283,Natural history
284,Alfred Russel Wallace
285,custard
286,almond
287,Asian cuisine
288,food writer
289,Modern Cookery for Private Families
290,Brussels sprout
291,spaghetti
292,Christmas pudding
293,Sussex
294,Suffolk
295,boarding school
296,middle class
297,Longman
