article_id,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
0,-0.207098,0.504809,-0.205504,-0.12862,-0.390281,-0.356351,-0.228584,-0.24733,0.043202,0.35877,0.697024,0.466465,-0.370739,0.037239,0.180495,-0.024816,1.400584,0.149194,0.546549,-0.042863,0.453098,-0.027065,-0.704782,-0.467416,-0.700852,0.169092,-0.443661,0.189583,0.465038,0.545169,0.020372,0.4845,-0.228384,-0.002431,-0.275359,-0.269226,-0.346849,0.289765,0.59927,0.417832,0.213054,0.158141,0.331348,-0.335776,0.32517,-0.243839,0.803423,0.542448,-0.093175,-0.090018,0.794013,0.192056,-0.14133,-0.305592,-0.247676,0.269291,0.224058,0.18965,-0.191437,0.3377,0.560956,0.01484,-0.569724,0.554156,-0.208227,-0.36809,-0.532414,0.340102,-0.26402,-0.181808,0.902084,-0.052991,-0.213229,-0.024852,0.115816,0.411642,-0.068868,-0.201214,-0.996183,-0.442444,0.134067,0.677036,0.081583,-0.36075,0.203019,0.541988,-1.040165,0.155446,0.221874,0.102038,0.271373,0.156196,0.128717,0.088836,-0.115197,0.498821,-0.34783,-0.026338,0.673073,-0.307377
1,-0.110506,-0.259815,0.61514,-0.422159,0.074009,-0.007518,-0.220524,-0.432024,-0.137223,0.341712,0.57783,0.293825,-0.516453,0.15495,-0.237558,-0.075141,0.592707,-0.18864,0.700251,0.101705,0.184345,-0.141616,-0.414568,0.190331,-0.489892,0.030232,-0.125507,0.038554,0.253198,0.287795,0.279861,0.070834,-0.464382,0.110092,-0.6321,0.255659,-0.003064,0.248152,0.140467,0.274189,0.12412,-0.501496,-0.018411,-0.291867,-0.098109,0.039758,0.286805,0.195511,0.010455,0.404774,0.184529,-0.280064,-0.064445,0.226411,-0.062895,-0.440959,0.025503,-0.043371,-0.484854,-0.207854,0.285744,-0.071148,0.139094,0.065722,-0.256086,0.014017,0.220222,-0.219235,-0.264859,-0.185141,0.092673,-0.018845,-0.060124,-0.166558,-0.389179,0.009553,-0.128423,-0.022623,-0.812341,-0.035272,-0.125804,-0.031871,0.213276,-0.341616,-0.177804,-0.197402,-0.368736,-0.113684,0.056892,-0.038714,-0.233063,-0.263618,-0.356485,0.258658,-0.093405,0.071419,-0.208029,-0.005761,-0.145595,-0.02533
3,-0.330052,-0.451197,0.265574,-0.008817,-0.459913,0.623302,0.181037,-0.314778,0.739005,-0.202273,0.483566,1.085579,-0.043178,-0.460366,-0.214686,-0.016605,0.21367,-0.193956,0.765237,0.4229,0.343089,-0.340534,-0.063544,-0.489778,-1.131995,0.033987,0.000988,0.3249,0.331827,0.409706,-0.078657,-0.504805,-0.617476,0.261647,-0.735274,0.855702,-0.397394,0.221919,0.550477,0.14605,-0.058148,0.04662,-0.022448,-0.121429,-0.39134,0.343368,0.800795,-0.787333,0.323748,0.309782,0.198895,0.227966,0.700674,-0.744375,-0.428258,-0.040365,0.412342,0.191068,-0.949211,0.103484,-0.0035,0.129752,-0.206406,0.072625,0.668766,0.336308,0.516858,0.181549,0.363901,0.378656,-0.120753,0.595781,0.15193,-0.001862,-0.757187,0.381701,0.189775,-0.572927,-0.819641,-0.26596,-0.092661,1.155877,-0.106126,0.394338,0.193466,1.039449,-0.507858,-0.244658,0.095353,-0.34921,-0.156421,0.258867,0.097004,0.738006,-0.509748,0.65642,-0.692222,0.250542,0.346089,0.440137
4,0.21297,-0.900567,0.311367,-0.350927,-0.449925,0.244361,0.297377,0.18597,0.414213,-0.298188,0.313112,0.376052,-0.381109,-0.593428,0.1204,0.155746,-0.311956,0.090532,0.451249,0.205533,0.425235,-0.187151,0.039488,-0.47317,-0.662039,-0.021106,0.23211,0.258374,-0.057803,0.82,0.484375,-0.385181,-0.857879,0.450095,-0.907185,1.014066,-0.634607,-0.236006,0.435487,0.008405,-0.044177,0.366865,-0.231712,-0.434019,-0.371946,0.639695,0.572097,-0.197548,-0.256972,0.552452,-0.154238,0.413047,0.433692,-0.235498,-0.326434,0.254576,0.34925,0.097642,-0.505703,0.411927,0.433932,-0.127435,-0.039829,-0.086081,0.28059,-0.091987,0.600613,0.135793,0.135647,0.113684,-0.15337,0.476383,0.084275,-0.47198,-0.369151,-0.061004,0.186828,-1.247823,-0.743025,-0.202503,0.318966,0.620436,0.297966,-0.074867,-0.06405,0.453836,-0.549189,-0.02559,0.061699,-0.302959,0.099931,0.294474,0.020773,0.196566,-0.071568,0.22717,-0.386898,0.553057,-0.058407,0.651952
5,-0.544594,-0.532128,0.092493,-0.581432,-0.110063,0.565107,-0.111322,-0.191242,0.475957,0.196437,0.381795,0.48872,-0.161087,-0.42975,0.33431,0.056509,-0.100326,-0.354247,0.547853,0.182488,0.198897,-0.084371,0.287469,-0.772037,-0.952889,-0.435887,-0.235228,0.75398,-0.053126,0.398547,-0.023943,-0.646988,-0.724963,0.672651,-0.173983,0.515552,-0.148679,-0.274605,0.768819,-0.275129,-0.147748,-0.069357,0.069429,-0.490016,-0.480793,1.164414,0.639323,-0.218915,-0.404612,-0.048722,-0.013621,0.050424,0.14624,-0.397278,-0.427206,-0.303195,0.416637,0.101418,-0.744686,0.154527,0.059087,0.391292,-0.400217,0.082635,0.406307,0.831759,0.417132,-0.275336,0.678481,0.131342,0.206162,0.32839,0.337451,-0.384197,-0.489361,0.115168,-0.104026,-1.160635,-0.479332,-0.451818,0.078864,0.541699,0.259746,0.154145,0.416155,0.945327,-0.617123,-0.346159,-0.133811,-0.21702,-0.125365,0.034565,0.288889,0.544365,-0.058078,0.364599,-0.941799,0.016632,0.077335,0.360848
6,-0.158998,0.467828,1.270953,-0.711052,-0.460442,0.175926,0.087117,-0.53056,0.238102,-0.102795,0.56005,0.4151,-0.97347,-0.603395,0.068734,0.113111,0.616762,0.010748,0.856091,-0.420534,-0.076744,0.182169,-0.055933,-0.544509,-0.598804,0.065007,-0.556293,-0.48111,0.340577,-0.130007,0.221018,-0.542619,-0.811288,-0.255718,-0.737571,0.412988,-0.382276,0.242624,0.589453,0.154639,1.017862,0.382163,-0.196039,-0.072758,-0.004011,0.671454,1.449368,0.299002,0.146631,0.327748,0.230012,-0.576908,0.440703,0.162544,0.343406,0.345088,0.671391,-0.411464,-0.611781,-0.595536,0.609987,-0.01375,0.169537,0.251074,0.008692,0.690458,1.045211,-0.250927,0.029064,0.121489,0.379526,-0.031131,-0.357305,-0.537626,-0.794357,-0.845914,0.093455,-0.256914,-0.659193,-0.687597,0.072913,0.140792,0.013366,0.727765,-0.091568,0.851228,0.398058,-0.035502,-0.707603,-0.886558,0.144867,-0.171843,0.314434,-0.044176,-0.240352,0.326524,0.128107,-0.717104,0.019197,0.590987
8,0.026863,0.114331,0.30882,-0.68418,0.280553,0.226174,-0.398757,-0.067363,-0.182118,-0.063756,0.466014,0.305113,-0.843178,-0.077438,0.241231,0.1711,0.302815,-0.264492,0.03415,0.091284,-0.104866,0.363849,-0.206532,0.440549,-0.307748,-0.700597,-0.802918,-0.386617,0.110144,-0.141029,0.907206,-0.302501,-0.31486,0.004306,-0.386862,0.489539,-0.085514,-0.30266,0.080123,0.316107,0.151562,-0.302149,-0.475277,-0.248689,-0.350217,0.054697,0.401238,-0.010848,-0.046585,0.701764,0.400661,-0.52292,-0.103746,0.526061,-0.276991,-0.071785,0.334258,-0.942665,-0.37689,-0.457083,0.572942,-0.601487,-0.283068,-0.168537,0.153608,-0.244051,0.353343,-0.220273,-0.424266,-0.202947,0.284838,-0.081123,0.507423,-0.124945,-0.429647,-0.128909,-0.35383,-0.258739,-0.783131,-0.098358,0.209295,0.299792,0.019347,0.347613,0.405504,0.519935,-0.125443,-0.475428,0.25831,-0.21994,-0.008962,-0.019983,0.170583,0.090376,0.362568,0.331096,-0.904765,-0.094491,0.157515,0.249211
9,-0.135481,0.156968,0.551516,-0.543551,-0.042612,0.02265,0.21757,-0.725735,-0.090682,0.026449,0.128296,0.320478,-1.380346,0.29005,0.76558,-0.4047,0.19729,0.206257,0.179899,-0.054706,0.458146,-0.517862,-0.061709,0.280885,-0.455332,-0.007123,-0.227554,-0.257044,-0.021573,0.707076,0.578291,-0.248212,-0.454565,0.140874,-0.185429,0.553751,-0.377102,0.550936,0.107686,0.329545,-0.129933,-0.770754,-0.521573,-0.543155,0.052493,0.316483,0.510488,0.238842,0.381829,0.512934,0.127413,-0.325298,-0.106835,-0.146724,-0.14977,0.319599,0.297654,-0.203442,-0.002031,-0.325125,-0.418374,-0.522861,0.170728,-0.215093,0.162936,-0.005782,0.179832,-0.605365,-0.013307,0.384693,0.102066,0.198469,-0.402142,0.047823,-0.390048,-0.813014,0.029498,0.068268,-0.658787,-0.169933,-0.551976,0.414956,0.670512,-0.486197,-0.293613,0.718886,0.017087,-0.135453,-0.218233,-0.760159,0.158861,0.517252,-0.364399,0.617488,-0.462304,0.172232,-0.367923,-0.252781,0.382152,-0.522614
10,0.100462,-0.436924,0.299566,-0.065167,0.236792,0.007538,0.185651,-0.534564,0.226059,0.269405,0.717688,0.348805,0.042153,-0.244081,0.113073,0.23667,0.62907,0.189741,0.201301,0.216246,0.278253,-0.176275,-0.053334,0.368963,-0.190429,-0.303058,-0.270277,0.267535,0.074086,0.450352,0.415535,-0.828954,-0.52015,-0.240438,0.264828,0.077783,0.364628,-0.57138,0.110887,0.447514,0.406427,-0.055404,0.094412,-0.134562,-0.562042,-0.00051,0.838987,-0.21055,-0.339605,0.668336,0.226001,-0.279731,0.34202,0.093751,-0.204423,-0.186346,0.442182,-0.069662,-0.30115,0.037029,-0.06533,-0.351363,-0.047769,0.00567,-0.299857,-0.387951,0.062465,-0.405194,-0.042657,-0.040195,0.025588,-0.32208,0.2776,-0.438717,-0.522192,-0.096234,-0.423564,0.139607,-1.176043,0.130463,0.50676,1.085848,0.284986,-0.214596,0.181061,0.508269,-0.150924,-0.369388,0.041608,0.309225,0.125523,-0.198746,-0.082939,0.168637,0.103096,0.143642,-0.3099,-0.517385,-0.54519,0.06759
11,0.06477,-0.179874,0.564072,-0.23935,0.151864,0.134545,-0.017656,-0.164379,0.705739,0.349678,0.686485,0.093403,-0.765622,-0.311729,0.639464,0.515845,0.796703,-0.025784,0.19895,-0.071548,0.707807,-0.028249,-0.076327,-0.660539,-0.69301,0.27444,0.20614,0.428903,0.595791,-0.017561,-0.048987,-0.368043,-0.722855,0.589137,-0.494176,0.793197,0.163584,-0.119234,0.107003,-0.228625,0.141596,0.071126,0.399118,0.078506,-0.194867,0.645925,0.554927,0.151376,-0.28419,-0.097761,0.078703,0.132116,0.223435,-0.454442,0.209205,-0.025744,0.330724,0.046255,-0.877751,-0.138496,0.18892,0.126643,0.100302,0.201826,-0.336702,0.460282,0.363777,-0.49553,-0.137762,0.145605,0.019763,0.357708,-0.014545,-0.401328,-0.057814,-0.1204,-0.256107,-0.393827,-0.023687,-0.200154,-0.126667,-0.051019,-0.218952,-0.025719,-0.379968,0.668546,-0.244817,-0.24051,-0.552405,0.020171,0.447548,0.047135,-0.165277,0.428576,-0.135566,0.773481,-0.304892,-0.093911,-0.588515,-0.462581
