,country,label_id,label,tfidf,pmi
0,6,218,domain names,0.042947964284607384,0.20120653926837467
1,6,230,top-level domains,0.04193532692495621,0.2009978411876571
2,6,200,domain name system,0.04177632830703176,0.17752702409299778
3,6,237,1 (number),0.04049509305742664,0.19819258676457732
4,6,242,internet assigned numbers authority,0.03995462491764482,0.19039518651592724
5,6,235,country code top-level domains,0.03352418097166483,0.18639751374061178
6,6,15485,domain name stubs,0.028597535513594775,0.170650137579767
7,6,280,communications by country,0.02735726492101703,0.12816580925999208
8,6,8919,internet stubs,0.025330930377855547,0.12835644353982473
9,6,8924,computer network stubs,0.024546273646429192,0.11940934559871094
10,0,658,internet architecture,0.019640078701028938,0.0716613952477142
11,0,683,internet protocols,0.01911425505134264,0.06717068258187027
12,0,676,internet standards,0.018114299674193136,0.06780306514071893
13,0,2240,telecommunications,0.017929241946888455,0.05869376360828086
14,0,684,networking standards,0.017483544395255166,0.07302876495715957
15,0,660,network protocols,0.016606135053151484,0.07382723671160517
16,4,328,web software,0.015837119419437967,0.0447819511992345
17,0,669,communications protocols,0.015319318842257654,0.06259340205012817
18,0,664,protocols by osi layer,0.015149273792572722,0.05621389795029261
19,0,471,computer networking,0.01465511411935652,0.039690027257777476
20,0,679,network architecture,0.014538832519051083,0.05422967947314855
21,4,1038,software,0.01437180564906278,0.045556571010527035
22,4,301,web browsers,0.013513472159839822,0.05761351949820722
23,4,358,hypertext transfer protocol clients,0.013269570283066913,0.05631334376711356
24,5,1452,human–computer interaction,0.013173774330924308,0.036467729191302034
25,5,2537,digital marketing,0.012846506128504949,0.03977673242816917
26,4,340,browsers,0.012644644594869395,0.054932399218390694
27,4,304,communication software,0.01261695815348121,0.04157919114737137
28,3,632,computer law,0.0123112015980787,0.03744905245467235
29,5,57,world wide web,0.012284434674924126,0.030276522794425574
30,4,1004,web technology,0.012261825294336283,0.04385794442659511
31,5,689,information economy,0.011926665735287896,0.03329288973224023
32,5,668,marketing,0.0118989663916818,0.0355176798842822
33,4,542,software by platform,0.011748639250423238,0.04510903081034071
34,4,305,internet protocol based network software,0.011628536638274149,0.03615928380292168
35,4,672,web development,0.01142776061929967,0.032424233557245094
36,5,651,information,0.011264951106237125,0.03458267587792456
37,5,1456,digital media,0.011238623449588224,0.027553523387623437
38,5,2072,information society,0.011199518163312008,0.03467715134763466
39,5,2123,information science,0.011190432982404097,0.03730770318602684
40,5,361,hypertext,0.01099311315841754,0.030410493121882168
41,3,671,digital rights,0.010491301088696297,0.033428529623431055
42,3,636,law by issue,0.009659761855351619,0.034053144509316985
43,3,1065,file sharing,0.009633624291858676,0.03691012700100738
44,3,1788,cyberpunk themes,0.009342159492153123,0.0338369609064241
45,3,1853,cyberwarfare,0.009064104980871698,0.031110609581335196
46,3,1870,cybercrime,0.008867259859281872,0.03061126960211138
47,3,17,internet culture,0.008768772139406649,0.02269468893117738
48,3,3075,internet ethics,0.008614698090288902,0.029318018244654104
49,3,643,telecommunications law,0.008538691962012178,0.03277639287697317
50,2,448,online services,0.008432082150147928,0.02085267050406409
51,2,155,internet companies,0.008177056250177788,0.022877856934763803
52,2,175,companies by industry and year of establishment,0.008126624449390083,0.023011826565014576
53,2,458,economics by year,0.008000537125360883,0.026166622660018773
54,2,516,companies by year of establishment,0.00766648369077774,0.025678433583689958
55,2,162,technology companies by year of establishment,0.007577566650784676,0.02180387082055075
56,2,513,internet companies by country,0.007510580361858734,0.024691415885564404
57,2,510,internet companies of the united states,0.007089428643710483,0.023068881859293417
58,2,146,telecommunications companies by year of establishment,0.007087405799412375,0.020995301057909928
59,2,144,websites,0.00706494557797233,0.017425360100402437
60,1,110,history of the internet,0.006957501181311746,0.018607054584572503
61,1,21,websites by topic,0.006604658828180073,0.0211555825303824
62,1,131,computing culture,0.006192546989579405,0.02151173711843598
63,1,48,entertainment websites,0.006021649909554057,0.025927874587334043
64,1,78,internet humor,0.006008262111349699,0.03077924748219022
65,1,157,internet properties by year of establishment,0.005990198437648047,0.019295595073013212
66,1,401,works by topic,0.005781433763406951,0.02164290624720693
67,1,74,humour,0.005600645090020391,0.028603518586052232
68,1,403,media in the united states,0.00559428802636682,0.024874758015657774
69,1,160,popular culture,0.005355607565608964,0.025048576779800453
