article_id,popularity_score
0,20238
1,136281
2,54535
3,15304
4,22510
5,11910
6,97040
7,2404
8,317057
9,20551
10,3782
11,33060
12,36493
13,50403
14,1032846
15,25178
16,33653
17,8630771
18,16052
19,93422
20,4866
21,44145
22,4606
23,110181
24,1254904
25,1055651
26,21657
27,37277
28,3074324
29,540789
30,4519
31,59672
32,21699
33,590507
34,26569
35,724662
36,782589
37,1221341
38,1559628
39,4086060
40,478462
41,850517
42,71600
43,3582174
44,34140
45,600999
46,8115
47,60775
48,218913
49,135394
50,88402
51,644320
52,6747
53,149312
54,98123
55,7979
56,898722
57,27415
58,640869
59,25739
60,262602
61,1173663
62,170801
63,15264
64,11492
65,7244
66,383794
67,57578
68,121127
69,1006729
70,827655
71,492865
72,249835
73,124516
74,1202628
75,156726
76,513216
77,62242
78,2079
79,115707
80,2258899
81,75485
82,754762
83,102237
84,32072
85,910908
86,170532
87,347080
88,6348607
89,726791
90,1028028
91,35824
92,2857051
93,28412
94,300615
95,121965
96,33312
97,467802
98,7879
99,402432
100,52322
101,1020970
102,479820
103,1791
104,277252
105,400873
106,36647
107,27539
108,13566
109,2020952
110,352985
111,598879
112,521395
113,1443204
114,32304
115,24725
116,53780
117,101969
118,182439
119,16174
120,3705947
121,62806
122,1459
123,699717
124,202599
125,218861
126,3469
127,356993
128,129833
129,634256
130,79996
131,522557
132,1560500
133,2815
134,135972
135,645413
136,690910
137,711475
138,206682
139,1725674
140,103716
141,1404377
142,380319
143,124945
144,105329
145,415218
146,67329
147,281942
148,631444
149,28450
150,560339
151,156902
152,1489399
153,201315
154,5998532
155,110533
156,5497
157,107683
158,160507
159,1936
160,50534
161,985
162,945332
163,31400
164,1351311
165,791359
166,1758550
167,468181
168,30715
169,485370
170,380232
171,12559
172,66645
173,4667
174,1470262
175,446575
176,167952
177,216890
178,34296
179,1604
180,8338894
181,1163748
182,10119885
183,3354
184,1031507
185,128472
186,116310
187,11586014
188,12277
189,344022
190,10026
191,72172
192,4036
193,40251
194,306753
195,30521
196,298486
197,169958
198,3374990
199,2636637
200,51387
201,21183
202,41949
203,515306
204,33548
205,43978
206,87301
207,69088
208,27611
209,93655
210,252951
211,303212
212,55044
213,1266748
214,241040
215,29405
216,41045
217,26725
218,5190
219,141446
220,14097
221,240447
222,11738
223,9075
224,27262
225,46211
226,262880
227,32814
228,106179
229,687177
230,8859
231,30723
232,38721
233,151592
234,132773
235,527263
236,554222
237,66885
238,144294
239,157190
240,42913
241,3026508
242,50342
243,12717
244,396464
245,313440
246,42898
247,435871
248,5242
249,185825
250,48512
251,29365
252,5079
253,30010
254,104420
255,139639
256,1716
257,78165
258,443132
259,4141
260,8115
261,27174
262,696232
263,16432
264,117236
265,44201
266,81131
267,219936
268,5054
269,161633
270,137385
271,106177
272,1266
273,587847
274,10107
275,229803
276,12279
277,5099
278,7225
279,46051
280,8572
281,64422
282,67138
283,489617
284,16193
285,55543
286,1093405
287,802014
288,29120
289,59888
290,104980
291,27047
292,149204
293,2057
294,327856
295,40328
296,125349
297,13996
298,104159
299,10620
300,484916
301,429306
302,289409
303,28317
304,58395
305,21226
306,162929
307,21859
308,155893
309,13019
310,604113
311,4893
312,2222
313,45528
314,170646
315,40441
316,1594194
317,2250369
318,240610
319,21819
320,97317
321,2948
322,4553
323,11978
324,67714
325,327069
326,118814
327,738697
328,61019
329,33064
330,68657
331,2628
332,11164
333,205529
334,1252
335,9185
336,148854
337,3931
338,64493
339,44960
340,664167
341,1017643
342,7884
343,59195
344,94756
345,11009
346,76017
347,286380
348,50041
349,12607
350,36108
351,597373
352,5393
353,32070
354,158196
355,631784
356,124923
357,36925
358,1254920
359,82310
360,10104
361,3581
362,43308
363,458538
364,58052
365,22086
366,61766
367,22865
368,22901
369,91145
370,30254
371,13030
372,1590694
373,744938
374,36613
375,33583
376,255287
377,23440
378,1864195
379,72005
380,34711
381,653114
382,5631
383,74604
384,86959
385,45639
386,38811
387,50267
388,113534
389,5589
390,4185
391,134149
392,8469769
393,66161
394,53071
395,196187
396,7276
397,140698
398,486513
399,48007
400,13339
401,136604
402,11062
403,163705
404,81185
405,502448
406,82338
407,29044
408,3625
409,36569
410,47829
411,15276
412,16049
413,53377
415,245328
416,589627
417,107006
418,1977926
419,56638
420,2409
421,23854
422,50282
423,199474
424,8871
425,9105
426,129815
427,56511
428,8664395
429,650487
430,23541
431,229717
432,124566
433,220424
434,93628
435,41533
436,290328
437,1091501
438,2406552
439,8518
440,205783
441,1504
442,3918
443,51587
444,2082
445,1975
446,21352
447,1450200
448,1041392
449,544643
450,5087124
451,98695
452,179301
453,846861
454,174376
455,7658
456,2115
457,440909
458,935276
459,1361638
460,323278
461,149225
462,274357
463,92958
464,98138
465,5959
466,59561
467,3116
468,5394
469,1340856
470,62671
471,134177
472,204818
473,19497
474,218070
475,36991
476,3450198
477,152102
478,158240
479,43313
480,428115
481,138324
482,35306
483,3173
484,174460
485,202738
486,42076
487,29853
488,9465
489,121796
490,3131342
491,68651
492,440718
493,179526
494,32009
495,194424
496,225323
497,14171
498,1388416
499,142521
500,341240
501,58242
502,8274
503,110463
504,277201
505,110272
506,283646
507,221811
508,4274
509,2810
510,51034
511,58808
512,58551
513,47382
514,10151
