,country,label_id,label,tfidf,pmi
0,0,1182,newspaper,0.013948269435021404,0.04272590975903255
1,4,168,camera,0.012324241281589562,0.11086703708489469
2,0,391,paper,0.011934597578719012,0.04245261860266149
3,0,483,published,0.010442213035366492,0.03769711945082307
4,5,2507,standard,0.010384311126352063,0.05939068216132711
5,1,174,media,0.009692778969532582,0.027914243205463336
6,4,6295,lens,0.009580770769117772,0.12520997544902443
7,5,412,video,0.009493213807853661,0.04170658105980712
8,4,84,film,0.008956030173374964,0.04069076490456293
9,4,24937,ctv,0.008881234210258089,0.09837926642423347
10,5,18,audio,0.00877875533707012,0.05346342977995249
11,0,2594,circulation,0.00874487657877547,0.03495917535518177
12,1,650,government,0.008049204186945293,0.03343469977792045
13,0,1424,publication,0.0078892384250961,0.03244730428839599
14,0,451,references,0.007872749123772955,0.020858917821895008
15,4,25281,dt,0.00783437999276504,0.10082267304130593
16,4,6244,lenses,0.00774114821029848,0.11386344349259456
17,5,4494,systems,0.007691340440121793,0.04576497206949442
18,6,1286,channel,0.007574395749073791,0.01988459674932828
19,5,9549,software,0.007534163081866234,0.04220142852893251
20,5,300,music,0.007480066662441134,0.033197320944432014
21,4,718,image,0.0071716756364667,0.06569044816880455
22,0,200,weekly,0.007154103796746083,0.028722013940630946
23,0,976,daily,0.007125918385309751,0.027845165085679406
24,0,452,external links,0.007053257697362851,0.020764300388731585
25,5,1367,format,0.0069228740842347085,0.03959378810755141
26,0,519,editor,0.006912310478542266,0.0272879995884377
27,4,5170,ontario,0.006910286604378442,0.06771672069938457
28,6,1448,network,0.00676850620464314,0.018787444117321844
29,4,4091,local,0.006728234324227698,0.03863120395622413
30,5,10928,signal,0.006682235500508175,0.045898463888973486
31,1,3008,russian,0.006680002210753227,0.03511569528456842
32,4,2761,assistant,0.0066688932065692985,0.08454075068680933
33,5,2322,data,0.006625025252782078,0.034511663855293195
34,1,4241,news agency,0.006317180605447423,0.03832314661293373
35,5,7343,cd,0.006240886584610305,0.048625059936691056
36,1,1237,journalists,0.006035439462756598,0.02907295821479517
37,6,5529,programming,0.005989124160600292,0.017490430410163276
38,2,2303,communication,0.005960935168795011,0.02084685970879756
39,6,283,company,0.005892220101074985,0.015276449174455736
40,1,1572,press,0.0058597365790758835,0.026553113295594538
41,1,1261,radio,0.0056838143564996845,0.01968541241973735
42,2,2983,information,0.005457162442556349,0.018031179955921007
43,6,1030,tv,0.005438312386435,0.014742794664848312
44,1,793,state,0.005317572297280449,0.028584074838732425
45,1,173,national,0.005183035803303061,0.02444263217743881
46,1,1308,law,0.005117108319760829,0.027300123064395627
47,6,3776,broadcast,0.004897509278047563,0.013862945827561672
48,6,2533,launched,0.00482024447702464,0.014311106799772896
49,6,1862,service,0.00475646091956733,0.014163630431267402
50,6,285,television,0.0047495267467421096,0.012460600097669946
51,6,66,news,0.00472233548737388,0.011850864080697717
52,2,2327,social,0.0045360176243496135,0.016765467439651866
53,2,1416,research,0.004469595486036597,0.015803793153409
54,2,9840,social media,0.004289988257810634,0.01635151717474532
55,2,205,people,0.004279757895804711,0.015278351003610942
56,2,2973,study,0.004275799344075461,0.01655047378735531
57,2,5296,advertising,0.004111128720683703,0.014311175470246846
58,2,3111,theory,0.00409618061736887,0.01607015623501062
59,3,442,award,0.003895650780680704,0.013462634222615144
60,2,1184,example,0.0036852558951742747,0.014143302444202895
61,3,2701,career,0.0035661806182834756,0.012787504297420076
62,3,465,series,0.0035340968976592148,0.011721564572354876
63,3,1657,new york,0.0028411412700270052,0.00994189368019868
64,3,3125,producer,0.002833883945703067,0.01041852594157371
65,3,6,american,0.002800989497928845,0.00942914745731647
66,3,182,university,0.002647083289631202,0.00885071563576435
67,3,71,director,0.002646299870411955,0.00945146554026363
68,3,3871,born,0.002627164733730062,0.009607328077596667
69,3,8122,married,0.002621997380909217,0.009740566672683613
