label_id,label
0,Cultural depictions of people by nationality
1,Cultures
2,Video storage
3,Comedy songs
4,Video hosting
5,Computing culture
6,Viral videos
7,2009
8,Barbra Streisand
9,20th-century music genres
10,Music videos
11,Unofficial adaptations
12,Publications by medium
13,Dance
14,Songs by genre
15,Works by type and year
16,2000s introductions
17,Films about music and musicians
18,2000s fads and trends
19,Comedy genres
20,Dance music
21,Internet-based works
22,Fads
23,Music television
24,Cultural depictions of American people
25,Viral marketing
26,YouTube videos
27,Actors
28,Music media
29,Cultural depictions of women
30,Humour
31,Cultural depictions of actors
32,American pop songs
33,Works based on audio works
34,21st-century music genres
35,2009 introductions
36,Web hosting
37,Internet culture by year
38,History of the Internet
39,Songs by date
40,Songs
41,21st-century songs
42,Songs by year
43,Music by year
44,2009 in music
45,Barbra Streisand songs
46,Parody by medium
47,Works by year
48,Works by medium
49,Introductions by year
50,Online content distribution
51,Internet humor
52,Comedy by medium
53,2000s works
54,Popular music
55,Categories for deletion
56,American jazz
57,2009 works
58,Music by genre
59,Songs by decade
60,Cultural depictions of people by occupation
61,Musical comedy
62,Works by musician
63,World Wide Web
64,Works by source
65,Internet memes introduced in the 2000s
66,Media by year
67,Works based on music
68,Jazz songs
69,Cultural depictions of people
70,Parodies
71,Marketing techniques
72,Internet memes introduced in 2009
73,Musical parodies
74,United States in popular culture
75,Hollywood in fiction
76,Websites by topic
77,2010s fads and trends
78,2000s in Internet culture
79,Cultural depictions of men
80,Music genres
81,Promotion and marketing communications
82,Internet memes by year of introduction
83,2000s songs
84,Memes
85,Cultural depictions of musicians
86,Songs by artist
87,Men
88,Cultural depictions of Barbra Streisand
89,Satire
90,Cultural depictions of pop musicians
91,Feminism and the arts
92,Music
93,Media sharing
94,YouTube
95,Mass media by period
96,Music memes
97,2009 beginnings
98,Dance music songs
99,American songs by genre
100,Popular culture
101,Cyberspace
102,Women
103,Cultural depictions of Christian Bale
104,Women in history
105,Internet
106,Pop musicians
107,2009 songs
108,YouTube music videos
109,21st-century introductions
110,Internet culture
111,Internet memes
112,Compositions by year
113,American people
114,Musical culture
115,Computer networks
116,Pop songs by nationality
117,Short films
118,American jazz songs
119,2009 in arts
120,2000s in music
121,Internet memes by decade of introduction
122,Memetics
123,Cultural history of the United States
124,Presidencies of the United States
125,History of the United States (1918–45)
126,1943 in art
127,1941 in North America
128,Works by topic
129,1941 in the United States
130,1940s paintings
131,Freedom of expression
132,1940s in the United States
133,Religion
134,1930s conflicts
135,Works originally published in news magazines
136,Speeches by war
137,Paintings by subject
138,News magazines
139,Religion and law
140,World War II speeches
141,Art by subject
142,World War II and the media
143,American magazines
144,Conflicts in 1939
145,War and politics
146,Legal history by issue
147,War
148,1943
149,Paintings by artist
150,American art
151,Works originally published in The Saturday Evening Post
152,United States presidential speeches
153,1943 in arts
154,Amendments to the United States Constitution
