,country,label_id,label,tfidf,pmi
0,0,5669,india,0.02481921444963466,0.14758410476405512
1,0,3190,indian,0.019730064649422303,0.1445036016285625
2,0,6191,hindi,0.014581433831493124,0.1298438159560996
3,0,451,references,0.012583569405779722,0.046505508155993594
4,0,2533,launched,0.012257644617578157,0.06523706287114714
5,0,452,external links,0.010760857981446572,0.0476554430902706
6,4,2507,standard,0.010693008637823112,0.05394532966289767
7,4,412,video,0.010309472501195117,0.04217922437550032
8,0,5918,mumbai,0.01019298580816423,0.09954692556634305
9,0,1286,channel,0.01001181567008481,0.035227793294025506
10,0,5257,official website,0.009775890085855271,0.05855701503902532
11,0,1182,newspaper,0.009764549537947783,0.04018975255784036
12,4,18,audio,0.008567286990921127,0.04579894101115754
13,2,84,film,0.008234350602537722,0.02749569709324179
14,4,9549,software,0.008208667683725617,0.04011373759464549
15,3,2303,communication,0.008031243502677553,0.030333161124253383
16,4,4494,systems,0.007997340365312224,0.04056881503148831
17,4,1367,format,0.007674681220470624,0.03982388636767104
18,5,7348,stations,0.007560252636742346,0.027628644754387095
19,5,1448,network,0.0074024658297192885,0.023861102287879764
20,4,2322,data,0.006958900928008608,0.03194122020004955
21,5,5529,programming,0.006907831742365859,0.02406686261090936
22,3,2983,information,0.0067073271687841845,0.02331932943751269
23,3,174,media,0.006593944184186512,0.018592727637980123
24,4,10928,signal,0.006498306976995925,0.038989962239565176
25,5,283,company,0.006351167379285437,0.018979976305881337
26,4,7343,cd,0.00606186126364744,0.041595873639880425
27,4,1179,digital,0.005975403863829708,0.02470732344022972
28,5,5154,canada,0.005539737126174854,0.02272777650527187
29,3,5296,advertising,0.005484821550132021,0.020170388471370534
30,5,1261,radio,0.005463484052849183,0.017000151937616774
31,5,2030,canadian,0.0053734914016849095,0.022373081313713006
32,3,1633,marketing,0.005266819334834918,0.021700989675538986
33,2,300,music,0.005203304584490237,0.018397943917907385
34,3,2327,social,0.005148119714717149,0.020834682702463577
35,3,9840,social media,0.005117536633209551,0.021894133404510623
36,5,1030,tv,0.00506521790204498,0.016108107744930128
37,3,3111,theory,0.004945139926581512,0.021490362422805814
38,3,2973,study,0.004892112020279379,0.02109331184686483
39,5,10917,cable,0.0048395992482188075,0.020615903467171386
40,1,3776,broadcast,0.004795868200697924,0.015623591318138933
41,3,129,internet,0.004762102407134239,0.017079207361460153
42,1,650,government,0.004694160870540924,0.016821810053876517
43,5,2394,acquired,0.004599308052200944,0.017976035953335467
44,1,66,news,0.004480949391878975,0.012739235997867129
45,1,1033,group,0.004383412649961132,0.015186949464706228
46,2,592,production,0.004288116368508193,0.017773399270949723
47,6,543,war,0.0040407655720887,0.014276698482345158
48,2,375,artists,0.004020790083102021,0.018122086461981844
49,1,3008,russian,0.004013187715724337,0.016672154493852957
50,1,1221,business,0.004010429178138439,0.014294492647684502
51,1,285,television,0.003984774470505449,0.01211780985162971
52,1,931,bbc,0.003979810501428768,0.016076969020272818
53,6,1246,reporting,0.003959095622951738,0.013701232073685801
54,1,618,services,0.0038742137932701428,0.014664934462660997
55,6,883,isbn,0.0037601282329851275,0.011906578670495738
56,2,928,character,0.0037266011188483326,0.01731129088990503
57,2,1794,songs,0.0036410955078698152,0.0171384164285389
58,1,3434,uk,0.0036274169935940704,0.014034751523073957
59,6,1372,new york times,0.0035845573112917644,0.013008518400354243
60,2,71,director,0.0034160510256109715,0.015868683315746278
61,2,13,youtube,0.003314137055136465,0.01506520567950596
62,6,1585,propaganda,0.0032216702092990723,0.011486967872036635
63,2,1034,actors,0.003160170228761315,0.01534116263564345
64,2,7058,album,0.0031137479999562936,0.014983351262217367
65,6,1657,new york,0.0030961566964018404,0.010690234582131653
66,6,1612,journalism,0.002922189626464378,0.010112814149625234
67,6,566,book,0.002894341407966228,0.009492702616474717
68,6,6,american,0.0028686333070133156,0.009836696357143999
69,6,343,wrote,0.002850309645530515,0.010208761152942362
