article_id,popularity_score
0,15238
1,19984
2,20238
3,9728
4,166261
5,25766
6,14794
7,54292
8,12800
9,6448
10,12007
11,81094
12,10560
13,5251
14,61700
15,4428
16,67932
17,539554
18,1052076
19,112613
20,7222
21,22432
22,317057
23,203197
24,66435
25,81949
26,5010
27,488605
28,3939
29,17150
30,24168
31,50403
32,19623
33,35224
34,205987
35,83437
36,60719
37,25371
38,32716
39,5639
40,4896
41,6251
42,947002
43,149207
44,5131
45,1962
46,5050
47,2646
48,307946
49,9221
50,21657
51,10069
52,3281
53,50652
54,12742
55,23042
56,11691
57,12438
58,204840
59,1668618
60,139872
61,59586
62,804671
63,108910
64,3109556
65,4109
66,46664
67,20151
68,95006
69,1283577
70,34728
71,697898
72,5728
73,106299
74,351182
75,402876
76,956887
77,175310
78,1277357
79,41145
80,208184
81,356129
82,60775
83,135394
84,1068958
85,279367
86,947720
87,354841
88,4530
89,642411
90,255219
91,47408
92,694981
93,100192
94,771
95,231782
96,156726
97,312279
98,114880
99,320336
100,3489
101,35002
102,2473
103,2076
104,77350
105,1641052
106,16826
107,22629
108,171097
109,203693
110,2828256
111,394449
112,570277
113,1072016
114,241434
115,46125
116,409648
117,1686
118,244472
119,1127709
120,15061
121,433276
122,21514
123,320506
124,192710
125,47127
126,4616
127,34597
128,4700
129,23779
130,10273
131,8036
132,20959
133,1563179
134,10887
135,806477
136,451076
137,106227
138,225529
139,744231
140,212925
141,3288
142,422882
143,374741
144,793652
145,193084
146,23937
147,269181
149,2599182
150,48280
151,513084
152,69440
153,1518245
154,847191
155,776638
156,758145
157,123441
158,210873
159,281942
160,350287
161,460057
162,696491
163,262691
164,257651
165,30791
166,200441
167,1250180
168,15573
169,1005834
170,2538840
171,620337
172,115706
174,15112
175,385271
176,559560
177,86773
178,1261520
179,189940
180,43411
181,1274185
182,10096
183,167952
184,1604
185,58840
186,17318
187,14353
188,117904
189,11586014
190,739013
191,194494
192,229071
193,30836
194,1731
195,179335
196,53587
197,957871
198,1112
199,96729
200,127959
201,28426
202,3831
203,68120
