,country,label_id,label,tfidf,pmi
0,0,1288,internal combustion engine,0.07397851521561265,0.4849485528312278
1,4,577,android,0.036776402369199365,0.14475659354154258
2,2,61,world war ii,0.03429270017305742,0.23002379773660947
3,0,562,automobile,0.034239027778192134,0.256156944607389
4,4,581,smartphone,0.03392636650078627,0.13497394095014428
5,0,2354,cylinder,0.03171403945377854,0.2461629962981356
6,0,991,volkswagen group,0.03162783208223385,0.2524085534859836
7,0,2891,crankshaft,0.030591219691054633,0.24599444922775002
8,3,1703,technology,0.030079764171844256,0.13329647140081863
9,2,918,aircraft,0.027448965707043544,0.1919508932836534
10,0,899,steam engine,0.026857920201740763,0.2042582219805443
11,0,2482,diesel engine,0.025877317158191335,0.2065160892158048
12,3,1577,engineering,0.02493071807509077,0.11130630849375227
13,2,1302,submarine,0.024282698875299064,0.17779328022842683
14,4,566,wi-fi,0.02152469668991011,0.08911571654483409
15,0,5437,piston,0.020829380950727273,0.1693295124765542
16,4,448,apple inc.,0.020230577711600625,0.08404508616419072
17,0,3659,motor vehicle,0.01995365074948546,0.16436132564751732
18,1,1610,plastic,0.018897002274247728,0.08308923642970578
19,6,2224,paper,0.018865537901672638,0.07930615257696148
20,0,1318,automatic transmission,0.018737672230068295,0.1552362487052137
21,3,1772,information technology,0.018462609771827596,0.08663552720670982
22,5,2257,light,0.01794956988483126,0.08878719951212667
23,4,986,google,0.017658998450580384,0.07359103289335849
24,1,4111,valve,0.01677630791475991,0.07397885257703177
25,2,3331,ship,0.016516273929950566,0.12198115018908247
26,2,257,radar,0.01638186872494254,0.11534799442315073
27,5,1181,magnetic field,0.01633600516919044,0.0802842858892097
28,4,870,microsoft,0.01625952380396476,0.06786325791939264
29,5,833,semiconductor,0.01622495489873351,0.08021968731231108
30,2,12583,buoyancy,0.01611776363078436,0.12123214312651792
31,4,200,united states,0.015381121029298249,0.06197139612072293
32,2,1529,nasa,0.015357436137237277,0.1140302336338535
33,1,377,pressure,0.015090466507152716,0.06630094968442163
34,5,1216,voltage,0.014950537415208298,0.07401687369493395
35,1,357,metal,0.014915306955338907,0.06546169715677073
36,5,3545,transistor,0.014797836272791517,0.07312942994113235
37,5,1180,electron,0.014797836272791517,0.07312942994113235
38,2,3510,missile,0.014785845769767438,0.11138349706981822
39,5,2562,electromagnetic radiation,0.014392183364532603,0.07125130653975495
40,5,1399,alternating current,0.014208012783603478,0.07034796192435394
41,2,2725,propeller,0.014173710199982231,0.10575806792487788
42,5,2407,laser,0.0139511372302659,0.06903509171736755
43,3,894,computer,0.013908515836076923,0.06368846921398127
44,4,428,operating system,0.013817226703409688,0.05768945292142675
45,2,7186,gyroscope,0.013578584476914747,0.09971474975774201
46,1,1616,polymer,0.013080262150668334,0.05762088106278426
47,5,5351,infrared,0.012962852564712676,0.06410353900202273
48,1,3629,corrosion,0.012746699642009716,0.05588768813456291
49,1,1963,composite material,0.012746699642009716,0.05588768813456291
50,1,554,thermoplastic,0.012348609949916677,0.053709671406074494
51,1,1206,fluid,0.012337522470286327,0.054322206674211004
52,3,1898,innovation,0.01214738034069845,0.056846962157788054
53,4,571,qualcomm,0.011758500319746377,0.04885191970793159
54,4,451,ios,0.011758500319746377,0.04885191970793159
55,3,1367,software,0.011579468462404586,0.05420943225386093
56,1,2204,packaging,0.011376340002487953,0.0495790287463153
57,6,1516,industrial revolution,0.011309440280087313,0.047521571844419484
58,3,1781,nanotechnology,0.011026758725841692,0.051765057169354645
59,3,1056,science,0.010045457614127397,0.04720535482420009
60,6,930,machine,0.009924999093184433,0.04167914587986297
61,3,2777,internet,0.009651412686725667,0.04530901345393093
62,3,962,computer science,0.009647896651987647,0.045195538286067774
63,6,2455,england,0.008386840836418764,0.03500707552443532
64,6,1508,cast iron,0.008169095533342243,0.03355260301332986
65,6,201,inventor,0.008169095533342243,0.03355260301332986
66,6,3771,technical drawing,0.008169095533342243,0.03355260301332986
67,6,189,printing,0.008100491231084512,0.03336250327954329
68,6,559,steel,0.008028812192969925,0.033720726292566304
69,6,399,wood,0.007852006840976094,0.032623168026811034
