article_id,country
0,5
1,2
2,3
3,6
4,6
5,6
6,6
7,6
8,6
9,2
10,6
11,3
12,6
13,1
14,1
15,1
16,1
17,0
18,5
19,5
20,6
21,1
22,6
23,6
24,6
25,1
26,5
27,0
28,6
29,6
30,6
31,1
32,6
33,5
34,0
35,6
36,2
37,6
38,3
39,3
40,6
41,6
42,1
43,6
44,6
121,2
122,3
123,1
124,3
125,2
126,5
127,4
128,2
129,3
130,4
131,1
132,5
133,4
134,3
135,5
136,4
137,2
138,4
139,4
140,3
141,3
142,4
143,4
144,5
145,6
146,3
147,1
148,3
149,3
150,4
151,0
152,5
153,1
154,3
155,6
156,2
157,2
158,1
159,2
160,6
161,0
162,5
163,0
164,3
165,2
166,2
167,2
168,2
169,2
170,2
171,5
172,4
173,3
174,5
175,5
176,6
177,6
178,0
179,5
180,2
181,3
182,0
183,2
184,6
185,3
186,3
187,1
188,3
189,3
190,3
191,6
192,1
193,0
194,1
195,0
196,1
197,6
198,3
199,3
200,0
201,3
202,3
203,1
204,1
205,5
206,2
207,1
208,1
209,3
210,1
211,6
212,5
213,0
214,3
215,1
216,5
217,5
218,1
219,1
220,3
221,3
222,3
223,3
224,3
225,2
226,5
227,3
228,3
229,1
230,2
231,2
232,2
233,5
234,4
235,1
236,2
237,1
238,2
239,2
240,1
241,0
242,3
243,3
244,6
245,1
246,6
247,2
248,6
249,2
250,5
251,1
252,1
253,0
254,4
255,1
256,1
257,0
258,0
259,1
260,6
261,1
262,2
263,1
264,2
265,1
266,3
267,0
268,6
269,3
270,1
271,2
272,2
273,1
274,0
275,3
276,6
277,1
278,1
279,2
280,6
281,3
282,2
283,6
284,3
285,1
286,2
287,6
288,2
289,2
290,6
291,5
292,3
293,5
294,2
295,5
296,3
297,1
298,6
299,1
300,2
301,5
302,1
303,2
304,2
305,4
306,6
307,3
308,5
309,5
310,1
311,1
312,3
313,1
314,1
315,0
316,2
317,2
318,3
319,3
320,3
321,1
322,3
323,1
324,3
325,5
326,4
327,3
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,0
341,1
342,1
343,1
344,1
345,1
346,4
347,0
348,5
349,3
350,5
351,5
352,6
353,3
354,2
355,2
356,2
357,0
358,0
359,2
360,5
361,4
362,1
363,4
364,5
365,1
366,0
367,5
368,6
369,6
370,2
371,2
372,0
373,4
374,5
375,2
376,6
377,5
378,1
379,5
380,2
381,3
382,3
383,5
384,6
385,0
386,6
387,6
388,0
389,3
390,6
391,3
392,1
393,1
394,5
395,0
396,6
397,2
398,2
399,3
400,5
401,6
402,2
403,5
404,3
405,3
406,5
407,6
408,1
409,3
410,3
411,3
412,6
413,0
414,3
415,6
416,6
417,3
418,0
419,6
420,5
421,6
422,5
423,6
424,2
425,6
426,6
427,6
428,6
429,0
430,5
431,5
432,5
433,5
434,2
435,5
436,3
437,6
438,4
439,6
440,6
441,5
442,5
443,6
444,5
445,1
446,6
447,2
448,2
449,2
450,5
451,6
452,3
453,3
454,3
455,5
456,5
457,6
458,5
459,6
460,5
461,5
462,5
463,3
464,0
465,6
466,0
467,5
468,5
469,5
470,5
471,2
472,3
473,5
474,6
475,2
476,3
477,2
478,5
479,6
480,3
481,6
482,6
483,6
484,2
485,6
486,3
487,6
488,5
489,5
490,5
491,2
492,2
493,5
494,6
495,0
496,2
497,5
498,1
499,5
500,5
501,6
502,3
503,5
504,6
505,3
506,3
507,3
508,3
509,6
510,6
511,6
512,5
513,5
514,5
515,2
516,3
517,5
518,5
519,5
520,6
521,6
522,6
523,0
524,0
525,0
526,5
527,5
528,6
529,6
530,5
531,4
532,0
533,1
534,5
535,2
536,6
537,5
538,3
539,5
540,3
541,5
542,5
543,5
544,5
545,5
546,5
547,0
548,1
549,2
550,2
551,5
552,6
553,6
554,5
555,5
556,6
557,2
558,3
559,5
560,5
561,5
562,3
563,5
564,5
565,5
566,4
567,3
568,6
569,6
570,5
571,5
572,1
573,4
574,5
575,6
576,3
577,0
578,4
579,0
580,2
581,3
582,3
583,3
584,3
585,3
586,5
587,5
588,5
589,5
