,label,tfidf,pmi,country,key_words,alg,LDA
0,book,0.00881642879488395,0.04346059390709557,0,1,LDA,1
1,published,0.007529549628738133,0.044968376616034075,0,1,LDA,1
2,english,0.0063665534202449695,0.033667001694921546,0,1,LDA,1
3,recipes,0.006103977590137152,0.028419927499778355,0,1,LDA,1
4,edition,0.005955303738777276,0.06128308438728468,0,1,LDA,1
5,cookery,0.005765133928776966,0.06948042380486759,0,1,LDA,1
6,century,0.005586774180720173,0.023896525982068095,0,1,LDA,1
7,times,0.005309015257921497,0.016819068008780465,0,1,LDA,1
8,cookbooks,0.004957365003873095,0.04882929784064306,0,1,LDA,1
9,england,0.004866300314935828,0.03430963491089819,0,1,LDA,1
10,species,0.0069679158893444625,0.02651337627144316,1,1,LDA,1
11,leaves,0.006726247002006245,0.0245813684355539,1,1,LDA,1
12,grow,0.006389009939298055,0.02378029256711557,1,1,LDA,1
13,cultivation,0.006382174154508797,0.02506186240735734,1,1,LDA,1
14,plants,0.006232886482058182,0.021295090989955957,1,1,LDA,1
15,flowers,0.00590911688932577,0.02498949778200864,1,1,LDA,1
16,seeds,0.005905419553349002,0.023117003619511436,1,1,LDA,1
17,uses,0.005473222703772051,0.015477067393510301,1,1,LDA,1
18,north,0.005065561181134558,0.016343645198836767,1,1,LDA,1
19,tree,0.004822523332148479,0.020767220414239004,1,1,LDA,1
20,dishes,0.008409004761168914,0.023509703527832975,2,1,LDA,1
21,cooked,0.007155399386986544,0.020185981911543287,2,1,LDA,1
22,preparation,0.006787266496061837,0.020416368467746457,2,1,LDA,1
23,served,0.0061873770235684866,0.016254631452119098,2,1,LDA,1
24,ingredients,0.005899422348201027,0.017184550369915223,2,1,LDA,1
25,traditional,0.0058054760577451936,0.016420968268733974,2,1,LDA,1
26,cuisine,0.005501156395463115,0.017002641214740887,2,1,LDA,1
27,popular,0.005449033512181664,0.01452786746012118,2,1,LDA,1
28,references,0.005391422494269205,0.01280002161851619,2,1,LDA,1
29,sauce,0.005330753794794843,0.01716455404963172,2,1,LDA,1
30,restaurants,0.007815919186172386,0.021035062352496775,3,1,LDA,1
31,opened,0.006619670623040778,0.01864123997791458,3,1,LDA,1
32,new,0.006336080876713626,0.014730183602985381,3,1,LDA,1
33,location,0.005896925853273751,0.017118154408559464,3,1,LDA,1
34,city,0.005261027490435288,0.014537297646629211,3,1,LDA,1
35,year,0.005176987117229752,0.012257968895868627,3,1,LDA,1
36,worked,0.004960620091538117,0.015148740440133411,3,1,LDA,1
37,award,0.004834404611877694,0.01507077645934955,3,1,LDA,1
38,featured,0.004643246719283045,0.014357372153701082,3,1,LDA,1
39,york,0.00460819918043953,0.014125849074284411,3,1,LDA,1
40,beers,0.007260768839885924,0.040088343288554866,4,1,LDA,1
41,alcohol,0.006541765621744666,0.03327519154641619,4,1,LDA,1
42,brewery,0.006220097922713697,0.03768344900917685,4,1,LDA,1
43,brewing,0.006183840433389223,0.03554674448462273,4,1,LDA,1
44,drink,0.005708528743910041,0.023111975099354604,4,1,LDA,1
45,ale,0.005373248049118791,0.036313278652635006,4,1,LDA,1
46,bottle,0.005232483779810221,0.027820253299119527,4,1,LDA,1
47,produced,0.004848541979326296,0.014126741844904197,4,1,LDA,1
48,brewers,0.0047379516749275746,0.03289789441298868,4,1,LDA,1
49,spirits,0.004661701664391066,0.031336002794980715,4,1,LDA,1
50,company,0.008646134849739931,0.023729577968146127,5,1,LDA,1
51,brands,0.007675080348358232,0.0254379307055067,5,1,LDA,1
52,products,0.006704317065994792,0.01786638659285746,5,1,LDA,1
53,market,0.0066400244146596265,0.019732980626691248,5,1,LDA,1
54,united,0.006019982507548023,0.01554324152944655,5,1,LDA,1
55,sold,0.005704706593907425,0.018268486083748398,5,1,LDA,1
56,sales,0.00565099899536788,0.020114727668942362,5,1,LDA,1
57,operations,0.005384528668024472,0.01985154065873051,5,1,LDA,1
58,business,0.00505543929550197,0.016837998407609404,5,1,LDA,1
59,acquired,0.004960532556670839,0.021149117709603517,5,1,LDA,1
60,effects,0.0044977931218771645,0.017818214072032525,6,1,LDA,1
61,studies,0.0043134723916085135,0.0175672533104546,6,1,LDA,1
62,increased,0.004303483547302467,0.0154669978173604,6,1,LDA,1
63,levels,0.004160197569832199,0.017343466644079385,6,1,LDA,1
64,high,0.003827360176752517,0.012405342121285808,6,1,LDA,1
65,results,0.003816944672200544,0.01540529050708712,6,1,LDA,1
66,research,0.003802595333796273,0.015296162120968439,6,1,LDA,1
67,health,0.0037106910312160912,0.01460636901517505,6,1,LDA,1
68,process,0.0036548959992258483,0.01305891428613391,6,1,LDA,1
69,required,0.003595047626070652,0.014525961840438474,6,1,LDA,1
70,editions,0.005064572745167011,0.06147275657666037,0,1,LDA,1
71,elizabeth,0.003573569669024376,0.053574856198557216,0,1,LDA,1
72,writes,0.004167954649431664,0.052084996999494405,0,1,LDA,1
73,writers,0.0037595325840305725,0.04880300665860476,0,1,LDA,1
74,teas,0.0042112101073362536,0.048378632687660364,0,1,LDA,1
75,publisher,0.0035417869523970027,0.04670628489104988,0,1,LDA,1
76,pages,0.002883310165178357,0.04027806798095765,0,1,LDA,1
77,grows,0.005746900157738856,0.023933363424428793,1,1,LDA,1
78,cultivars,0.0047159403831941345,0.021401000440013432,1,1,LDA,1
79,native,0.0045635512413306194,0.019772820731668934,1,1,LDA,1
80,dish,0.008327252467570326,0.023943574162010497,2,1,LDA,1
81,fried,0.0048186364380053215,0.01601390101533311,2,1,LDA,1
82,recipe,0.005209400055925693,0.015687187861090808,2,1,LDA,1
83,menu,0.004441884461099371,0.014305043782691705,3,1,LDA,1
84,business,0.004962222159832153,0.014133265545369292,3,1,LDA,1
85,abv,0.004166027893445246,0.03020522149611858,4,1,LDA,1
86,distilling,0.003817073013131876,0.02804037398697446,4,1,LDA,1
87,liquor,0.004115539352493817,0.027888371959655628,4,1,LDA,1
88,companies,0.00774433232875075,0.02508675927512905,5,1,LDA,1
89,marketing,0.0058924702626161896,0.01999966840389058,5,1,LDA,1
90,advertising,0.0048617145056025855,0.019566264728367734,5,1,LDA,1
91,announced,0.004662155941484878,0.01898818679896808,5,1,LDA,1
92,cola,0.004260229756901362,0.018928607770621372,5,1,LDA,1
93,humans,0.003573771731133363,0.01616107332240228,6,1,LDA,1
94,increases,0.0035279061410959578,0.015506045628878437,6,1,LDA,1
95,acids,0.003549082577608051,0.015278477469870133,6,1,LDA,1
96,reduced,0.003446106207382687,0.015106591942500854,6,1,LDA,1
