article_id,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
0,0.650511,-0.265263,0.038821,-0.413284,-0.213354,-0.363552,0.015557,0.11335,-0.397506,0.465884,-0.173994,0.02057,-0.496496,-0.271012,0.419219,0.831296,0.414809,0.605594,0.63924,0.123796,0.240254,0.334452,0.683124,-0.441223,0.160823,-0.612126,-0.362011,0.128713,0.412879,0.399849,0.08945,0.409805,-0.037925,0.601406,0.007331,0.603353,-0.164049,-0.184616,-0.302075,0.216854,0.222752,-0.168349,-1.082129,-0.019047,0.392621,-0.04413,0.143053,-0.451115,0.138071,0.581406,0.358891,-0.668255,0.462377,-0.465538,-0.457752,-0.738508,0.233482,-0.424723,-0.235242,-0.180987,0.030121,0.286182,0.108509,-0.453566,-0.109821,0.479434,-0.070125,0.352484,0.126244,0.488043,0.127327,0.250505,-0.333696,0.036157,-0.184448,-0.761465,0.142111,-0.182167,-0.477108,-0.165708,0.328553,0.163044,0.565674,-0.690649,0.132227,0.03439,-0.434148,-0.267779,0.322434,0.017788,0.5304,0.167316,0.018934,0.590236,-0.004565,0.191959,0.085638,0.555946,-0.599981,0.104408
1,0.080652,-0.678755,0.064635,-0.103842,0.065483,0.347973,0.221775,-0.280711,-0.404321,-0.10116,0.543692,0.173894,0.213347,0.890759,0.176814,0.438698,0.117161,0.37859,-0.117716,0.362566,0.092548,-0.43056,0.075535,-0.324942,-0.29296,-0.465986,-0.248435,0.142249,0.14409,0.630956,-0.71133,0.07058,-0.262016,-0.011588,-0.486979,0.108352,0.148908,-0.225709,0.160316,-0.059141,0.08307,-0.486225,0.381397,-0.200963,0.426086,-0.050162,0.073783,-0.561153,0.116568,0.321806,0.07457,-0.845471,0.029405,0.513626,-0.094118,-0.046216,-0.539798,-0.47167,-0.565378,-0.003584,0.113646,0.530676,0.003246,-0.654147,-0.162883,0.306417,0.693837,-0.169973,-0.527712,0.265054,0.297262,0.221823,-0.695637,0.066552,0.307952,-0.307964,-0.389601,-0.066673,-0.204115,0.061849,-0.073197,0.031447,0.296913,-0.295443,0.236373,0.251133,-0.477136,-0.269523,0.269025,0.198895,0.136227,0.403076,-0.13795,0.627709,0.449959,-0.140757,-0.215886,0.256831,-0.341407,-0.195018
2,0.656547,0.010029,0.36705,-0.628991,0.620132,0.480793,-0.715269,-0.157987,-0.19903,-0.690196,0.368271,0.00371,0.372697,-0.375801,0.306383,0.584729,0.491505,-0.677885,0.717926,0.18234,-0.034861,-0.482796,0.556249,0.397996,0.486872,-0.467806,0.135069,0.334048,0.668221,-0.465602,-0.251423,-0.016899,-0.431186,0.174619,-0.597219,0.260891,0.334806,-0.017568,0.168337,0.637681,0.100966,-0.545152,0.087147,-0.527679,-0.040203,0.681078,-0.492614,0.080284,-0.62434,-0.538664,0.111848,-0.672613,0.191147,-0.805474,-0.309082,-0.412242,0.181977,-0.043721,-0.284246,-0.032303,0.116126,-0.005999,0.190972,0.000192,0.383777,0.717423,-0.270841,-0.242373,0.377387,0.5014,0.658095,0.421697,0.234399,0.163494,-0.325509,-0.930885,0.108533,0.379848,-0.34452,0.258778,0.616153,0.322712,0.029505,-0.302545,0.277218,0.284979,0.077791,-0.448834,-0.216049,-0.155382,0.099671,0.534142,0.382687,0.27353,-0.278603,0.230226,0.073471,0.661801,0.697235,-0.463558
3,0.144486,-0.102703,0.257995,-0.426754,0.335374,0.017437,-0.027679,0.314807,0.384119,-0.13476,0.878454,0.707945,-0.368924,-0.139141,0.349879,0.265048,0.472141,0.073745,0.888582,-0.024325,0.170775,-0.180048,0.737809,-0.168547,-0.108298,0.092278,-0.125459,0.236665,0.776134,0.166322,-0.699722,-0.171238,-0.300932,0.257562,0.124533,-0.187121,-0.233222,0.118633,-0.208158,0.24573,0.439022,-0.211536,-0.165817,0.109933,0.186179,-0.769899,-0.08544,0.070302,0.169475,-0.611308,-0.437253,-0.910738,-0.261922,-0.521848,-0.201059,-0.074762,0.60421,-0.263079,-0.122724,-0.28606,-0.61998,0.146982,-0.23194,-0.033071,-0.083512,0.770743,0.159022,-0.668281,0.979085,0.649828,0.088871,0.618636,-0.666119,-0.212192,-0.862028,-0.579255,-0.216046,-0.020059,0.005663,-0.192989,0.347796,-0.051297,0.442331,-1.234415,0.183581,1.032286,0.052674,0.156227,0.557657,-0.503822,0.282452,0.094921,-0.114071,0.260282,-0.074053,-0.214946,0.094662,0.631366,0.033932,0.18856
4,0.232015,0.070486,0.231317,-0.27893,0.53538,0.101972,-0.178962,0.16597,-0.113556,-0.082229,0.400994,0.891147,-0.192499,-0.076162,0.019059,0.462214,0.319165,0.540765,0.370902,-0.352488,0.368708,-0.472242,0.528392,-0.200806,-0.119879,0.271848,-0.061154,0.528577,0.915745,0.034571,-0.450792,0.057879,-0.09956,0.405115,-0.102875,0.05684,-0.108648,0.19899,-0.257064,0.477927,0.220578,-0.358196,-0.272226,0.078314,0.04287,-0.360891,-0.300526,0.036508,-0.079688,0.036998,-0.313444,-0.441035,-0.027493,-0.234293,-0.509614,-0.065219,0.113173,0.091325,-0.431295,-0.306293,-0.446232,0.360741,-0.007765,0.084124,0.258853,0.833043,0.391225,-0.213624,0.493221,0.362311,0.377921,0.53218,-0.413605,-0.157793,-0.664331,-0.098869,-0.289027,-0.164554,-0.323538,-0.584205,0.018881,-0.215225,0.501691,-1.092904,0.457309,0.947461,0.044701,-0.278126,-0.200068,-0.327785,0.340267,0.498868,0.006474,0.13951,0.090485,-0.017711,-0.048833,0.693851,0.165508,-0.124707
5,0.435761,0.238465,0.178658,0.132166,0.079522,-0.0627,-0.14467,-0.366283,0.115348,-0.104404,0.395747,0.414198,-0.141273,-0.226534,0.204405,0.514893,0.141548,0.214652,0.367334,-0.228174,0.342529,-0.071071,-0.112752,-0.229725,-0.073419,-0.36984,-0.336262,0.680558,0.506052,-0.177017,-0.138908,0.046853,-0.174797,0.197721,-0.202442,0.612791,0.308802,0.403854,0.122012,0.202738,0.07705,-0.393831,-0.081815,-0.103093,-0.110631,-0.227009,-0.005895,0.015169,-0.202933,-0.190972,-0.305375,-0.667071,0.172691,0.126488,-0.311596,0.140603,-0.457528,0.027369,0.096722,0.00035,-0.305908,0.100644,-0.042793,0.190737,0.30443,0.343559,0.089969,-0.583975,0.293225,0.093248,0.290855,0.347526,-0.185924,0.111104,-0.149556,-0.541022,0.036422,-0.017241,-0.03068,-0.724881,0.318021,-0.243835,0.228496,-0.848482,0.363621,1.020649,-0.179122,-0.603524,-0.057157,0.064096,0.316949,-0.113571,-0.032795,0.354425,0.163498,0.186019,-0.13013,0.729585,0.198616,-0.236949
6,0.515751,0.232613,0.526048,-0.32115,-0.318429,0.018044,-0.381054,-0.445581,-0.427246,0.15797,0.184227,1.07313,0.001525,-0.606795,0.224549,0.539815,0.403092,-0.122335,0.665022,-0.151227,0.531639,0.08322,0.379464,-0.370176,-0.026109,-0.243116,0.07986,0.415856,0.577294,-0.277525,-0.205843,-0.007387,-0.153756,0.332476,0.141993,0.386893,-0.038632,0.2744,-0.219583,-0.184068,0.064221,-0.239357,-0.506709,0.17739,0.163362,-0.31147,-0.276037,-0.286556,-0.465513,-0.260686,0.167798,-0.151561,0.245696,-0.058172,-0.702219,0.086677,-0.240204,0.061804,0.113235,-0.36073,-0.183578,0.053745,0.146804,0.320767,-0.039065,0.248856,0.088201,-0.356284,-0.001081,0.142729,0.522145,0.488233,-0.251485,-0.125978,-0.174168,-0.398557,0.078909,0.305073,-0.336402,-0.229287,-0.053107,0.031957,0.316546,-1.001868,0.567789,0.760404,0.009835,-0.075449,-0.0491,0.217378,0.372954,0.203424,0.431215,0.052048,0.200803,0.231585,-0.124181,0.736045,-0.036377,0.295398
8,0.819944,-0.224112,0.251993,-0.098932,-0.144204,-0.027592,0.027405,0.36804,0.513299,-0.479547,0.928764,1.086437,-0.314582,-0.027121,0.405615,0.063088,0.417607,0.721053,0.697065,-0.88576,1.086526,-0.216278,0.932607,-0.856902,-0.678274,-0.399519,-0.244306,0.36682,0.815976,0.17503,-0.240163,0.009884,-0.787682,0.193421,-0.517542,-0.158141,0.301494,0.047335,-0.238798,0.289331,0.562546,-0.401544,-0.797063,0.195283,0.031167,-0.358858,-0.27107,0.366751,0.008512,-0.069189,-0.564738,-0.947348,0.973084,-0.297148,0.129905,-0.668131,-0.303114,0.033916,0.037049,-0.595843,-0.250981,0.187449,-0.411686,-0.254522,0.015863,1.375693,-0.034922,-0.064754,1.025744,0.610325,-0.220442,0.772288,-0.501799,-0.487005,-0.771782,-0.17581,0.079945,-0.307142,-0.145184,-0.14543,0.650075,-0.075141,0.655952,-1.493472,0.092524,1.599667,-0.251036,-0.284576,-0.513571,-0.013466,-0.086334,0.357331,-0.259327,0.252075,-0.094641,0.222763,0.206284,1.079472,0.428944,-0.476282
9,0.652383,-0.426628,-0.120975,-0.283312,-0.314583,0.095255,-0.559803,0.092596,-0.049175,-0.138738,0.817359,-0.079365,-0.123194,-0.108008,0.467529,0.302194,0.064438,-0.444454,0.453498,0.180439,0.012387,-0.222654,-0.155911,-0.058722,-0.235976,-0.644222,0.416658,-0.236389,0.383264,0.294631,0.082454,0.334561,-0.414279,-0.01092,-0.19782,0.552662,0.281578,0.111243,0.256852,0.348339,-0.283522,-0.22549,0.527852,-0.162009,-0.17662,-0.014418,0.281223,0.23376,-0.30837,0.242112,-0.223997,-0.771471,0.188937,0.681152,-0.360477,0.096348,0.205549,-0.119109,-0.240321,-0.176534,0.208682,0.10139,-0.069972,0.20614,-0.320031,-0.428821,0.439609,-0.143896,0.020556,-0.160817,0.462167,0.617801,0.289518,-0.168689,-0.365278,-0.217676,-0.456959,0.181743,-0.024893,0.138086,-0.049844,0.104369,0.180753,-0.304506,-0.105821,0.432431,-0.284749,-0.064014,0.225509,-0.072398,0.275043,0.386811,-0.024831,-0.324747,0.163527,0.226967,0.060972,1.020353,0.04895,-0.633525
10,0.071325,0.371279,0.435888,-0.595097,-0.265471,0.068575,-0.495556,-0.409274,-0.028911,0.078395,0.241261,0.828268,0.254906,-0.534508,0.013562,0.481586,0.573091,0.318917,0.998337,-0.222595,0.344717,-0.093715,0.054218,-0.354719,0.022199,-0.446893,-0.146839,0.438714,1.082718,-0.016811,-0.471585,-0.236723,0.372548,-0.249475,0.049822,0.179951,0.284017,0.150904,-0.148233,0.109657,0.484654,-0.090386,-0.540212,0.087692,-0.348792,-0.682067,-0.405917,-0.139041,-0.068004,-0.102374,0.264287,-0.410796,-0.121541,0.175678,-1.336971,-0.036891,0.139803,0.264882,-0.203881,-0.356073,0.141908,-0.037209,0.638048,-0.044971,0.003657,0.468672,0.09078,-0.428859,-0.146656,0.35312,0.627819,0.102914,-0.608286,0.082841,0.381643,0.023653,0.038517,0.337545,-0.289351,-0.125304,-0.234796,0.409577,0.308703,-0.830513,0.212862,0.953488,-0.008037,0.208884,0.303633,0.199349,0.25177,0.066987,-0.124659,-0.18447,-0.182051,0.160289,-0.168402,0.681152,-0.001547,-0.021772
11,-0.032783,-0.035287,-0.02532,-0.877911,0.462788,0.806838,0.082386,-0.167299,0.026057,-0.014703,0.241758,-0.138278,0.485882,-0.367481,0.262521,0.470714,0.390981,-0.530861,0.335125,0.311287,0.199317,-0.290245,1.225475,0.518705,-0.044127,-0.509747,0.172618,0.560586,1.00595,-0.452198,-0.405012,-0.612809,-0.332952,0.125067,-1.038613,0.397399,0.470736,0.13118,0.285483,0.478136,0.001207,-0.748121,0.054255,-0.121761,-0.248967,0.173676,-0.190726,0.33897,0.052172,-0.300085,0.457932,-0.531077,0.504852,-0.486663,-0.726373,-0.571259,0.446238,-0.034431,-0.060477,-0.662422,-0.002106,0.045311,0.449944,0.241493,0.560787,0.82175,-0.546534,0.227809,0.290781,0.43878,0.34573,0.312752,-0.058497,-0.438397,-0.557569,-0.382791,0.005878,0.143094,0.126493,0.327591,0.404626,0.634162,0.506029,-0.261356,0.373563,0.385002,-0.044538,-0.167377,0.530289,-0.425481,0.132522,0.757962,0.746746,0.146565,-0.353174,0.033262,0.156399,0.498911,-0.106609,-0.302008
