,Unnamed: 0,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,0,food politics,0.01918128001940493,0.07706224011288977,1,0,0,0,0,kmeans_augmented,1,0,0
1,1,nutrition,0.01884807877404647,0.07407089388870705,1,0,0,0,0,kmeans_augmented,1,0,0
2,2,health,0.01768628256283448,0.07365947683228613,1,0,0,0,0,kmeans_augmented,1,0,0
3,3,food additives,0.01693739713738491,0.07450862172731547,1,0,0,0,0,kmeans_augmented,1,0,0
4,4,food and drink,0.016908635085539362,0.043500741139751366,1,0,0,0,0,kmeans_augmented,1,0,0
5,5,branches of biology,0.01614358228369917,0.07416583628634264,1,0,0,0,0,kmeans_augmented,1,0,0
6,6,food science,0.015383717383560643,0.06147901410465216,1,0,0,0,0,kmeans_augmented,1,0,0
7,7,chemical substances by use,0.015166416066972756,0.06931667712761429,1,0,0,0,0,kmeans_augmented,1,0,0
8,8,organic compounds,0.014345857663629353,0.07147035303055073,1,0,0,0,0,kmeans_augmented,1,0,0
9,9,determinants of health,0.014197789436722081,0.0669832509328566,1,0,0,0,0,kmeans_augmented,1,0,0
10,10,cuisine,0.01856050509836678,0.04373120367997796,1,0,0,0,0,kmeans_augmented,1,0,0
11,11,cuisine by country,0.01847822534895653,0.042417164817178006,1,0,0,0,0,kmeans_augmented,1,0,0
12,12,food and drink by country,0.016612040984488062,0.03976290802330852,1,0,0,0,0,kmeans_augmented,1,0,0
13,13,culture by country,0.016576323421510643,0.03923938843932685,1,0,0,0,0,kmeans_augmented,1,0,0
14,14,cuisine by region,0.01611750113049635,0.040068104384135175,1,0,0,0,0,kmeans_augmented,1,0,0
15,15,cuisine by continent,0.015714761574180898,0.040416676154462976,1,0,0,0,0,kmeans_augmented,1,0,0
16,16,prepared foods by main ingredient,0.015288216719368978,0.04152454610607399,1,0,0,0,0,kmeans_augmented,1,0,0
17,17,european cuisine by country,0.014741402117337588,0.038012613503758334,1,0,0,0,0,kmeans_augmented,1,0,0
18,18,asian cuisine,0.01375496827773642,0.03556323698282838,1,0,0,0,0,kmeans_augmented,1,0,0
19,19,foods,0.013751870762509524,0.031796412012216786,1,0,0,0,0,kmeans_augmented,1,0,0
20,20,births by decade,0.011184037806178423,0.04858006611585158,1,0,0,0,0,kmeans_augmented,1,0,0
21,21,years,0.01083062138985565,0.04400054279504647,1,0,0,0,0,kmeans_augmented,1,0,0
22,22,20th-century births,0.01067767116588727,0.05032330535702899,1,0,0,0,0,kmeans_augmented,1,0,0
23,23,people,0.009413457686809084,0.04781708804980328,1,0,0,0,0,kmeans_augmented,1,0,0
24,24,survivors,0.009352094075075494,0.04811564629187248,1,0,0,0,0,kmeans_augmented,1,0,0
25,25,living people,0.009352094075075494,0.04811564629187248,1,0,0,0,0,kmeans_augmented,1,0,0
26,26,people by status,0.009352094075075494,0.04811564629187248,1,0,0,0,0,kmeans_augmented,1,0,0
27,27,victims,0.009352094075075494,0.04811564629187248,1,0,0,0,0,kmeans_augmented,1,0,0
28,28,life,0.009221204019582442,0.04588117355385983,1,0,0,0,0,kmeans_augmented,1,0,0
29,29,nature,0.009062157945007554,0.04518176542041684,1,0,0,0,0,kmeans_augmented,1,0,0
30,30,companies by industry and year of establishment,0.012073334151378406,0.03379536947498805,1,0,0,0,0,kmeans_augmented,1,0,0
31,31,food product brands,0.010679388224702059,0.031695466268059226,1,0,0,0,0,kmeans_augmented,1,0,0
32,32,food and drink companies by year of establishment,0.01051320440853211,0.030863128952347763,1,0,0,0,0,kmeans_augmented,1,0,0
33,33,brands,0.010387318513913028,0.031551606288448386,1,0,0,0,0,kmeans_augmented,1,0,0
34,34,establishments in the united states by year,0.009968341022904965,0.030695843382040008,1,0,0,0,0,kmeans_augmented,1,0,0
35,35,brands by product type,0.009966146469777157,0.0322168829331393,1,0,0,0,0,kmeans_augmented,1,0,0
36,36,companies established in the 20th century,0.009932542609305343,0.03067152791675005,1,0,0,0,0,kmeans_augmented,1,0,0
37,37,companies by year of establishment,0.00988108976059863,0.03019701228579767,1,0,0,0,0,kmeans_augmented,1,0,0
38,38,establishments in the united states by state,0.009700693556244236,0.030456826708919405,1,0,0,0,0,kmeans_augmented,1,0,0
39,39,food and drink companies established in the 20th century,0.008994154758193589,0.028689787227404614,1,0,0,0,0,kmeans_augmented,1,0,0
40,40,alcoholic drinks by country,0.021283537585553132,0.0939387476190363,1,0,0,0,0,kmeans_augmented,1,0,0
41,41,alcoholic drinks,0.02058959858913212,0.08782255591771182,1,0,0,0,0,kmeans_augmented,1,0,0
42,42,fermented drinks,0.019332802272801184,0.08373093884625524,1,0,0,0,0,kmeans_augmented,1,0,0
43,43,wine,0.015662085690639243,0.07305147446342633,1,0,0,0,0,kmeans_augmented,1,0,0
44,44,alcohol,0.01479111800394657,0.06959597285631568,1,0,0,0,0,kmeans_augmented,1,0,0
45,45,drinking culture,0.014647949027834837,0.06784904704132001,1,0,0,0,0,kmeans_augmented,1,0,0
46,46,alcohol by country,0.01448445325093808,0.07142232888046142,1,0,0,0,0,kmeans_augmented,1,0,0
47,47,beer,0.01326542873796896,0.06613603427712374,1,0,0,0,0,kmeans_augmented,1,0,0
48,48,drug culture,0.012412633113109372,0.05681030764426755,1,0,0,0,0,kmeans_augmented,1,0,0
49,49,distilled drinks,0.012395188311631129,0.06317316509053086,1,0,0,0,0,kmeans_augmented,1,0,0
50,50,fishing,0.038768918345361066,0.3056119760906384,1,0,0,0,0,kmeans_augmented,1,0,0
51,51,fishing industry,0.03739773527670917,0.3002534812464365,1,0,0,0,0,kmeans_augmented,1,0,0
52,52,animal-based seafood,0.03314581600590423,0.2821162111224749,1,0,0,0,0,kmeans_augmented,1,0,0
53,53,primary industries,0.03182139419297974,0.1981482688247786,1,0,0,0,0,kmeans_augmented,1,0,0
54,54,seafood,0.02840579768991627,0.20423210607202205,1,0,0,0,0,kmeans_augmented,1,0,0
55,55,edible shellfish,0.02778014626475336,0.2690231846712544,1,0,0,0,0,kmeans_augmented,1,0,0
56,56,meat,0.02210084532658884,0.09756063665374036,1,0,0,0,0,kmeans_augmented,1,0,0
57,57,maritime culture,0.02178215291131138,0.20226435251453304,1,0,0,0,0,kmeans_augmented,1,0,0
58,58,animal products,0.021058721989199208,0.10872086870586856,1,0,0,0,0,kmeans_augmented,1,0,0
59,59,animals described in the 18th century,0.02001637788760928,0.21411653839674866,1,0,0,0,0,kmeans_augmented,1,0,0
60,60,edible plants,0.024691042857334502,0.07628642043029611,1,0,0,0,0,kmeans_augmented,1,0,0
61,61,plants and humans,0.021673339221840875,0.07546736060176631,1,0,0,0,0,kmeans_augmented,1,0,0
62,62,flora by continent,0.020201165084040372,0.07593480664594061,1,0,0,0,0,kmeans_augmented,1,0,0
63,63,plant products,0.01927304193597117,0.06884944164541422,1,0,0,0,0,kmeans_augmented,1,0,0
64,64,types of food,0.01855294065688176,0.061987981895879535,1,0,0,0,0,kmeans_augmented,1,0,0
65,65,vegan cuisine,0.01831930011958506,0.06010832018261818,1,0,0,0,0,kmeans_augmented,1,0,0
66,66,ethnobotany,0.01826931883964017,0.06774522122698011,1,0,0,0,0,kmeans_augmented,1,0,0
67,67,crops,0.01771172898401133,0.06704249621566817,1,0,0,0,0,kmeans_augmented,1,0,0
68,68,flora by country,0.017485154830650804,0.06873324918934381,1,0,0,0,0,kmeans_augmented,1,0,0
