,article_name,country,treatment
0,Acetic acid,0,kmeans_augmented
1,Guinea pig,0,kmeans_augmented
2,Ketogenic diet,0,kmeans_augmented
3,Maple syrup,0,kmeans_augmented
4,Agriculture,0,kmeans_augmented
5,Carnauba wax,0,kmeans_augmented
6,Genetic engineering,0,kmeans_augmented
7,Salt,0,kmeans_augmented
8,Sugar,0,kmeans_augmented
9,Vitamin,0,kmeans_augmented
10,Vitamin C,0,kmeans_augmented
11,Acetaldehyde,0,kmeans_augmented
12,Adolf Hitler and vegetarianism,0,kmeans_augmented
13,Agar,0,kmeans_augmented
14,Alum,0,kmeans_augmented
15,Aspartame,0,kmeans_augmented
16,Benzaldehyde,0,kmeans_augmented
17,Borax,0,kmeans_augmented
18,Botulism,0,kmeans_augmented
19,Butter,0,kmeans_augmented
20,Caffeine,0,kmeans_augmented
21,Camphor,0,kmeans_augmented
22,Capsaicin,0,kmeans_augmented
23,Chocolate,0,kmeans_augmented
24,Coffee,0,kmeans_augmented
25,Coffee bean,0,kmeans_augmented
26,Colostrum,0,kmeans_augmented
27,Cooking oil,0,kmeans_augmented
28,Curcumin,0,kmeans_augmented
29,Dietary supplement,0,kmeans_augmented
30,Drinking water,0,kmeans_augmented
31,Ethyl acetate,0,kmeans_augmented
32,Farmer,0,kmeans_augmented
33,Food security,0,kmeans_augmented
34,Foodborne illness,0,kmeans_augmented
35,Fructose,0,kmeans_augmented
36,Gelatin,0,kmeans_augmented
37,Genetically modified crops,0,kmeans_augmented
38,Genetically modified food,0,kmeans_augmented
39,Glycine,0,kmeans_augmented
40,Golden rice,0,kmeans_augmented
41,Green tea,0,kmeans_augmented
42,Hand washing,0,kmeans_augmented
43,Hazard analysis and critical control points,0,kmeans_augmented
44,History of coffee,0,kmeans_augmented
45,Honey,0,kmeans_augmented
46,Infant formula,0,kmeans_augmented
47,Lactic acid,0,kmeans_augmented
48,Limonene,0,kmeans_augmented
49,Menthol,0,kmeans_augmented
50,Microwave oven,0,kmeans_augmented
51,Milk,0,kmeans_augmented
52,Monosodium glutamate,0,kmeans_augmented
53,Nutrition,0,kmeans_augmented
54,Paleolithic diet,0,kmeans_augmented
55,Pasteurization,0,kmeans_augmented
56,Peanut butter,0,kmeans_augmented
57,Pectin,0,kmeans_augmented
58,Phosphoric acid,0,kmeans_augmented
59,Popcorn,0,kmeans_augmented
60,Potassium iodide,0,kmeans_augmented
61,Potassium nitrate,0,kmeans_augmented
62,Refrigeration,0,kmeans_augmented
63,Saccharin,0,kmeans_augmented
64,Sodium chloride,0,kmeans_augmented
65,Soy milk,0,kmeans_augmented
66,Soybean,0,kmeans_augmented
67,Sucralose,0,kmeans_augmented
68,Sucrose,0,kmeans_augmented
69,Taste,0,kmeans_augmented
70,Theobromine,0,kmeans_augmented
71,Theophylline,0,kmeans_augmented
72,Titanium dioxide,0,kmeans_augmented
73,Tocopherol,0,kmeans_augmented
74,Trans fat,0,kmeans_augmented
75,Vanillin,0,kmeans_augmented
76,Veganism,0,kmeans_augmented
77,Vegetable oil,0,kmeans_augmented
78,Vegetarianism,0,kmeans_augmented
79,Acesulfame potassium,0,kmeans_augmented
80,Ajinomoto,0,kmeans_augmented
81,Atkins diet,0,kmeans_augmented
82,Baking powder,0,kmeans_augmented
83,Carrageenan,0,kmeans_augmented
84,Casein,0,kmeans_augmented
85,Cereal,0,kmeans_augmented
