,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,food,0.0041821928898867705,0.016979003767434813,0,1,0,0,0,kmeans_augmented,1,0,0
1,protein,0.0037740844431867603,0.019535694282774966,0,1,0,0,0,kmeans_augmented,1,0,0
2,acid,0.003697062311693153,0.019137006644350987,0,1,0,0,0,kmeans_augmented,1,0,0
3,diet,0.0036730407230847525,0.018350192629448037,0,1,0,0,0,kmeans_augmented,1,0,0
4,intake,0.0034859950736267037,0.01938807524464131,0,1,0,0,0,kmeans_augmented,1,0,0
5,process,0.0031906230157113355,0.016064872010292955,0,1,0,0,0,kmeans_augmented,1,0,0
6,glucose,0.0031286918464967983,0.01757959541630807,0,1,0,0,0,kmeans_augmented,1,0,0
7,reaction,0.0030807693460244774,0.017392594884846686,0,1,0,0,0,kmeans_augmented,1,0,0
8,fda,0.0030627395010223765,0.017064064758938333,0,1,0,0,0,kmeans_augmented,1,0,0
9,health,0.003049864957641082,0.016491559177596704,0,1,0,0,0,kmeans_augmented,1,0,0
10,dish,0.006492930306944007,0.018326939179157557,0,1,0,0,0,kmeans_augmented,1,0,0
11,meat,0.005419187154836221,0.015231380544694808,0,1,0,0,0,kmeans_augmented,1,0,0
12,bread,0.004508024935872507,0.013427592723480505,0,1,0,0,0,kmeans_augmented,1,0,0
13,cooked,0.004382931545616126,0.013134792022200676,0,1,0,0,0,kmeans_augmented,1,0,0
14,cuisine,0.004353199775122989,0.01310282192366321,0,1,0,0,0,kmeans_augmented,1,0,0
15,served,0.004324447877770721,0.012902317827117479,0,1,0,0,0,kmeans_augmented,1,0,0
16,cheese,0.004052836770767071,0.012172223775675766,0,1,0,0,0,kmeans_augmented,1,0,0
17,sauce,0.0040301815965727945,0.012221365630483658,0,1,0,0,0,kmeans_augmented,1,0,0
18,recipe,0.003866042389203933,0.011604861367386523,0,1,0,0,0,kmeans_augmented,1,0,0
19,ingredients,0.0036929876999906796,0.011175333252576605,0,1,0,0,0,kmeans_augmented,1,0,0
20,restaurant,0.010497654740684946,0.038222559675881715,0,1,0,0,0,kmeans_augmented,1,0,0
21,chef,0.0067210712077839085,0.03593242508214135,0,1,0,0,0,kmeans_augmented,1,0,0
22,kitchen,0.00443772618706743,0.024508403605885652,0,1,0,0,0,kmeans_augmented,1,0,0
23,london,0.004360146103289114,0.02284555822586706,0,1,0,0,0,kmeans_augmented,1,0,0
24,street,0.004224581103437555,0.022282895900470383,0,1,0,0,0,kmeans_augmented,1,0,0
25,building,0.004202569423514644,0.02377335988639244,0,1,0,0,0,kmeans_augmented,1,0,0
26,hotel,0.0041907517373830265,0.023649054736659667,0,1,0,0,0,kmeans_augmented,1,0,0
27,new york city,0.004185245114732438,0.024025238493693632,0,1,0,0,0,kmeans_augmented,1,0,0
28,television,0.004116073505105659,0.02416083960409034,0,1,0,0,0,kmeans_augmented,1,0,0
29,opened,0.004007815748157541,0.019300930459507364,0,1,0,0,0,kmeans_augmented,1,0,0
30,company,0.009737606668058807,0.02738426830703173,0,1,0,0,0,kmeans_augmented,1,0,0
31,chain,0.006015120991757682,0.020645830894341837,0,1,0,0,0,kmeans_augmented,1,0,0
32,locations,0.005765926783587397,0.020317756565390248,0,1,0,0,0,kmeans_augmented,1,0,0
33,brand,0.005601261150685704,0.01826452417664431,0,1,0,0,0,kmeans_augmented,1,0,0
34,stores,0.005346891914715563,0.019014991093881113,0,1,0,0,0,kmeans_augmented,1,0,0
35,products,0.00456416302672352,0.015220699927000711,0,1,0,0,0,kmeans_augmented,1,0,0
36,business,0.004220670978339658,0.015023650210900909,0,1,0,0,0,kmeans_augmented,1,0,0
37,franchise,0.004059290596758357,0.015159484017342755,0,1,0,0,0,kmeans_augmented,1,0,0
38,announced,0.004022714632959625,0.014859440997546469,0,1,0,0,0,kmeans_augmented,1,0,0
39,advertising,0.003831240563232607,0.014307827611874059,0,1,0,0,0,kmeans_augmented,1,0,0
40,wine,0.009706710180928313,0.03659026485995512,0,1,0,0,0,kmeans_augmented,1,0,0
41,beer,0.009137705038899843,0.03584132413312311,0,1,0,0,0,kmeans_augmented,1,0,0
42,brewery,0.007070285747090902,0.033090924272811476,0,1,0,0,0,kmeans_augmented,1,0,0
43,alcohol,0.006610650310846243,0.029512254313963055,0,1,0,0,0,kmeans_augmented,1,0,0
44,grapes,0.006301614831824051,0.03056102998507211,0,1,0,0,0,kmeans_augmented,1,0,0
45,drink,0.0051959706650229805,0.021086036698017348,0,1,0,0,0,kmeans_augmented,1,0,0
46,brewing,0.00511948666882102,0.02505421262560712,0,1,0,0,0,kmeans_augmented,1,0,0
47,vineyards,0.00509101246041435,0.026218286145853236,0,1,0,0,0,kmeans_augmented,1,0,0
48,abv,0.0043700414566629755,0.023020691416002728,0,1,0,0,0,kmeans_augmented,1,0,0
49,liquor,0.004064359471429214,0.02081848784528008,0,1,0,0,0,kmeans_augmented,1,0,0
50,species,0.016385390203669126,0.07147461981716466,0,1,0,0,0,kmeans_augmented,1,0,0
51,fish,0.013896594002189388,0.0721782803524706,0,1,0,0,0,kmeans_augmented,1,0,0
52,fisheries,0.01036111287520059,0.10875406188458955,0,1,0,0,0,kmeans_augmented,1,0,0
53,females,0.009954896204471717,0.10169263535478087,0,1,0,0,0,kmeans_augmented,1,0,0
54,sea,0.009587254136384678,0.08482097277089698,0,1,0,0,0,kmeans_augmented,1,0,0
55,spawning,0.008364271010201586,0.09512066232164876,0,1,0,0,0,kmeans_augmented,1,0,0
56,males,0.007670340080803088,0.08402110063961105,0,1,0,0,0,kmeans_augmented,1,0,0
57,caught,0.0076038827365468966,0.08647332938331706,0,1,0,0,0,kmeans_augmented,1,0,0
58,freshwater,0.006987725762898751,0.08199059826143942,0,1,0,0,0,kmeans_augmented,1,0,0
59,waters,0.0068652675017674735,0.07411999661427177,0,1,0,0,0,kmeans_augmented,1,0,0
60,plant,0.008588164805000667,0.0320447413161883,0,1,0,0,0,kmeans_augmented,1,0,0
61,leaves,0.008299438004075224,0.03328032100431683,0,1,0,0,0,kmeans_augmented,1,0,0
62,fruit,0.008237784540862476,0.02959845848175716,0,1,0,0,0,kmeans_augmented,1,0,0
63,seeds,0.007454814591828039,0.031056123879427473,0,1,0,0,0,kmeans_augmented,1,0,0
64,cultivars,0.007023121437060498,0.03088765229328561,0,1,0,0,0,kmeans_augmented,1,0,0
65,tree,0.0066721701532479255,0.028992747144494527,0,1,0,0,0,kmeans_augmented,1,0,0
66,flowers,0.006138253733335071,0.02753779125102055,0,1,0,0,0,kmeans_augmented,1,0,0
67,cultivated,0.005603289883610864,0.025529085034440627,0,1,0,0,0,kmeans_augmented,1,0,0
68,crop,0.004528067797575886,0.02075841909262003,0,1,0,0,0,kmeans_augmented,1,0,0
69,cm,0.004321978067300429,0.02027632466014115,0,1,0,0,0,kmeans_augmented,1,0,0
