,label,tfidf,pmi,country,key_words,alg,kmeans_augmented
0,effects,0.004583530130357793,0.0177215492694129,0,1,kmeans_augmented,1
1,studies,0.004382590539339086,0.017441506497975878,0,1,kmeans_augmented,1
2,increase,0.00408971529814723,0.014726889011258583,0,1,kmeans_augmented,1
3,health,0.0038686973278676934,0.015086819606941786,0,1,kmeans_augmented,1
4,processing,0.0038050225479524377,0.015596905744158979,0,1,kmeans_augmented,1
5,research,0.003746094753356775,0.014850682595550023,0,1,kmeans_augmented,1
6,results,0.0036662595284945,0.014386933733498296,0,1,kmeans_augmented,1
7,humans,0.003625879457745429,0.01609589446954116,0,1,kmeans_augmented,1
8,acids,0.0036241916660867597,0.015241729923516582,0,1,kmeans_augmented,1
9,industry,0.0036215236315774455,0.013315984624308804,0,1,kmeans_augmented,1
10,dishes,0.006525176212297761,0.017094103224460932,1,1,kmeans_augmented,1
11,cooked,0.005757983204255658,0.015109004261541138,1,1,kmeans_augmented,1
12,served,0.005553897776001025,0.013850235860722909,1,1,kmeans_augmented,1
13,preparation,0.00541434134544793,0.014908542275866358,1,1,kmeans_augmented,1
14,traditional,0.005229404361367741,0.01366626150868228,1,1,kmeans_augmented,1
15,recipe,0.005165780168242309,0.014413224853244701,1,1,kmeans_augmented,1
16,popular,0.005053489293437705,0.012564545622645574,1,1,kmeans_augmented,1
17,references,0.005006796378944188,0.011490828866564318,1,1,kmeans_augmented,1
18,ingredients,0.004725433521784322,0.012722094547183345,1,1,kmeans_augmented,1
19,called,0.0046161075205979046,0.011021361380166406,1,1,kmeans_augmented,1
20,restaurant,0.007792713564424363,0.02857981633167803,2,1,kmeans_augmented,1
21,chef,0.006979572637414401,0.033295021637560145,2,1,kmeans_augmented,1
22,opened,0.00680162779088041,0.024689479821549523,2,1,kmeans_augmented,1
23,award,0.006523522351697995,0.030830729253368064,2,1,kmeans_augmented,1
24,work,0.00646686275253542,0.02396974485538254,2,1,kmeans_augmented,1
25,new,0.006342277273280775,0.01618095876782427,2,1,kmeans_augmented,1
26,york,0.005916294742845003,0.02560446308689905,2,1,kmeans_augmented,1
27,kitchen,0.005862805343535585,0.029558545469331836,2,1,kmeans_augmented,1
28,city,0.005769445202866453,0.020007803556972206,2,1,kmeans_augmented,1
29,house,0.00571490793521384,0.02512559816461443,2,1,kmeans_augmented,1
30,company,0.00780603530836548,0.02026868096762516,3,1,kmeans_augmented,1
31,brands,0.006562885705786989,0.019663865887805197,3,1,kmeans_augmented,1
32,operations,0.005565000727249832,0.018341056883133502,3,1,kmeans_augmented,1
33,marketing,0.005451218401490447,0.01669332822356771,3,1,kmeans_augmented,1
34,united,0.005295938719671164,0.01293751803160293,3,1,kmeans_augmented,1
35,business,0.005230424879685899,0.016372390771783745,3,1,kmeans_augmented,1
36,advertising,0.0051905543000512425,0.018074464955978434,3,1,kmeans_augmented,1
37,sales,0.005106432408586697,0.01631176298017601,3,1,kmeans_augmented,1
38,chains,0.005064277726623727,0.01747599150610385,3,1,kmeans_augmented,1
39,sold,0.005044725310424224,0.014776128919794553,3,1,kmeans_augmented,1
40,beers,0.00582830814657924,0.026766227670930298,4,1,kmeans_augmented,1
41,alcohol,0.005370041157228254,0.02301415663637446,4,1,kmeans_augmented,1
42,wines,0.005361107550555654,0.023151798262902073,4,1,kmeans_augmented,1
43,bottle,0.005290720053187198,0.023658151971205986,4,1,kmeans_augmented,1
44,produced,0.005125848604974422,0.013871246473730985,4,1,kmeans_augmented,1
45,breweries,0.004974025031784566,0.02488172344627145,4,1,kmeans_augmented,1
46,drink,0.00496249348358148,0.01778275993147202,4,1,kmeans_augmented,1
47,brewing,0.004777820125590869,0.022558402020845855,4,1,kmeans_augmented,1
48,years,0.004232163549026615,0.011075017909513879,4,1,kmeans_augmented,1
49,production,0.004220910730780807,0.011304636210667837,4,1,kmeans_augmented,1
50,waters,0.010563284272131136,0.07699522003969787,5,1,kmeans_augmented,1
