,label,tfidf,pmi,country,lda,alg,kmeans_augmented
0,bottle,0.010665329463401518,0.02691169343408327,0,1,kmeans_augmented,1
1,create,0.010529828920386897,0.026544062890595372,0,1,kmeans_augmented,1
2,history,0.010449884238231252,0.026331564381378885,0,1,kmeans_augmented,1
3,location,0.010370511907571054,0.0261243145488909,0,1,kmeans_augmented,1
4,eat,0.010317114802490064,0.0259871564310625,0,1,kmeans_augmented,1
5,bread,0.010296275685059059,0.025934175480132705,0,1,kmeans_augmented,1
6,popular,0.009618642986971753,0.024323193751537336,0,1,kmeans_augmented,1
7,ingredient,0.009579980326542965,0.024233742839794018,0,1,kmeans_augmented,1
8,recipe,0.009547877999034265,0.02415970146234277,0,1,kmeans_augmented,1
9,meat,0.009509494034781418,0.02407144684512873,0,1,kmeans_augmented,1
10,juice,0.008743795227696681,0.020158333095626386,1,1,kmeans_augmented,1
11,long,0.00869208337575844,0.02005845026852138,1,1,kmeans_augmented,1
12,green,0.008610432488023213,0.019934829869054083,1,1,kmeans_augmented,1
13,cultivate,0.008567245539915029,0.01986397382561144,1,1,kmeans_augmented,1
14,india,0.008545587146575911,0.01982910421403984,1,1,kmeans_augmented,1
15,harvest,0.008537997855823641,0.019829171436446608,1,1,kmeans_augmented,1
16,china,0.008513558532540502,0.019783310444341787,1,1,kmeans_augmented,1
17,root,0.00848034537702535,0.01972665970004328,1,1,kmeans_augmented,1
18,banana,0.008464186603284934,0.019704480547988366,1,1,kmeans_augmented,1
19,apple,0.008439880529007314,0.01965969975550349,1,1,kmeans_augmented,1
20,lead,0.014366247077176608,0.04577844050716679,2,1,kmeans_augmented,1
21,health,0.014326257603602805,0.04555914258856959,2,1,kmeans_augmented,1
22,acid,0.014310116997715618,0.04471955744421767,2,1,kmeans_augmented,1
23,need,0.014296384728199496,0.044960622450728085,2,1,kmeans_augmented,1
24,develop,0.014275524603431547,0.04608982241083693,2,1,kmeans_augmented,1
25,consume,0.01426524528876384,0.04500770343715044,2,1,kmeans_augmented,1
26,source,0.013621018566848862,0.038165303647259834,2,1,kmeans_augmented,1
27,report,0.013567566034277723,0.03775008706563688,2,1,kmeans_augmented,1
28,low,0.013523121275723533,0.03752479242188207,2,1,kmeans_augmented,1
29,system,0.013481768454660077,0.03736025510241096,2,1,kmeans_augmented,1
30,home,0.012038647167603528,0.029505083742740884,3,1,kmeans_augmented,1
31,form,0.011063484962554854,0.026457965315906287,3,1,kmeans_augmented,1
32,bacon,0.011003033163572597,0.02631011867021087,3,1,kmeans_augmented,1
33,canada,0.010936026614654953,0.026148871773355644,3,1,kmeans_augmented,1
34,sweet,0.010898670130713715,0.02605936001524619,3,1,kmeans_augmented,1
35,spice,0.010876348149755166,0.02600623779710151,3,1,kmeans_augmented,1
36,chicken,0.010832241967569062,0.025901409159692974,3,1,kmeans_augmented,1
37,meal,0.010766463505750168,0.02574574125823238,3,1,kmeans_augmented,1
38,egg,0.010729940564186646,0.025660213124546184,3,1,kmeans_augmented,1
39,salt,0.010708202142025077,0.025609148023800817,3,1,kmeans_augmented,1
40,run,0.010976795951121608,0.02878835252336049,4,1,kmeans_augmented,1
41,chemical,0.010946134031228892,0.028800038939000013,4,1,kmeans_augmented,1
42,vitamin,0.010870719628599462,0.028840981641628616,4,1,kmeans_augmented,1
43,vine,0.010756914931860014,0.03045140304452174,4,1,kmeans_augmented,1
44,french,0.010755879955085937,0.030397413917960435,4,1,kmeans_augmented,1
45,de,0.010676973045133046,0.030062456188836906,4,1,kmeans_augmented,1
46,heat,0.010589195190324488,0.029601560805784882,4,1,kmeans_augmented,1
47,award,0.01031600472617581,0.026378543604703455,4,1,kmeans_augmented,1
48,style,0.010245855238672372,0.0308964913324713,4,1,kmeans_augmented,1
49,season,0.010194615661216478,0.025984500822214103,4,1,kmeans_augmented,1
