,article_name,country,treatment
0,Acetic acid,0,kmeans_plain
1,Ketogenic diet,0,kmeans_plain
2,Maple syrup,0,kmeans_plain
3,Agriculture,0,kmeans_plain
4,Carnauba wax,0,kmeans_plain
5,Genetic engineering,0,kmeans_plain
6,Salt,0,kmeans_plain
7,Sugar,0,kmeans_plain
8,Vitamin,0,kmeans_plain
9,Vitamin C,0,kmeans_plain
10,Acetaldehyde,0,kmeans_plain
11,Adolf Hitler and vegetarianism,0,kmeans_plain
12,Agar,0,kmeans_plain
13,Alum,0,kmeans_plain
14,Aspartame,0,kmeans_plain
15,Benzaldehyde,0,kmeans_plain
16,Borax,0,kmeans_plain
17,Botulism,0,kmeans_plain
18,Butter,0,kmeans_plain
19,Caffeine,0,kmeans_plain
20,Camphor,0,kmeans_plain
21,Capsaicin,0,kmeans_plain
22,Chocolate,0,kmeans_plain
23,Coffee,0,kmeans_plain
24,Coffee bean,0,kmeans_plain
25,Colostrum,0,kmeans_plain
26,Cooking oil,0,kmeans_plain
27,Curcumin,0,kmeans_plain
28,Dietary supplement,0,kmeans_plain
29,Drinking water,0,kmeans_plain
30,Ethyl acetate,0,kmeans_plain
31,Farmer,0,kmeans_plain
32,Food security,0,kmeans_plain
33,Foodborne illness,0,kmeans_plain
34,Fructose,0,kmeans_plain
35,Gelatin,0,kmeans_plain
36,Genetically modified crops,0,kmeans_plain
37,Genetically modified food,0,kmeans_plain
38,Glycine,0,kmeans_plain
39,Golden rice,0,kmeans_plain
40,Green tea,0,kmeans_plain
41,Hand washing,0,kmeans_plain
42,Hazard analysis and critical control points,0,kmeans_plain
43,History of coffee,0,kmeans_plain
44,Honey,0,kmeans_plain
45,Infant formula,0,kmeans_plain
46,Lactic acid,0,kmeans_plain
47,Limonene,0,kmeans_plain
48,Menthol,0,kmeans_plain
49,Microwave oven,0,kmeans_plain
50,Milk,0,kmeans_plain
51,Monosodium glutamate,0,kmeans_plain
52,Nutrition,0,kmeans_plain
53,Paleolithic diet,0,kmeans_plain
54,Pasteurization,0,kmeans_plain
55,Peanut butter,0,kmeans_plain
56,Pectin,0,kmeans_plain
57,Phosphoric acid,0,kmeans_plain
58,Popcorn,0,kmeans_plain
59,Potassium iodide,0,kmeans_plain
60,Potassium nitrate,0,kmeans_plain
61,Refrigeration,0,kmeans_plain
62,Saccharin,0,kmeans_plain
63,Sodium chloride,0,kmeans_plain
64,Soy milk,0,kmeans_plain
65,Soybean,0,kmeans_plain
66,Sucralose,0,kmeans_plain
67,Sucrose,0,kmeans_plain
68,Taste,0,kmeans_plain
69,Theobromine,0,kmeans_plain
70,Theophylline,0,kmeans_plain
71,Titanium dioxide,0,kmeans_plain
72,Tocopherol,0,kmeans_plain
73,Trans fat,0,kmeans_plain
74,Vanillin,0,kmeans_plain
75,Veganism,0,kmeans_plain
76,Vegetable oil,0,kmeans_plain
77,Vegetarianism,0,kmeans_plain
78,Acesulfame potassium,0,kmeans_plain
79,Ajinomoto,0,kmeans_plain
80,Atkins diet,0,kmeans_plain
81,Baking powder,0,kmeans_plain
82,Carrageenan,0,kmeans_plain
83,Casein,0,kmeans_plain
84,Cereal,0,kmeans_plain
85,Chewing gum,0,kmeans_plain
86,Chlorella,0,kmeans_plain
87,Citric acid,0,kmeans_plain
88,Cocoa bean,0,kmeans_plain
89,Coconut oil,0,kmeans_plain
90,Coconut water,0,kmeans_plain
91,Coffee percolator,0,kmeans_plain
92,Cultured meat,0,kmeans_plain
93,Dairy,0,kmeans_plain
94,Decaffeination,0,kmeans_plain
95,Decomposition,0,kmeans_plain
96,Diet Coke and Mentos eruption,0,kmeans_plain
97,Dietary fiber,0,kmeans_plain
98,Drinking straw,0,kmeans_plain
99,Dry ice,0,kmeans_plain
100,Energy drink,0,kmeans_plain
101,Environmental impact of meat production,0,kmeans_plain
102,Ethylenediaminetetraacetic acid,0,kmeans_plain
103,FODMAP,0,kmeans_plain
104,Fermentation,0,kmeans_plain
105,Food,0,kmeans_plain
106,Food and Drug Administration,0,kmeans_plain
107,Food irradiation,0,kmeans_plain
108,Food preservation,0,kmeans_plain
109,Food pyramid (nutrition),0,kmeans_plain
110,Food safety,0,kmeans_plain
111,Freeze-drying,0,kmeans_plain
112,Fruitarianism,0,kmeans_plain
113,Galactose,0,kmeans_plain
