,label,tfidf,pmi,country,h_cat,alg,kmeans_plain
0,food politics,0.01945058764397653,0.07836233139479745,0,1,kmeans_plain,1
1,nutrition,0.018986133983960304,0.07481227241088922,0,1,kmeans_plain,1
2,health,0.017799753613635085,0.07435518012196791,0,1,kmeans_plain,1
3,food additives,0.01717520035932215,0.07580976937636774,0,1,kmeans_plain,1
4,food and drink,0.017084135443129693,0.043989679888288336,0,1,kmeans_plain,1
5,branches of biology,0.016220054553261486,0.07479289457899742,0,1,kmeans_plain,1
6,food science,0.015599706743053665,0.06251428446072285,0,1,kmeans_plain,1
7,chemical substances by use,0.01537935448819016,0.07054712870717113,0,1,kmeans_plain,1
8,organic compounds,0.014547275339922373,0.07279413214150672,0,1,kmeans_plain,1
9,food ingredients,0.014264172683954888,0.04408774267102983,0,1,kmeans_plain,1
10,companies by industry and year of establishment,0.012080227406813283,0.03381466490004514,1,1,kmeans_plain,1
11,food product brands,0.010607489363090337,0.03148207689640449,1,1,kmeans_plain,1
12,food and drink companies by year of establishment,0.010519206909789709,0.030880750218248345,1,1,kmeans_plain,1
13,brands,0.010352650511316216,0.03144630180902221,1,1,kmeans_plain,1
14,establishments in the united states by year,0.009974032435075893,0.030713369136447885,1,1,kmeans_plain,1
15,companies established in the 20th century,0.00993821358241561,0.030689039788272626,1,1,kmeans_plain,1
16,brands by product type,0.009926715196260372,0.032089416140769024,1,1,kmeans_plain,1
17,companies by year of establishment,0.00988673135676757,0.030214253233198464,1,1,kmeans_plain,1
18,establishments in the united states by state,0.009706232155419927,0.03047421599704877,1,1,kmeans_plain,1
19,food and drink companies established in the 20th century,0.008999289959902715,0.028706167626493306,1,1,kmeans_plain,1
20,births by decade,0.011169573350320889,0.048517236909256745,2,1,kmeans_plain,1
21,years,0.01081661401186586,0.043943636343191046,2,1,kmeans_plain,1
22,20th-century births,0.0106638616003335,0.05025822159733891,2,1,kmeans_plain,1
23,people,0.009401283144346215,0.04775524561227592,2,1,kmeans_plain,1
24,victims,0.009339998894938521,0.048053417725239675,2,1,kmeans_plain,1
25,people by status,0.009339998894938521,0.048053417725239675,2,1,kmeans_plain,1
26,living people,0.009339998894938521,0.048053417725239675,2,1,kmeans_plain,1
27,survivors,0.009339998894938521,0.048053417725239675,2,1,kmeans_plain,1
28,life,0.009209278121189924,0.045821834858742486,2,1,kmeans_plain,1
29,nature,0.009050437742890823,0.04512333127857872,2,1,kmeans_plain,1
30,alcoholic drinks by country,0.021283537585553135,0.0939387476190363,3,1,kmeans_plain,1
31,alcoholic drinks,0.02058959858913212,0.08782255591771182,3,1,kmeans_plain,1
32,fermented drinks,0.019332802272801184,0.08373093884625524,3,1,kmeans_plain,1
33,wine,0.015662085690639243,0.07305147446342633,3,1,kmeans_plain,1
34,alcohol,0.01479111800394657,0.06959597285631568,3,1,kmeans_plain,1
35,drinking culture,0.014647949027834836,0.06784904704132001,3,1,kmeans_plain,1
36,alcohol by country,0.014484453250938079,0.07142232888046142,3,1,kmeans_plain,1
37,beer,0.01326542873796896,0.06613603427712374,3,1,kmeans_plain,1
38,drug culture,0.012412633113109372,0.05681030764426755,3,1,kmeans_plain,1
39,distilled drinks,0.012395188311631129,0.06317316509053086,3,1,kmeans_plain,1
40,fishing,0.03704296626823756,0.28892729344859036,4,1,kmeans_plain,1
41,fishing industry,0.03573282684914985,0.28377381468167073,4,1,kmeans_plain,1
42,animal-based seafood,0.03167019861896238,0.2663540359586375,4,1,kmeans_plain,1
43,primary industries,0.031137382998799475,0.1924789056148908,4,1,kmeans_plain,1
44,seafood,0.0271412010073749,0.19335780472728759,4,1,kmeans_plain,1
45,edible shellfish,0.02654340293543675,0.2533122187553897,4,1,kmeans_plain,1
46,meat,0.021984757984986423,0.0966518030036732,4,1,kmeans_plain,1
47,animal products,0.021094816416230774,0.1083243040730285,4,1,kmeans_plain,1
48,maritime culture,0.020812434031702815,0.19063036870622438,4,1,kmeans_plain,1
49,animals described in the 18th century,0.020635159178568615,0.21698380211377044,4,1,kmeans_plain,1
50,cuisine,0.01858738218344358,0.04382438984191515,5,1,kmeans_plain,1
51,cuisine by country,0.01851259061219462,0.04251776221784122,5,1,kmeans_plain,1
52,food and drink by country,0.01663018382714407,0.039835865010492674,5,1,kmeans_plain,1
53,culture by country,0.01659598571007691,0.03931344406625016,5,1,kmeans_plain,1
54,cuisine by region,0.0161700283286209,0.04023382569990819,5,1,kmeans_plain,1
55,cuisine by continent,0.01572118653232583,0.04047331275764574,5,1,kmeans_plain,1
56,prepared foods by main ingredient,0.015286914461899809,0.04157067530450376,5,1,kmeans_plain,1
57,european cuisine by country,0.014744354816333481,0.03805829840905868,5,1,kmeans_plain,1
58,asian cuisine,0.013799795942898147,0.03571520196901105,5,1,kmeans_plain,1
59,foods,0.013773959027492887,0.03186188971289472,5,1,kmeans_plain,1
