article_id,x,y
0,23.311659,44.87551
1,-44.18895,42.89166
2,51.216198,-38.837307
3,61.889816,-10.039632
4,60.12686,-7.98659
5,1.8391471,0.72544086
6,39.698696,7.427168
8,60.693897,-9.469133
9,-43.58751,-34.599373
10,39.484024,10.4724865
11,52.237377,-39.25981
12,46.365536,20.438114
13,-17.59531,-16.398483
14,-19.041464,-18.912899
16,-12.605506,31.875795
17,-9.402806,19.603605
18,52.36032,-23.462143
19,16.167217,-27.718327
20,0.0109590795,-34.34867
21,-16.50437,-15.40108
22,49.097637,4.478583
23,61.84263,-8.126863
24,61.966896,-9.49514
25,-17.937992,-15.90669
26,24.56427,24.937885
28,63.89064,-6.4113503
29,63.16564,-7.9434447
30,40.336823,8.734958
31,6.2963824,-31.593634
32,27.158216,2.0206075
33,46.636593,32.595493
34,-5.0859947,23.866648
35,-3.836169,8.420564
36,-50.09802,15.891282
38,59.744648,-4.511329
39,-25.238626,50.19019
40,51.899277,-38.119064
42,62.83268,-8.425917
43,-31.644094,-40.924847
44,61.528587,-8.806307
45,-6.2388554,54.7848
46,55.536312,21.033043
47,33.362503,26.135595
48,-13.125899,-61.059948
127,-24.26737,-33.37109
128,1.4199659,-13.095598
129,-17.000538,-15.600406
130,7.924228,-9.665726
131,-27.554457,1.7058908
132,17.570276,14.362811
133,-39.36691,38.03114
135,0.41022214,14.4336405
136,-2.0434768,-17.195194
138,62.099983,24.707855
139,-11.435509,-5.7230945
140,-47.389313,-16.513588
141,59.748135,-4.5074797
142,49.655422,25.132072
143,-29.673111,-26.810873
144,-8.169399,-22.66718
145,-23.628527,44.909573
147,-3.774336,-25.598366
148,-7.366402,-9.24822
149,-3.6682665,-16.52716
151,5.651471,-0.6536422
152,-1.2230474,-55.294678
153,-31.553507,-13.674652
154,-12.020252,-32.85712
155,-32.325027,34.962513
156,-39.127323,36.572247
157,59.89947,9.775917
158,-30.248083,-46.3101
159,1.3558735,-18.808743
160,55.03616,25.753141
161,-32.21424,-28.789667
162,-25.387444,-41.679585
163,-22.00694,-34.65147
164,31.212845,-29.783737
165,60.67713,22.7643
166,-37.40665,20.46482
167,51.220398,-21.194921
168,-17.20439,4.62472
169,32.556297,-49.589764
170,-36.50871,-27.556814
171,-32.444626,-26.552052
172,-36.829468,-27.291641
173,-33.639595,-28.025452
174,-33.186096,-23.966446
175,-32.489403,-27.369404
176,-10.25827,57.88223
177,-23.046585,44.231544
178,52.42263,-27.604757
179,-9.299296,58.7524
180,28.285036,40.55073
181,40.077496,7.8117056
182,-0.66213036,-20.144407
183,-14.971174,55.54894
185,-36.465885,-33.370148
186,-7.8596473,-23.380592
187,-14.839944,35.892563
188,-34.616207,-31.97146
189,52.544598,-23.155357
190,-8.421616,-30.549854
191,-0.6032259,-17.006536
193,12.931367,10.662436
194,-14.387307,-11.878902
195,50.51396,-25.761465
196,59.904087,8.587065
197,-23.609352,-47.93835
198,-13.190905,45.36228
200,-5.5642138,-46.927048
202,34.771885,11.362935
203,2.27478,-24.825872
204,-13.231507,-7.7402897
205,8.074397,-4.6864915
206,-8.451136,-8.391098
207,-1.203806,-22.569834
209,-10.199452,-56.730507
210,16.970026,-26.149689
211,-37.246937,-18.136738
212,-9.988718,-54.027283
213,-19.075716,-19.147322
214,-12.624244,-14.392901
216,6.1369557,10.276108
217,48.98227,-31.074896
218,-15.888088,-14.027654
219,-12.011485,-5.0289917
220,-15.069927,-14.70228
221,26.8306,14.791816
222,18.912212,15.690845
223,-5.92656,-21.040815
224,-10.510407,-21.833864
225,4.460467,-17.412052
226,-11.568269,-23.223888
227,-15.471505,-23.45887
228,-3.010179,-29.895615
229,-19.373316,-10.350415
230,18.159496,2.8652534
231,23.098347,17.655527
232,0.27285635,4.50984
233,-11.952943,-16.813759
234,-8.812589,-57.51964
235,-41.145336,8.963178
236,-42.870495,-13.346668
237,-50.832043,11.75446
238,-10.013484,60.035954
239,-33.79498,32.35823
241,-41.398148,-6.8192887
242,-11.252191,-56.829838
243,-36.19709,-27.383804
244,-36.861767,-24.849827
245,-34.715168,-36.336407
247,52.212315,-27.12097
248,-4.8943586,17.588766
249,30.494104,-14.594318
251,4.6705356,12.789393
252,-38.774975,6.815938
253,-17.759148,46.68492
254,-36.851364,-24.875122
255,3.2921221,17.546745
258,-27.834044,-14.000808
260,11.279487,-39.96966
262,-44.517418,12.58485
263,-44.5913,12.650475
264,-10.56901,-57.939995
265,8.106345,7.976804
266,-11.147574,-58.569626
268,-16.994492,-16.04547
270,-17.683285,-15.551315
271,-6.159709,-14.911633
272,-14.294717,-25.774252
273,29.088287,-36.902023
274,52.274235,-28.443558
275,-9.531778,-60.449005
276,-40.40261,-32.870903
280,-12.727809,-3.5334024
281,41.485188,8.061919
283,-29.206799,-21.208885
284,4.800707,11.895859
285,-14.2678,-22.705889
286,-19.636868,-32.847378
287,42.882862,5.854966
288,-13.367496,-15.739955
290,-44.682533,-7.148717
291,64.75655,-8.139758
292,-34.42707,-49.17125
293,7.5966096,-27.512981
295,2.9356115,-9.004754
296,-15.449413,-4.737599
297,55.486088,-18.854698
298,-26.807087,-23.307293
299,10.791822,-23.969917
300,-22.66797,-16.23315
301,-8.994701,-57.508575
302,41.000893,7.81409
303,-20.133232,-42.499355
304,-48.058403,12.06492
305,-11.117915,56.215218
306,-55.77302,-5.870092
307,-31.598948,-30.486862
308,-36.120193,48.20387
310,62.71097,-8.345978
311,4.626509,-18.392542
312,16.016401,43.980618
313,-10.812035,57.918617
314,-14.2554655,-47.377445
315,-9.782888,-52.57922
316,32.17744,-48.249363
317,-21.941206,43.3834
318,-21.430326,-48.65953
319,-35.42278,15.0569105
320,-39.137882,-32.75354
321,-28.44187,-23.903131
322,-10.470676,-15.3844385
323,48.934402,-27.577904
324,-11.963285,-15.344835
326,3.4094436,-24.486542
327,-21.207052,-37.733997
328,50.32145,-38.777287
329,21.148777,34.616936
330,-3.900976,27.987799
331,8.077582,-9.798774
332,21.187561,11.726384
336,-11.730406,-58.017727
338,-18.097324,-14.551365
340,-5.599889,-50.907864
341,-6.663046,-50.086853
342,-17.308184,-15.016018
343,-9.946241,-56.39391
344,-32.506042,47.12994
346,-15.887299,-18.0225
350,-29.888842,23.550135
351,-54.865105,-10.908542
352,37.798992,9.510955
354,27.631071,32.144825
355,28.17832,32.970165
356,58.57101,26.124273
357,-12.445622,-16.577463
358,-48.02032,-7.353516
359,-31.462606,-25.806389
360,-32.299793,-28.560783
361,-9.665488,28.855474
363,-36.1255,20.685595
364,21.960764,-45.17638
365,-9.6266,57.05671
367,22.4645,-24.059767
368,21.626085,-22.785248
369,-36.253555,0.15721735
370,-31.340014,-4.208119
371,-20.69652,41.82194
372,23.556997,46.146175
373,20.81846,6.950753
374,-15.032559,-12.216812
375,16.915253,33.255386
376,59.808342,-7.4352117
377,59.330765,-5.884086
378,-48.842216,-8.310151
380,-14.780639,35.966423
381,-23.903257,46.48034
382,34.656563,15.444254
383,-29.593874,-40.777756
384,64.18828,12.348875
385,-11.798813,56.27261
386,0.045954693,-51.84386
387,18.891989,44.875328
388,-38.7717,-31.07214
390,51.81548,-27.061726
391,23.039963,24.664103
392,11.319904,8.641648
393,-7.588933,49.24588
394,11.467812,7.2138047
395,5.542374,13.727385
396,-8.766576,49.623154
397,49.32735,-26.962011
398,27.329302,-0.6706227
399,6.4869375,-25.081602
400,18.866673,7.1931105
401,-1.9405932,-53.006542
402,30.839552,34.921646
403,-38.77966,18.087673
404,61.95576,25.249914
405,-32.317345,-5.162303
406,-31.82463,-27.154661
407,40.439102,-32.614918
408,-8.910664,59.63682
409,62.04514,19.275673
410,-35.92423,11.220491
411,19.765299,38.101196
412,49.726334,-35.448963
413,51.0184,-36.91575
414,-10.022095,55.6081
415,49.39052,24.692608
416,-16.399035,27.430872
417,-3.3719478,-18.265162
418,-8.560532,-22.215908
419,-2.2696347,-10.4708185
420,45.828617,17.701862
422,-2.690985,-29.14655
423,31.384747,14.978196
424,47.38048,8.634158
425,10.452962,-24.825918
426,-57.7683,-16.518929
427,39.186905,7.9689264
428,26.066795,45.41804
429,60.88371,23.305595
430,20.46633,32.164955
431,38.679585,8.009247
432,-31.94673,-28.262115
433,34.961746,11.598333
434,4.1577816,32.72854
435,45.67334,8.951611
436,55.28971,30.686522
437,-37.567757,20.873747
438,54.18879,-23.312937
439,19.161673,44.19135
440,-11.974857,59.37812
441,-12.694413,59.715206
442,-44.66607,-4.4405584
443,12.463835,-18.296572
444,-28.02972,3.930689
445,8.224854,-22.918638
446,-22.81624,50.93201
447,41.670425,7.0615816
448,21.207064,-8.878927
449,13.252564,20.766392
450,13.0950775,20.89137
451,39.602375,6.135212
452,39.231766,4.608281
453,-15.848372,-18.030142
454,33.97392,14.665252
455,-37.142292,-19.500889
456,-30.567474,-25.819744
457,-29.74363,-28.623337
458,-13.708798,59.091152
459,55.030464,15.62677
460,9.881059,2.6818495
461,1.4283893,-17.790691
462,-35.118427,4.6007404
463,9.32434,38.014507
464,29.96264,44.775654
465,46.654305,13.54454
466,38.89319,-1.6865312
467,41.443806,-1.327231
468,29.235607,33.83229
469,27.621532,45.312977
470,-7.004511,60.150288
471,47.131104,-35.661304
472,-28.476683,15.864439
473,43.392727,6.9549966
474,-4.4615307,46.821617
475,-12.827239,58.666073
476,-15.156447,54.80119
477,-11.214957,53.966606
478,-11.479583,57.36054
479,21.83459,-44.26294
480,0.96972257,-8.1333475
481,-11.31728,57.935047
482,59.472473,22.269506
483,-39.350273,-34.45367
484,1.9612244,0.41203627
485,-39.08431,-37.334625
486,-8.963968,59.598694
487,43.65487,6.3139224
488,-4.4485416,17.698776
489,4.078875,14.346541
490,19.938726,-35.64758
491,63.336777,-7.4999046
492,-52.618195,5.693721
493,30.284279,40.738033
494,49.282387,-35.532436
495,-6.6135364,23.01449
496,-7.31041,22.966307
497,-6.8851757,22.873928
498,-4.371809,25.001019
499,-38.167084,-17.422857
