article_id,country
0,6
2,0
3,1
4,1
5,1
6,3
7,1
8,6
9,6
10,4
11,0
12,6
13,4
14,1
15,6
16,6
17,6
18,4
19,6
20,1
21,4
22,1
23,4
24,3
25,1
26,4
27,2
28,4
29,3
30,6
31,2
32,2
33,4
34,2
35,6
36,4
37,4
38,6
39,6
40,6
41,6
42,3
43,0
44,3
45,3
46,1
47,4
48,4
49,6
50,4
51,2
52,4
53,4
54,0
55,6
56,4
57,6
58,3
59,4
60,4
61,6
62,6
63,4
64,1
65,1
66,4
67,3
68,0
69,0
70,6
71,6
72,3
73,3
74,6
75,6
76,6
77,4
78,4
79,6
80,2
81,3
82,3
83,6
84,3
85,3
86,6
87,3
88,2
89,3
90,3
91,1
92,3
93,4
94,6
95,3
96,4
97,4
98,6
99,3
100,3
101,2
102,0
103,4
104,4
105,3
106,1
107,4
108,1
109,1
110,4
111,0
112,1
113,3
114,4
115,4
116,0
117,0
118,1
119,6
120,6
121,3
122,4
123,2
124,3
125,2
126,1
127,3
128,0
129,2
130,6
131,3
132,6
133,6
134,1
135,4
136,6
137,6
138,0
139,4
140,4
141,3
142,3
143,2
144,6
145,4
146,6
147,6
148,4
149,1
150,6
151,3
152,6
153,6
154,6
155,6
156,1
157,6
158,1
159,6
160,4
161,6
162,6
163,4
164,4
165,4
166,0
167,6
168,6
169,3
170,3
171,6
172,3
173,4
174,3
175,3
176,6
177,3
178,3
179,6
180,3
181,4
182,4
183,6
184,3
185,4
186,5
187,6
188,1
189,3
190,2
191,1
192,1
193,2
194,2
195,2
196,3
197,2
198,2
199,1
200,1
201,6
202,6
203,1
204,3
205,3
206,3
207,6
208,2
209,3
210,3
211,6
212,6
213,3
214,1
215,6
216,4
217,4
218,4
219,3
220,3
221,6
222,0
223,4
224,1
225,3
226,4
227,3
228,3
229,6
230,6
231,4
232,4
233,4
234,6
235,3
236,3
237,0
238,4
239,6
240,4
241,0
242,1
243,6
244,0
245,0
246,6
247,6
248,3
249,6
250,1
251,1
252,3
253,2
254,2
255,2
256,6
257,4
258,4
259,4
260,4
261,1
262,3
263,6
264,4
265,4
266,4
267,4
268,1
269,4
270,4
271,6
272,1
273,0
274,4
275,6
276,1
277,6
278,1
279,1
280,1
281,3
282,3
283,3
284,1
285,4
286,1
287,4
288,6
289,4
290,4
291,4
292,3
293,1
294,2
295,4
296,6
297,6
298,4
299,4
300,3
301,4
302,1
303,0
304,4
305,6
306,1
307,4
308,4
309,4
310,4
311,6
312,4
313,3
314,0
315,0
316,6
317,4
318,4
319,3
320,4
321,1
322,4
323,6
324,6
325,1
326,4
327,3
328,4
329,4
330,3
331,4
332,4
333,1
334,6
335,1
336,6
337,1
338,4
339,1
340,4
341,6
342,1
343,1
344,3
345,4
346,3
347,6
348,3
349,2
350,6
351,4
352,6
353,6
354,0
355,0
356,3
357,6
358,2
359,4
360,1
361,6
362,6
363,3
364,3
365,3
366,6
367,1
368,6
369,4
370,6
371,1
372,0
373,0
374,0
375,3
376,4
377,4
378,2
379,3
380,2
381,0
382,3
383,3
384,6
385,6
386,1
387,0
388,4
389,6
390,1
391,4
392,4
393,3
394,4
395,4
396,1
397,4
398,3
399,3
400,4
401,4
402,4
403,4
404,2
405,0
406,3
407,6
408,3
409,3
410,1
411,4
412,6
413,1
414,4
415,6
416,4
417,2
418,4
419,4
420,6
421,4
422,6
423,1
424,1
425,6
426,1
427,4
428,6
429,6
430,4
431,4
432,6
433,6
434,3
435,3
436,6
437,3
438,3
439,4
440,3
441,4
442,1
443,6
444,0
445,6
446,4
447,3
448,0
449,0
450,3
451,4
452,3
453,4
454,0
455,6
456,6
457,6
458,0
459,1
460,1
461,3
462,3
463,6
464,6
465,6
466,4
467,4
468,6
469,3
470,6
471,3
472,6
473,3
474,1
475,6
476,0
477,3
478,1
479,3
480,1
481,4
482,1
483,1
484,6
485,0
486,1
487,6
488,1
489,2
490,1
491,4
492,6
493,1
494,6
495,1
496,3
497,1
498,0
499,4
500,1
501,4
502,4
503,1
504,3
505,1
506,4
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,4
517,1
518,1
519,4
520,1
521,1
522,1
523,4
524,4
525,1
526,0
527,1
528,6
529,6
530,6
531,3
532,6
533,1
534,6
535,3
536,6
537,4
538,2
539,3
540,1
541,6
542,1
543,6
544,3
545,1
546,4
547,6
548,6
549,4
550,4
551,4
552,6
553,3
554,3
555,6
556,3
557,1
558,6
559,6
560,5
561,6
562,0
563,4
564,3
565,1
566,6
567,6
568,6
569,4
570,0
571,6
572,4
573,1
574,1
575,4
576,6
577,3
578,4
579,3
580,6
581,2
582,1
583,0
584,3
585,2
586,2
587,4
588,4
589,1
590,4
591,4
592,1
593,3
594,1
595,1
596,6
597,3
598,4
599,4
600,4
601,4
602,4
603,4
604,2
605,2
606,2
607,1
608,4
609,1
610,4
611,3
612,4
613,3
614,1
615,4
616,3
617,3
618,6
619,3
620,6
621,4
622,6
623,6
624,6
625,6
626,4
627,4
628,4
629,3
630,4
631,4
632,1
633,4
634,1
635,6
636,4
637,1
638,4
639,3
640,1
641,3
642,2
643,4
644,6
645,3
646,6
647,3
648,6
649,4
650,4
651,1
652,2
653,6
654,6
655,4
656,0
657,3
658,3
659,4
660,6
661,4
662,2
663,6
664,1
665,4
666,4
667,1
668,3
669,0
670,0
671,6
672,6
673,0
674,4
675,6
676,6
677,2
678,3
679,4
680,6
681,0
682,3
683,3
684,3
685,6
686,4
687,3
688,4
689,3
690,6
691,6
692,6
693,1
694,3
695,4
696,6
697,4
698,3
699,4
700,4
701,3
702,3
703,0
704,4
705,0
706,1
707,0
708,2
709,2
710,3
711,4
712,6
713,4
714,3
715,0
716,3
717,6
718,3
719,3
720,4
721,2
722,4
723,4
724,3
725,4
726,6
727,4
728,3
729,6
730,3
731,6
732,6
733,5
734,6
735,3
736,6
737,4
738,1
739,3
740,1
741,4
742,3
743,6
744,4
745,6
746,4
747,3
748,0
749,4
750,2
751,6
752,3
753,4
