,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,advertiser,0.012762175829228556,0.030096470705650077,0,0,0,0,1,0,LDA,0,1,0
1,sale,0.011618718513950571,0.027438683428392528,0,0,0,0,1,0,LDA,0,1,0
2,pay,0.011392605770603317,0.02693873778438902,0,0,0,0,1,0,LDA,0,1,0
3,music,0.0113256969860182,0.026792287382661744,0,0,0,0,1,0,LDA,0,1,0
4,mobile,0.011076654989565442,0.02625311143059871,0,0,0,0,1,0,LDA,0,1,0
5,share,0.010975776166518058,0.026037353543878206,0,0,0,0,1,0,LDA,0,1,0
6,result,0.010918556981994185,0.025915648122697355,0,0,0,0,1,0,LDA,0,1,0
7,acquire,0.010755742727332073,0.02557199870971261,0,0,0,0,1,0,LDA,0,1,0
8,brand,0.009892461305458658,0.02381456738899142,0,0,0,0,1,0,LDA,0,1,0
9,marketing,0.009840759336175542,0.023712714120286832,0,0,0,0,1,0,LDA,0,1,0
10,key,0.014609293158485958,0.03913786220627008,1,0,0,0,1,0,LDA,0,1,0
11,packet,0.014376984001892324,0.03819192984397172,1,0,0,0,1,0,LDA,0,1,0
12,define,0.014142312067342762,0.03732155463085846,1,0,0,0,1,0,LDA,0,1,0
13,value,0.01408161415840652,0.03706585661330791,1,0,0,0,1,0,LDA,0,1,0
14,traffic,0.013787370209444668,0.03603119561784218,1,0,0,0,1,0,LDA,0,1,0
15,rfc,0.01363394489482003,0.035450120726416616,1,0,0,0,1,0,LDA,0,1,0
16,ip address,0.01345595368869494,0.034876029702507035,1,0,0,0,1,0,LDA,0,1,0
17,know,0.011033072372890291,0.027837154357774275,1,0,0,0,1,0,LDA,0,1,0
18,implementation,0.010875025464484395,0.02743404927574628,1,0,0,0,1,0,LDA,0,1,0
19,spam,0.010684407152152417,0.026955006863170598,1,0,0,0,1,0,LDA,0,1,0
20,program,0.011728306398147946,0.02787727916008661,2,0,0,0,1,0,LDA,0,1,0
21,open source,0.011595948780989341,0.027564596627238317,2,0,0,0,1,0,LDA,0,1,0
22,improve,0.009978536901577574,0.02402482011959865,2,0,0,0,1,0,LDA,0,1,0
23,code,0.009829647353630934,0.02371915237640918,2,0,0,0,1,0,LDA,0,1,0
24,run,0.009581998528086758,0.023218247033141296,2,0,0,0,1,0,LDA,0,1,0
25,app,0.009377001175457558,0.022810638493658036,2,0,0,0,1,0,LDA,0,1,0
26,download,0.009285152156451116,0.022630055526298293,2,0,0,0,1,0,LDA,0,1,0
27,extension,0.009182037011845551,0.022428820561503172,2,0,0,0,1,0,LDA,0,1,0
28,build,0.008978852223073062,0.02203689976022289,2,0,0,0,1,0,LDA,0,1,0
29,developer,0.007879792197138887,0.020020216042233543,2,0,0,0,1,0,LDA,0,1,0
30,later,0.011870294376992318,0.02860252663131405,3,0,0,0,1,0,LDA,0,1,0
