,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,software,0.012281466278041879,0.035587444317828655,0,1,0,0,0,0,LDA,0,1,0
1,web development,0.011994975663512162,0.03218881934519409,0,1,0,0,0,0,LDA,0,1,0
2,web software,0.011914517844999976,0.0316970415259733,0,1,0,0,0,0,LDA,0,1,0
3,application layer protocols,0.011357448736435086,0.03131861645614449,0,1,0,0,0,0,LDA,0,1,0
4,communications protocols,0.011187537060116085,0.03799808397256355,0,1,0,0,0,0,LDA,0,1,0
5,software engineering,0.010905294922460262,0.03296268918571194,0,1,0,0,0,0,LDA,0,1,0
6,internet protocols,0.010838598131039046,0.033624526789629954,0,1,0,0,0,0,LDA,0,1,0
7,internet protocol based network software,0.010616313150881664,0.030326749321259772,0,1,0,0,0,0,LDA,0,1,0
8,software development,0.01050404695071908,0.03183207725916604,0,1,0,0,0,0,LDA,0,1,0
9,web technology,0.010405320366413976,0.03257418877453339,0,1,0,0,0,0,LDA,0,1,0
10,main topic classifications,0.008848935113535622,0.03022892090922269,1,1,0,0,0,0,LDA,0,1,0
11,computing and society,0.007771405324232685,0.022733731001451117,1,1,0,0,0,0,LDA,0,1,0
12,technology in society,0.007696221924513663,0.025359105271015772,1,1,0,0,0,0,LDA,0,1,0
13,society,0.007624729811426578,0.028325408427259127,1,1,0,0,0,0,LDA,0,1,0
14,information,0.006947687775048251,0.024482775887853216,1,1,0,0,0,0,LDA,0,1,0
15,web 2.0,0.006489839632274667,0.019479267942727183,1,1,0,0,0,0,LDA,0,1,0
16,categories by type,0.00636053961921848,0.021235679326627135,1,1,0,0,0,0,LDA,0,1,0
17,information society,0.0063102493753248775,0.02234062933544417,1,1,0,0,0,0,LDA,0,1,0
18,social sciences,0.00622936667625508,0.022994989292892436,1,1,0,0,0,0,LDA,0,1,0
19,culture,0.006165503328648219,0.030272780256633193,1,1,0,0,0,0,LDA,0,1,0
20,websites by topic,0.008297402423677103,0.02298465112743577,2,1,0,0,0,0,LDA,0,1,0
21,online services,0.007781821949771272,0.0189460511433542,2,1,0,0,0,0,LDA,0,1,0
22,entertainment websites,0.007455920460019772,0.0249383997031222,2,1,0,0,0,0,LDA,0,1,0
23,e-commerce,0.007331814665343578,0.020110446193606496,2,1,0,0,0,0,LDA,0,1,0
24,internet companies,0.007330686660109971,0.02006360963769708,2,1,0,0,0,0,LDA,0,1,0
25,websites,0.0071151682032751145,0.017143676606110197,2,1,0,0,0,0,LDA,0,1,0
26,companies by industry and year of establishment,0.007082599052839588,0.019842718992310975,2,1,0,0,0,0,LDA,0,1,0
27,internet properties by year of establishment,0.007078251191424942,0.020332019131177978,2,1,0,0,0,0,LDA,0,1,0
28,media companies by year of establishment,0.006793423699297955,0.019784463764476946,2,1,0,0,0,0,LDA,0,1,0
29,online content distribution,0.0066486215409932185,0.021394190243829443,2,1,0,0,0,0,LDA,0,1,0
30,computer law,0.011304518540360247,0.033213924034796546,3,1,0,0,0,0,LDA,0,1,0
31,internet culture,0.011099088915496332,0.027990258127957864,3,1,0,0,0,0,LDA,0,1,0
32,cybercrime,0.010251671664244144,0.033090310148413356,3,1,0,0,0,0,LDA,0,1,0
33,crimes,0.010021839459263611,0.03421485965787485,3,1,0,0,0,0,LDA,0,1,0
34,internet ethics,0.009950151909413434,0.03211706573228355,3,1,0,0,0,0,LDA,0,1,0
35,cyberspace,0.009272520447109814,0.022488359944280716,3,1,0,0,0,0,LDA,0,1,0
36,cyberwarfare,0.009136965137343321,0.029676222611769387,3,1,0,0,0,0,LDA,0,1,0
37,law by issue,0.009059877631052985,0.029998226069458636,3,1,0,0,0,0,LDA,0,1,0
38,cyberpunk themes,0.008847257180831411,0.029942967769010145,3,1,0,0,0,0,LDA,0,1,0
39,crime by type,0.00877212280345418,0.03114160795978178,3,1,0,0,0,0,LDA,0,1,0
40,life,0.00952408125192932,0.0615247517446695,4,1,0,0,0,0,LDA,0,1,0
41,living people,0.009253619358167852,0.06091342374644586,4,1,0,0,0,0,LDA,0,1,0
42,survivors,0.009253619358167852,0.06091342374644586,4,1,0,0,0,0,LDA,0,1,0
43,victims,0.009253619358167852,0.06091342374644586,4,1,0,0,0,0,LDA,0,1,0
