,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,browser,0.0067923658861973,0.021364681066300864,0,0,1,0,0,0,LDA,0,1,0
1,server,0.006694300407929711,0.02079286801491059,0,0,1,0,0,0,LDA,0,1,0
2,version,0.006096729840985456,0.019042232642474923,0,0,1,0,0,0,LDA,0,1,0
3,web,0.005392401584687207,0.015084689762400447,0,0,1,0,0,0,LDA,0,1,0
4,client,0.005367239761905239,0.017548046010643265,0,0,1,0,0,0,LDA,0,1,0
5,protocol,0.00536088658368019,0.0174620743013953,0,0,1,0,0,0,LDA,0,1,0
6,support,0.005121887444647529,0.016319517640453404,0,0,1,0,0,0,LDA,0,1,0
7,user,0.004919521464478462,0.014187663083160502,0,0,1,0,0,0,LDA,0,1,0
8,html,0.00476254192067398,0.01628843284494778,0,0,1,0,0,0,LDA,0,1,0
9,web browser,0.004633162821536273,0.015789807349694273,0,0,1,0,0,0,LDA,0,1,0
10,research,0.006040161933845793,0.02647668067338874,1,0,1,0,0,0,LDA,0,1,0
11,book,0.005810410817636068,0.02734492859199213,1,0,1,0,0,0,LDA,0,1,0
12,social,0.004911780034116359,0.021530487580557877,1,0,1,0,0,0,LDA,0,1,0
13,people,0.0042178059134046,0.01689308022260492,1,0,1,0,0,0,LDA,0,1,0
14,online,0.004115950873809624,0.013298606475019003,1,0,1,0,0,0,LDA,0,1,0
15,university,0.003962910680177344,0.01842435125459036,1,0,1,0,0,0,LDA,0,1,0
16,digital,0.00393001136831176,0.016501562209258518,1,0,1,0,0,0,LDA,0,1,0
17,science,0.003848544861989735,0.02049551251186047,1,0,1,0,0,0,LDA,0,1,0
18,work,0.0037577969747197913,0.017500914324116282,1,0,1,0,0,0,LDA,0,1,0
19,isbn,0.003688049562595753,0.018729469282792854,1,0,1,0,0,0,LDA,0,1,0
20,music,0.006027345572725864,0.020284691754462725,2,0,1,0,0,0,LDA,0,1,0
21,launched,0.004259236434998434,0.013712905305144211,2,0,1,0,0,0,LDA,0,1,0
22,video,0.0038478187023448813,0.012680719371093281,2,0,1,0,0,0,LDA,0,1,0
23,announced,0.003790017818582632,0.012520099327257094,2,0,1,0,0,0,LDA,0,1,0
24,app,0.0037149595348668035,0.012869504698002245,2,0,1,0,0,0,LDA,0,1,0
25,platform,0.003665903377793285,0.01182962845509335,2,0,1,0,0,0,LDA,0,1,0
26,series,0.003612007732115302,0.012916043866282844,2,0,1,0,0,0,LDA,0,1,0
27,awards,0.0035145460711221515,0.012498318694420432,2,0,1,0,0,0,LDA,0,1,0
28,television,0.0032536329734866557,0.011841511696311147,2,0,1,0,0,0,LDA,0,1,0
29,youtube,0.0032509551157879906,0.011560944792338901,2,0,1,0,0,0,LDA,0,1,0
30,information,0.00444974181753401,0.013183202118977787,3,0,1,0,0,0,LDA,0,1,0
31,government,0.004165152990570949,0.014130302518937382,3,0,1,0,0,0,LDA,0,1,0
32,law,0.003935885035338365,0.014769610852659152,3,0,1,0,0,0,LDA,0,1,0
33,privacy,0.0038958453535728335,0.014400838502363282,3,0,1,0,0,0,LDA,0,1,0
34,content,0.0037996542451594704,0.01103515881835203,3,0,1,0,0,0,LDA,0,1,0
35,sites,0.0036268470215943946,0.011986576129136839,3,0,1,0,0,0,LDA,0,1,0
36,websites,0.003600841552315099,0.011776150716082841,3,0,1,0,0,0,LDA,0,1,0
37,security,0.003572273050491107,0.012301602389859282,3,0,1,0,0,0,LDA,0,1,0
38,spam,0.003329390716886976,0.012688563214024298,3,0,1,0,0,0,LDA,0,1,0
39,attack,0.00331464692414396,0.01274175063872293,3,0,1,0,0,0,LDA,0,1,0
40,references,0.006725940507726507,0.01961494467068937,4,0,1,0,0,0,LDA,0,1,0
41,wikimedia foundation,0.006691234291679217,0.09639734207507075,4,0,1,0,0,0,LDA,0,1,0
42,board,0.006393137232804167,0.07167718058275166,4,0,1,0,0,0,LDA,0,1,0
43,articles,0.0063875019527620275,0.04873160636523921,4,0,1,0,0,0,LDA,0,1,0
44,wikimedia,0.0061768216860616865,0.10389642809222617,4,0,1,0,0,0,LDA,0,1,0
45,wikipedia,0.005813678077233229,0.05310495565442734,4,0,1,0,0,0,LDA,0,1,0
46,born,0.0054140078798534785,0.05770558802245895,4,0,1,0,0,0,LDA,0,1,0
47,founded,0.005310365082549882,0.029094840768895132,4,0,1,0,0,0,LDA,0,1,0
48,foundation,0.005191193368988781,0.05052444817966406,4,0,1,0,0,0,LDA,0,1,0
49,uk,0.0047742583679059505,0.03372579185546552,4,0,1,0,0,0,LDA,0,1,0
50,internet,0.008844340447929634,0.024746145306264088,5,0,1,0,0,0,LDA,0,1,0
51,network,0.0084806575466255,0.026781052157277756,5,0,1,0,0,0,LDA,0,1,0
52,domain,0.007452057427911423,0.027113132383094995,5,0,1,0,0,0,LDA,0,1,0
53,iana,0.006854885926862232,0.03167578231115382,5,0,1,0,0,0,LDA,0,1,0
