,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,internet architecture,0.019640078701028938,0.0716613952477142,0,1,0,0,0,0,kmeans_augmented,1,0,0
1,internet protocols,0.01911425505134264,0.06717068258187027,0,1,0,0,0,0,kmeans_augmented,1,0,0
2,internet standards,0.018114299674193136,0.06780306514071893,0,1,0,0,0,0,kmeans_augmented,1,0,0
3,telecommunications,0.017929241946888455,0.05869376360828086,0,1,0,0,0,0,kmeans_augmented,1,0,0
4,networking standards,0.017483544395255166,0.07302876495715957,0,1,0,0,0,0,kmeans_augmented,1,0,0
5,network protocols,0.016606135053151484,0.07382723671160517,0,1,0,0,0,0,kmeans_augmented,1,0,0
6,communications protocols,0.015319318842257654,0.06259340205012817,0,1,0,0,0,0,kmeans_augmented,1,0,0
7,protocols by osi layer,0.015149273792572722,0.05621389795029261,0,1,0,0,0,0,kmeans_augmented,1,0,0
8,computer networking,0.01465511411935652,0.039690027257777476,0,1,0,0,0,0,kmeans_augmented,1,0,0
9,network architecture,0.014538832519051083,0.05422967947314855,0,1,0,0,0,0,kmeans_augmented,1,0,0
10,history of the internet,0.006957501181311746,0.018607054584572503,1,1,0,0,0,0,kmeans_augmented,1,0,0
11,websites by topic,0.006604658828180073,0.0211555825303824,1,1,0,0,0,0,kmeans_augmented,1,0,0
12,computing culture,0.006192546989579405,0.02151173711843598,1,1,0,0,0,0,kmeans_augmented,1,0,0
13,entertainment websites,0.006021649909554057,0.025927874587334043,1,1,0,0,0,0,kmeans_augmented,1,0,0
14,internet humor,0.006008262111349699,0.03077924748219022,1,1,0,0,0,0,kmeans_augmented,1,0,0
15,internet properties by year of establishment,0.005990198437648047,0.019295595073013212,1,1,0,0,0,0,kmeans_augmented,1,0,0
16,works by topic,0.005781433763406951,0.02164290624720693,1,1,0,0,0,0,kmeans_augmented,1,0,0
17,humour,0.005600645090020391,0.028603518586052232,1,1,0,0,0,0,kmeans_augmented,1,0,0
18,media in the united states,0.00559428802636682,0.024874758015657774,1,1,0,0,0,0,kmeans_augmented,1,0,0
19,popular culture,0.005355607565608964,0.025048576779800453,1,1,0,0,0,0,kmeans_augmented,1,0,0
20,online services,0.008432082150147928,0.02085267050406409,2,1,0,0,0,0,kmeans_augmented,1,0,0
21,internet companies,0.008177056250177788,0.022877856934763803,2,1,0,0,0,0,kmeans_augmented,1,0,0
22,companies by industry and year of establishment,0.008126624449390083,0.023011826565014576,2,1,0,0,0,0,kmeans_augmented,1,0,0
23,economics by year,0.008000537125360883,0.026166622660018773,2,1,0,0,0,0,kmeans_augmented,1,0,0
24,companies by year of establishment,0.00766648369077774,0.025678433583689958,2,1,0,0,0,0,kmeans_augmented,1,0,0
25,technology companies by year of establishment,0.007577566650784676,0.02180387082055075,2,1,0,0,0,0,kmeans_augmented,1,0,0
