,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,network,0.007963984886585887,0.025980444237287556,0,1,0,0,0,kmeans_augmented,1,0,0
1,protocol,0.007879782101952108,0.03095016735802881,0,1,0,0,0,kmeans_augmented,1,0,0
2,rfc,0.007508509777904032,0.033583295579792956,0,1,0,0,0,kmeans_augmented,1,0,0
3,packet,0.006315161150863138,0.031571954828190106,0,1,0,0,0,kmeans_augmented,1,0,0
4,internet,0.005135784582463691,0.014939721218018237,0,1,0,0,0,kmeans_augmented,1,0,0
5,connection,0.004911725090843456,0.023502783337503125,0,1,0,0,0,kmeans_augmented,1,0,0
6,tcp,0.0047546739506082614,0.02510396576960279,0,1,0,0,0,kmeans_augmented,1,0,0
7,server,0.004310797062564008,0.015413917340362173,0,1,0,0,0,kmeans_augmented,1,0,0
8,ip,0.004159150189967072,0.021172354085708164,0,1,0,0,0,kmeans_augmented,1,0,0
9,traffic,0.004140238852645415,0.017718954240310777,0,1,0,0,0,kmeans_augmented,1,0,0
10,youtube,0.00439930832501172,0.02064156405704087,0,1,0,0,0,kmeans_augmented,1,0,0
11,series,0.004189155378011413,0.020943222382340806,0,1,0,0,0,kmeans_augmented,1,0,0
12,site,0.003959960116542621,0.012995175149402911,0,1,0,0,0,kmeans_augmented,1,0,0
13,video,0.0037866128938943825,0.01552766305191813,0,1,0,0,0,kmeans_augmented,1,0,0
14,book,0.00372682039592165,0.017732207806202806,0,1,0,0,0,kmeans_augmented,1,0,0
15,episodes,0.003611046808305973,0.019641830185332335,0,1,0,0,0,kmeans_augmented,1,0,0
16,television,0.0032963078247954234,0.01652895084792476,0,1,0,0,0,kmeans_augmented,1,0,0
17,references,0.00312851964790258,0.00910069544668009,0,1,0,0,0,kmeans_augmented,1,0,0
18,twitter,0.00295198489292238,0.013927843222326564,0,1,0,0,0,kmeans_augmented,1,0,0
19,film,0.0028696867470660286,0.014922689166778464,0,1,0,0,0,kmeans_augmented,1,0,0
20,company,0.00946418130256429,0.02670810948927423,0,1,0,0,0,kmeans_augmented,1,0,0
21,service,0.005705323799632422,0.017063714470504462,0,1,0,0,0,kmeans_augmented,1,0,0
22,launched,0.005324605606777502,0.018757143594908,0,1,0,0,0,kmeans_augmented,1,0,0
23,inc,0.005113480195900389,0.018521091834405583,0,1,0,0,0,kmeans_augmented,1,0,0
24,acquired,0.004956985031198353,0.017758573247508493,0,1,0,0,0,kmeans_augmented,1,0,0
25,announced,0.0044150994243012855,0.015346240437928187,0,1,0,0,0,kmeans_augmented,1,0,0
26,platform,0.004270019489855867,0.015064850698097538,0,1,0,0,0,kmeans_augmented,1,0,0
27,app,0.004188422174224247,0.015439239372537264,0,1,0,0,0,kmeans_augmented,1,0,0
28,music,0.004163287485484782,0.014869001328570778,0,1,0,0,0,kmeans_augmented,1,0,0
29,founded,0.003536345851463097,0.013227355933018168,0,1,0,0,0,kmeans_augmented,1,0,0
30,law,0.004762779307160133,0.020382954847934183,0,1,0,0,0,kmeans_augmented,1,0,0
31,government,0.004656526179549225,0.01727399906294833,0,1,0,0,0,kmeans_augmented,1,0,0
32,security,0.0038566774744055606,0.014483315391488952,0,1,0,0,0,kmeans_augmented,1,0,0
33,tor,0.0037234518822723993,0.017580047699498207,0,1,0,0,0,kmeans_augmented,1,0,0
34,privacy,0.003657435079723465,0.01495599881069104,0,1,0,0,0,kmeans_augmented,1,0,0
35,attack,0.0036097151232040397,0.015622582294460181,0,1,0,0,0,kmeans_augmented,1,0,0
36,act,0.0035969442996770912,0.016034891531381216,0,1,0,0,0,kmeans_augmented,1,0,0
37,software,0.0034967446405930833,0.011671875531356622,0,1,0,0,0,kmeans_augmented,1,0,0
38,websites,0.0034387249856204136,0.01216702595780968,0,1,0,0,0,kmeans_augmented,1,0,0
39,censorship,0.0033990181066596856,0.015361745150665625,0,1,0,0,0,kmeans_augmented,1,0,0
40,browser,0.010194925916946554,0.03606437504742589,0,1,0,0,0,kmeans_augmented,1,0,0
41,version,0.007821493047339773,0.027753252472259942,0,1,0,0,0,kmeans_augmented,1,0,0
42,web browser,0.006997430575879358,0.029107843046049384,0,1,0,0,0,kmeans_augmented,1,0,0
43,support,0.006883043456299406,0.026064986765673683,0,1,0,0,0,kmeans_augmented,1,0,0
44,html,0.006265407689938488,0.02659368832278674,0,1,0,0,0,kmeans_augmented,1,0,0
45,javascript,0.006265407689938488,0.02659368832278674,0,1,0,0,0,kmeans_augmented,1,0,0
46,firefox,0.0060871952168256305,0.027772059205166014,0,1,0,0,0,kmeans_augmented,1,0,0
47,internet explorer,0.005945728286649695,0.026990609044022368,0,1,0,0,0,kmeans_augmented,1,0,0
48,web,0.005870377450418981,0.019075641412969392,0,1,0,0,0,kmeans_augmented,1,0,0
49,features,0.005443857933374271,0.021078782880761378,0,1,0,0,0,kmeans_augmented,1,0,0
50,information,0.005689365227164539,0.017037933930944174,0,1,0,0,0,kmeans_augmented,1,0,0
51,online,0.004997991051109427,0.015114513364983841,0,1,0,0,0,kmeans_augmented,1,0,0
52,content,0.004848275258883188,0.014396124987411127,0,1,0,0,0,kmeans_augmented,1,0,0
53,people,0.00423955732190119,0.014695469857190398,0,1,0,0,0,kmeans_augmented,1,0,0
54,user,0.004196015879246295,0.012482638488733159,0,1,0,0,0,kmeans_augmented,1,0,0
55,advertising,0.00402846043312908,0.014173167098290947,0,1,0,0,0,kmeans_augmented,1,0,0
56,social,0.004024165350791409,0.014723536071585339,0,1,0,0,0,kmeans_augmented,1,0,0
57,marketing,0.003979425890122069,0.014607147569560499,0,1,0,0,0,kmeans_augmented,1,0,0
58,page,0.0038948366598414094,0.01301634371211218,0,1,0,0,0,kmeans_augmented,1,0,0
59,search,0.003824681311584857,0.013142445420183276,0,1,0,0,0,kmeans_augmented,1,0,0
60,domain,0.018508406829884996,0.07301333817174181,0,1,0,0,0,kmeans_augmented,1,0,0
61,iana,0.016749570968880176,0.09602017868585491,0,1,0,0,0,kmeans_augmented,1,0,0
62,level domain,0.01498045797042387,0.09000181990782413,0,1,0,0,0,kmeans_augmented,1,0,0
