,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,wikipedia,0.00944118315762428,0.0239742546302398,0,0,0,1,0,kmeans_augmented,1,0,0
1,block,0.00898171614580852,0.022641367187957437,0,0,0,1,0,kmeans_augmented,1,0,0
2,law,0.00898171614580852,0.022641367187957437,0,0,0,1,0,kmeans_augmented,1,0,0
3,report,0.008543338433863337,0.021501837735538046,0,0,0,1,0,kmeans_augmented,1,0,0
4,state,0.008194935338108394,0.0206627780647557,0,0,0,1,0,kmeans_augmented,1,0,0
5,public,0.007766325951984199,0.019609330083942826,0,0,0,1,0,kmeans_augmented,1,0,0
6,country,0.006772085526706467,0.017455729190861538,0,0,0,1,0,kmeans_augmented,1,0,0
7,consumer,0.006085697012661423,0.016123036739634954,0,0,0,1,0,kmeans_augmented,1,0,0
8,platform,0.006072877429214717,0.015977234304344883,0,0,0,1,0,kmeans_augmented,1,0,0
9,purchase,0.006064847059283308,0.015978651335996432,0,0,0,1,0,kmeans_augmented,1,0,0
10,rfc,0.007805003261627319,0.020704119980642546,0,0,0,1,0,kmeans_augmented,1,0,0
11,define,0.007790328022466623,0.021059027369405393,0,0,0,1,0,kmeans_augmented,1,0,0
12,value,0.0077651766650029,0.02091517294721864,0,0,0,1,0,kmeans_augmented,1,0,0
13,ip address,0.007761611758975048,0.020512506064449185,0,0,0,1,0,kmeans_augmented,1,0,0
14,spam,0.007681822091708596,0.019355264127338605,0,0,0,1,0,kmeans_augmented,1,0,0
15,packet,0.007672547710499552,0.020929911711109486,0,0,0,1,0,kmeans_augmented,1,0,0
16,contain,0.007651969235283629,0.0192732012531307,0,0,0,1,0,kmeans_augmented,1,0,0
17,attack,0.007650068718706279,0.01926003320439062,0,0,0,1,0,kmeans_augmented,1,0,0
18,set,0.007646128103453445,0.019254868271914242,0,0,0,1,0,kmeans_augmented,1,0,0
19,implementation,0.0076360697422377735,0.019257557499326523,0,0,0,1,0,kmeans_augmented,1,0,0
20,world wide web,0.009299228983842979,0.02287684288177524,0,0,0,1,0,kmeans_augmented,1,0,0
21,format,0.009221935614313328,0.022617960353462363,0,0,0,1,0,kmeans_augmented,1,0,0
22,html,0.00918914072002845,0.022424785650612757,0,0,0,1,0,kmeans_augmented,1,0,0
23,text,0.009137616956698224,0.02235735501521561,0,0,0,1,0,kmeans_augmented,1,0,0
24,tag,0.008714524864799357,0.022613470191372647,0,0,0,1,0,kmeans_augmented,1,0,0
25,design,0.008706087784307674,0.02104531044048597,0,0,0,1,0,kmeans_augmented,1,0,0
26,arpanet,0.008637899124720115,0.022690611253206035,0,0,0,1,0,kmeans_augmented,1,0,0
27,element,0.008630815486559721,0.022627523820467826,0,0,0,1,0,kmeans_augmented,1,0,0
28,specification,0.008602365453376086,0.0224878612297484,0,0,0,1,0,kmeans_augmented,1,0,0
29,like,0.00858992439154081,0.02266703418634059,0,0,0,1,0,kmeans_augmented,1,0,0
30,later,0.008456613940273154,0.020942787060467056,0,0,0,1,0,kmeans_augmented,1,0,0
31,event,0.008347066343831708,0.020656692399380304,0,0,0,1,0,kmeans_augmented,1,0,0
32,story,0.008284237888841556,0.020493164431381324,0,0,0,1,0,kmeans_augmented,1,0,0
33,twitter,0.008092026654705022,0.020041524443912866,0,0,0,1,0,kmeans_augmented,1,0,0
34,write,0.00801892339820058,0.019876718956562043,0,0,0,1,0,kmeans_augmented,1,0,0
35,series,0.0077252548676124775,0.019208114516542234,0,0,0,1,0,kmeans_augmented,1,0,0
36,day,0.007585139761740548,0.01892228662765033,0,0,0,1,0,kmeans_augmented,1,0,0
37,begin,0.007351804413613793,0.01841566583440668,0,0,0,1,0,kmeans_augmented,1,0,0
38,start,0.0071036738870550635,0.017910329994637788,0,0,0,1,0,kmeans_augmented,1,0,0
39,post,0.006999253716789638,0.017805066834592136,0,0,0,1,0,kmeans_augmented,1,0,0
40,advertiser,0.010340176246858955,0.025778846673856264,0,0,0,1,0,kmeans_augmented,1,0,0
41,sale,0.009443073892365738,0.02376952795603572,0,0,0,1,0,kmeans_augmented,1,0,0
42,pay,0.009293945463731655,0.02345466118209832,0,0,0,1,0,kmeans_augmented,1,0,0
43,music,0.009245589325115922,0.023350557049021985,0,0,0,1,0,kmeans_augmented,1,0,0
44,mobile,0.009150736513076482,0.023179194202216532,0,0,0,1,0,kmeans_augmented,1,0,0
45,share,0.009065012955646554,0.022998342231848132,0,0,0,1,0,kmeans_augmented,1,0,0
46,result,0.009036598593524339,0.022938683756538538,0,0,0,1,0,kmeans_augmented,1,0,0
47,acquire,0.008877069503463326,0.022606380711066743,0,0,0,1,0,kmeans_augmented,1,0,0
48,brand,0.008168168400186523,0.02125818241456031,0,0,0,1,0,kmeans_augmented,1,0,0
49,marketing,0.008107399631149766,0.021141241528979234,0,0,0,1,0,kmeans_augmented,1,0,0
50,traffic,0.005760805124018989,0.014538412808980668,0,0,0,1,0,kmeans_augmented,1,0,0
51,key,0.005743006777323978,0.014886348316735767,0,0,0,1,0,kmeans_augmented,1,0,0
52,know,0.005456678571078686,0.013225249468065648,0,0,0,1,0,kmeans_augmented,1,0,0
53,method,0.005328252439603348,0.012909732899949187,0,0,0,1,0,kmeans_augmented,1,0,0
54,require,0.005230877661255816,0.01268968999097061,0,0,0,1,0,kmeans_augmented,1,0,0
55,document,0.005170108662519622,0.013736075454464902,0,0,0,1,0,kmeans_augmented,1,0,0
56,type,0.005103926730975322,0.013512490448382503,0,0,0,1,0,kmeans_augmented,1,0,0
57,request,0.005079350901498985,0.01256699190036796,0,0,0,1,0,kmeans_augmented,1,0,0
58,number,0.0050648622024586105,0.012441723464223198,0,0,0,1,0,kmeans_augmented,1,0,0
59,email,0.005026905525963854,0.012479373362442724,0,0,0,1,0,kmeans_augmented,1,0,0
60,court,0.014958738141843127,0.044263404458888704,0,0,0,1,0,kmeans_augmented,1,0,0
61,publish,0.014849909959377183,0.043765129737025045,0,0,0,1,0,kmeans_augmented,1,0,0
62,united state,0.014848607336112638,0.04361802169459042,0,0,0,1,0,kmeans_augmented,1,0,0
63,order,0.014824010827086549,0.04297892980162939,0,0,0,1,0,kmeans_augmented,1,0,0
64,issue,0.01479490486513754,0.04337614726744852,0,0,0,1,0,kmeans_augmented,1,0,0
65,china,0.01479364489026188,0.043234756764734324,0,0,0,1,0,kmeans_augmented,1,0,0
66,claim,0.014426266555130497,0.041166785827880956,0,0,0,1,0,kmeans_augmented,1,0,0
67,foundation,0.01359349298891279,0.03759013432191439,0,0,0,1,0,kmeans_augmented,1,0,0
68,december,0.012500558929983386,0.03337038968605623,0,0,0,1,0,kmeans_augmented,1,0,0
69,article,0.01226171672536146,0.03260423277999882,0,0,0,1,0,kmeans_augmented,1,0,0
