article_id,x,y
0.0,-10.7259655,-47.006138
7.0,-11.862411,-43.754856
17.0,-12.169547,-39.307926
25.0,-0.653268,-40.916958
45.0,-1.93459,-29.328289
54.0,-16.326818,-43.8296
61.0,6.2715425,-35.74143
71.0,-13.672304,-44.336685
76.0,-2.046967,-40.63469
77.0,4.896953,-26.534258
85.0,-15.914134,-40.141186
86.0,-15.5966215,-41.395554
87.0,-14.71743,-40.60842
88.0,-15.028385,-40.634197
93.0,-2.622578,-42.5125
96.0,-16.090454,-38.35194
103.0,3.248337,-25.495272
108.0,2.2079449,-31.019032
109.0,-16.078278,-38.148624
110.0,-18.126585,-37.912132
122.0,-0.41992116,-41.22343
136.0,-16.883163,-38.514633
137.0,-12.309712,-37.386257
138.0,-11.078674,-37.783333
141.0,7.031058,-37.502117
142.0,-17.09242,-42.327614
153.0,4.196214,-40.173225
155.0,-4.6781516,-46.613827
156.0,-14.089533,-42.13132
181.0,-16.399446,-39.503025
190.0,-1.9692203,-37.724834
196.0,0.6575721,-35.82934
222.0,5.666178,-31.40655
223.0,0.8979623,-33.023754
224.0,-10.661468,-46.71433
225.0,-0.9919834,-43.440536
227.0,-12.827281,-32.799232
228.0,-4.2949495,-44.289112
229.0,-5.0984335,-42.94346
234.0,7.425068,-44.983784
239.0,0.81122285,-42.047764
240.0,5.6360784,-44.2779
245.0,-1.7268273,-44.33517
267.0,-15.56734,-42.852303
269.0,-9.311307,-37.58352
273.0,-18.300362,-40.732605
274.0,-2.4357407,-38.80547
275.0,-12.376757,-38.669945
282.0,-0.981728,-38.002075
306.0,-14.778905,-41.293236
315.0,6.353105,-35.363804
337.0,-16.687752,-41.83836
368.0,4.9320807,-34.838436
370.0,1.0139405,-35.592022
372.0,1.8589219,-42.53805
380.0,-0.09398828,-38.384247
387.0,-0.10272676,-41.943024
389.0,-7.6881523,-24.112604
399.0,2.0268095,-29.510324
403.0,-19.668224,-42.97424
411.0,8.602038,-32.11105
422.0,3.015228,-34.0303
423.0,-15.113207,-38.9241
428.0,-17.144789,-39.82117
429.0,-14.828812,-40.58976
430.0,-16.940632,-40.75466
432.0,3.1847312,-25.482908
435.0,2.2954693,-32.751133
442.0,-14.57581,-42.00093
450.0,-11.213535,-35.457565
464.0,-10.921578,-38.637733
473.0,-0.8867613,-37.53894
474.0,-1.4321198,-38.662327
475.0,4.919406,-36.016308
477.0,5.193882,-32.877228
489.0,-13.655412,-37.90893
496.0,-7.9181714,-21.952585
527.0,-19.686623,-37.51753
563.0,-0.78694427,-42.52855
585.0,4.4157147,-31.772333
589.0,-12.74957,-30.62961
594.0,-14.888242,-37.338127
611.0,6.681176,-45.298836
620.0,-14.037615,-41.973587
621.0,-13.574476,-40.99352
627.0,-6.588092,-22.3591
628.0,6.506163,-42.692337
632.0,-13.211838,-44.24377
639.0,-11.787958,-37.620457
640.0,-14.6079445,-39.610542
641.0,-12.59469,-38.183247
642.0,-9.935092,-40.139393
649.0,-8.170172,-31.490883
652.0,-20.038082,-38.808388
653.0,1.2151233,-41.673927
658.0,-7.922486,-35.523647
675.0,-2.8653274,-42.446533
688.0,-15.040955,-42.686413
719.0,-0.28735384,-37.04037
723.0,4.2600965,-25.538157
747.0,4.994515,-35.918095
748.0,-16.187035,-39.058056
749.0,0.7900741,-42.66694
757.0,-3.9469311,-32.609394
766.0,1.8867161,-41.488995
785.0,-3.1858125,-42.733383
788.0,-11.968262,-38.23424
800.0,3.0518308,-27.09248
803.0,-7.1752086,-38.224358
820.0,-1.987647,-45.96021
828.0,-10.974821,-40.870026
839.0,4.8314285,-33.709465
845.0,-7.823079,-35.506123
847.0,-4.391241,-47.464718
855.0,-12.403247,-36.66921
859.0,-16.374737,-42.682648
864.0,3.495541,-36.641987
865.0,-2.4517434,-45.971767
869.0,-6.4363027,-46.945744
871.0,-2.3089433,-39.189926
876.0,-5.4423494,-39.64031
878.0,-1.1995133,-39.021004
879.0,2.9993382,-38.736782
889.0,-2.4420273,-39.80072
891.0,-17.799894,-36.662292
893.0,-13.298988,-37.415226
897.0,-1.0643712,-36.757065
899.0,0.8988772,-35.78863
917.0,2.1279104,-44.412987
980.0,-2.2401328,-47.072563
992.0,2.8572247,-44.167576
1011.0,-10.721132,-47.04834
1023.0,1.7456489,-31.260773
1034.0,-11.252217,-39.454094
1035.0,0.49313727,-40.496708
1050.0,8.134505,-45.08233
1052.0,6.283982,-44.78472
1066.0,1.8449942,-39.766827
1083.0,5.3578744,-26.370152
1128.0,9.177019,-39.041157
1150.0,-13.435498,-39.633804
1181.0,-9.87074,-41.633034
1182.0,-15.648067,-37.04878
1197.0,5.5138607,-26.528152
1198.0,-6.3902717,-23.776875
1203.0,-0.36021018,-32.018234
1205.0,1.8483772,-35.846466
1208.0,3.3935773,-37.67218
1210.0,-3.6413271,-45.88036
1211.0,7.4061723,-35.013268
1214.0,2.3870223,-34.576183
1229.0,-1.8338445,-26.972462
1243.0,-15.192775,-46.267445
1260.0,-8.393798,-31.143898
1277.0,-5.947482,-30.023327
1278.0,1.3683393,-39.650013
1281.0,-3.6097305,-44.61635
1284.0,-18.143532,-30.539543
1376.0,0.8914198,-41.232307
1379.0,-9.422565,-36.483288
1397.0,8.9482765,-41.868156
1460.0,-13.688131,-32.85757
1480.0,-10.731944,-31.765566
1483.0,-11.160182,-32.18891
1499.0,-6.056383,-43.87526
1534.0,7.1698394,-41.538425
1539.0,3.216082,-42.643536
1560.0,-14.918818,-46.996822
1575.0,2.8956747,-40.38383
1583.0,-10.852218,-27.532913
1595.0,-4.151342,-41.185444
1597.0,-16.580027,-40.496704
1598.0,-4.6004715,-24.173841
1599.0,4.372807,-45.161167
1601.0,-16.011501,-45.01233
1625.0,-15.287456,-35.55184
1632.0,-3.8544767,-32.566166
1644.0,-14.950518,-42.95277
1648.0,-19.92947,-41.126938
1650.0,-3.6165292,-38.264725
1652.0,-16.481478,-37.570206
1657.0,-3.482533,-39.120728
1663.0,7.3632364,-45.03678
1664.0,-17.691862,-34.82642
1667.0,-2.0829728,-29.296173
1678.0,-6.5530734,-40.408207
1689.0,1.6229745,-43.132645
1696.0,-5.2542143,-42.701794
1698.0,5.5614176,-33.787796
1699.0,5.268577,-33.34966
1701.0,5.3064623,-36.51513
1702.0,4.9495945,-26.571701
1704.0,6.528714,-33.638542
1741.0,-6.3136616,-28.234522
1742.0,-18.321182,-43.64955
1743.0,-12.503695,-40.63619
1759.0,3.2387447,-36.66761
1797.0,-17.696518,-37.92662
1798.0,-17.425848,-38.04504
1799.0,-19.668903,-37.479454
1800.0,-18.33389,-39.231117
1873.0,-10.190965,-31.962582
1874.0,6.4759436,-37.433178
1879.0,3.0063775,-41.16173
1900.0,1.5810095,-41.025127
1926.0,-13.731544,-42.736233
1942.0,0.54588926,-42.759266
1957.0,-12.084342,-40.972443
