,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,internet architecture,0.019504720789555164,0.07154944697434516,0,1,0,0,0,0,kmeans_plain,0,0,1
1,internet protocols,0.01882462312139451,0.06647981756043277,0,1,0,0,0,0,kmeans_plain,0,0,1
2,telecommunications,0.01828261271367297,0.060102395600068546,0,1,0,0,0,0,kmeans_plain,0,0,1
3,internet standards,0.01811265141354608,0.068181377037614,0,1,0,0,0,0,kmeans_plain,0,0,1
4,networking standards,0.01742294603453399,0.07329671227933578,0,1,0,0,0,0,kmeans_plain,0,0,1
5,network protocols,0.016933428459891292,0.07589769820395577,0,1,0,0,0,0,kmeans_plain,0,0,1
6,communications protocols,0.01562125014877586,0.06426324291885083,0,1,0,0,0,0,kmeans_plain,0,0,1
7,protocols by osi layer,0.014915169040950051,0.05565325722447905,0,1,0,0,0,0,kmeans_plain,0,0,1
8,computer networking,0.014504426418084268,0.039380374995099214,0,1,0,0,0,0,kmeans_plain,0,0,1
9,network architecture,0.014468142977148461,0.05426975692762287,0,1,0,0,0,0,kmeans_plain,0,0,1
10,web software,0.01579075761936282,0.04451842627558084,1,1,0,0,0,0,kmeans_plain,0,0,1
11,software,0.014357878054702903,0.04533025138832278,1,1,0,0,0,0,kmeans_plain,0,0,1
12,web browsers,0.013723927574947701,0.058055441160531115,1,1,0,0,0,0,kmeans_plain,0,0,1
13,hypertext transfer protocol clients,0.013480286336305282,0.056766956416955595,1,1,0,0,0,0,kmeans_plain,0,0,1
14,browsers,0.012870840024332678,0.05546108597163998,1,1,0,0,0,0,kmeans_plain,0,0,1
15,communication software,0.01274516849519671,0.04181735560488243,1,1,0,0,0,0,kmeans_plain,0,0,1
16,web technology,0.012286267079668062,0.043713057188034525,1,1,0,0,0,0,kmeans_plain,0,0,1
17,internet protocol based network software,0.011857520842021714,0.03673049726151201,1,1,0,0,0,0,kmeans_plain,0,0,1
18,software by platform,0.011789652198477812,0.04498678986904978,1,1,0,0,0,0,kmeans_plain,0,0,1
19,web development,0.011421254575715559,0.032308702104507925,1,1,0,0,0,0,kmeans_plain,0,0,1
20,history of the internet,0.007046939618152575,0.01880144672153321,2,1,0,0,0,0,kmeans_plain,0,0,1
21,websites by topic,0.0067813789994159825,0.021635670705436538,2,1,0,0,0,0,kmeans_plain,0,0,1
22,entertainment websites,0.006327927327523673,0.027042286714699344,2,1,0,0,0,0,kmeans_plain,0,0,1
23,computing culture,0.006087676908919568,0.02104673620396467,2,1,0,0,0,0,kmeans_plain,0,0,1
24,internet properties by year of establishment,0.006034156467417283,0.019359235788511696,2,1,0,0,0,0,kmeans_plain,0,0,1
25,internet humor,0.005906512874193652,0.02992671239912572,2,1,0,0,0,0,kmeans_plain,0,0,1
26,works by topic,0.0058584035566976635,0.021808295737660764,2,1,0,0,0,0,kmeans_plain,0,0,1
27,media in the united states,0.005605309958627426,0.02472384329617156,2,1,0,0,0,0,kmeans_plain,0,0,1
28,humour,0.005505798800872178,0.027813478621944162,2,1,0,0,0,0,kmeans_plain,0,0,1
29,popular culture,0.0053769303412438555,0.024923766557326588,2,1,0,0,0,0,kmeans_plain,0,0,1
30,online services,0.008413429428525106,0.020820624294888183,3,1,0,0,0,0,kmeans_plain,0,0,1
31,internet companies,0.008082442184841863,0.022637472962514196,3,1,0,0,0,0,kmeans_plain,0,0,1
32,companies by industry and year of establishment,0.0080767886070384,0.02289619115356634,3,1,0,0,0,0,kmeans_plain,0,0,1
33,economics by year,0.008046701742497223,0.026360646828038233,3,1,0,0,0,0,kmeans_plain,0,0,1
34,companies by year of establishment,0.007710720756217366,0.02587147982539963,3,1,0,0,0,0,kmeans_plain,0,0,1
35,technology companies by year of establishment,0.007521665933680143,0.021668260439651504,3,1,0,0,0,0,kmeans_plain,0,0,1
36,internet companies by country,0.007492000476203858,0.024671146047253505,3,1,0,0,0,0,kmeans_plain,0,0,1
37,websites,0.00703930313423834,0.01737367738365055,3,1,0,0,0,0,kmeans_plain,0,0,1
38,telecommunications companies by year of establishment,0.007023473512675981,0.020832198615405872,3,1,0,0,0,0,kmeans_plain,0,0,1
39,internet companies of the united states,0.007008449906711135,0.02284219096371389,3,1,0,0,0,0,kmeans_plain,0,0,1
