,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,internet engineering task force,0.041674878099336336,0.21551154166786446,0,0,0,0,0,1,kmeans_plain,0,0,1
1,internet service provider,0.03656198309807266,0.17861557478368356,0,0,0,0,0,1,kmeans_plain,0,0,1
2,transmission control protocol,0.03013687293717966,0.16756361219301724,0,0,0,0,0,1,kmeans_plain,0,0,1
3,ipv6,0.02975258798995582,0.164460582337591,0,0,0,0,0,1,kmeans_plain,0,0,1
4,internet protocol,0.027516275290468382,0.15299286330666792,0,0,0,0,0,1,kmeans_plain,0,0,1
5,ip address,0.02738786847883347,0.14440441375983598,0,0,0,0,0,1,kmeans_plain,0,0,1
6,transport layer security,0.026380085719070082,0.14709517923362175,0,0,0,0,0,1,kmeans_plain,0,0,1
7,ipv4,0.023060629897387733,0.1299826212534727,0,0,0,0,0,1,kmeans_plain,0,0,1
8,ietf,0.021866247461917412,0.12355995055624226,0,0,0,0,0,1,kmeans_plain,0,0,1
9,computer network,0.01916609924314439,0.10530677604225193,0,0,0,0,0,1,kmeans_plain,0,0,1
10,web browser,0.07168778902831026,0.2733884941045116,1,0,0,0,0,1,kmeans_plain,0,0,1
11,world wide web consortium,0.03940309452818126,0.18576324822856963,1,0,0,0,0,1,kmeans_plain,0,0,1
12,javascript,0.03804833935800704,0.17306331095494284,1,0,0,0,0,1,kmeans_plain,0,0,1
13,world wide web,0.03370575557742697,0.13297404406903768,1,0,0,0,0,1,kmeans_plain,0,0,1
14,microsoft,0.03100762266596534,0.13581392069552803,1,0,0,0,0,1,kmeans_plain,0,0,1
15,html,0.03054968219661042,0.14292659212445308,1,0,0,0,0,1,kmeans_plain,0,0,1
16,internet explorer,0.030180191142484093,0.14725770097670926,1,0,0,0,0,1,kmeans_plain,0,0,1
17,google chrome,0.02716217202823568,0.13253193087903833,1,0,0,0,0,1,kmeans_plain,0,0,1
18,firefox,0.02692309751934546,0.13283245679939892,1,0,0,0,0,1,kmeans_plain,0,0,1
19,xml,0.02485209001785735,0.12261457550713749,1,0,0,0,0,1,kmeans_plain,0,0,1
20,youtube,0.03433542041218203,0.17026698326287135,2,0,0,0,0,1,kmeans_plain,0,0,1
21,twitter,0.022533020800703484,0.10621935483870969,2,0,0,0,0,1,kmeans_plain,0,0,1
22,the new york times,0.021836126687970275,0.10861576153532054,2,0,0,0,0,1,kmeans_plain,0,0,1
23,alexa internet,0.01609156353843963,0.08761081725396708,2,0,0,0,0,1,kmeans_plain,0,0,1
24,web series,0.012481402082071569,0.07005629523724421,2,0,0,0,0,1,kmeans_plain,0,0,1
25,blog,0.01199068695879714,0.0651066656824389,2,0,0,0,0,1,kmeans_plain,0,0,1
26,netflix,0.011753553701421903,0.0656891495601173,2,0,0,0,0,1,kmeans_plain,0,0,1
27,viral video,0.011047763474842237,0.06198608475648324,2,0,0,0,0,1,kmeans_plain,0,0,1
28,the wall street journal,0.010107161843673084,0.05630797012230157,2,0,0,0,0,1,kmeans_plain,0,0,1
29,wikipedia,0.009717777066555548,0.05358119190814653,2,0,0,0,0,1,kmeans_plain,0,0,1
30,facebook,0.029101341489426277,0.10798855390258169,3,0,0,0,0,1,kmeans_plain,0,0,1
31,new york city,0.024569966449829752,0.10035367312342418,3,0,0,0,0,1,kmeans_plain,0,0,1
32,android,0.021778676680384405,0.08763879447088148,3,0,0,0,0,1,kmeans_plain,0,0,1
33,e-commerce,0.021609780171991264,0.08882846136415136,3,0,0,0,0,1,kmeans_plain,0,0,1
34,united states,0.018957110335127723,0.07297441252531765,3,0,0,0,0,1,kmeans_plain,0,0,1
35,san francisco,0.017490702580486385,0.07221038511901232,3,0,0,0,0,1,kmeans_plain,0,0,1
36,yahoo!,0.01696839273163279,0.07029700649335428,3,0,0,0,0,1,kmeans_plain,0,0,1
37,ios,0.01650998771836458,0.06724592114208022,3,0,0,0,0,1,kmeans_plain,0,0,1
38,ebay,0.015800262961378566,0.06565581926915537,3,0,0,0,0,1,kmeans_plain,0,0,1
39,forbes,0.015177193822283495,0.06292016013294056,3,0,0,0,0,1,kmeans_plain,0,0,1
40,website,0.031437018840874784,0.11577272644149005,4,0,0,0,0,1,kmeans_plain,0,0,1
41,google,0.02618737321181398,0.0957786627541396,4,0,0,0,0,1,kmeans_plain,0,0,1
42,web page,0.023473827310546223,0.09473759033289895,4,0,0,0,0,1,kmeans_plain,0,0,1
43,search engine optimization,0.022402078751498904,0.09478096835045063,4,0,0,0,0,1,kmeans_plain,0,0,1
44,search engine,0.021734108730816312,0.08965175574214379,4,0,0,0,0,1,kmeans_plain,0,0,1
45,online advertising,0.017918578154248042,0.07539669818881231,4,0,0,0,0,1,kmeans_plain,0,0,1
46,social media,0.01767774296328125,0.07303311873060624,4,0,0,0,0,1,kmeans_plain,0,0,1
47,marketing,0.01518994692257332,0.06408719346049047,4,0,0,0,0,1,kmeans_plain,0,0,1
48,web 2.0,0.013684207989359176,0.057839310700346126,4,0,0,0,0,1,kmeans_plain,0,0,1
49,email,0.013391752212263006,0.055152919605795915,4,0,0,0,0,1,kmeans_plain,0,0,1
50,tor,0.027026952240369755,0.1309748427672956,5,0,0,0,0,1,kmeans_plain,0,0,1
51,bittorrent,0.022370533906423164,0.10824367170850877,5,0,0,0,0,1,kmeans_plain,0,0,1
