,article_name,country,treatment
0,Galaxy Science Fiction,0,LDA
1,Daily Mirror,0,LDA
2,Grub Street,0,LDA
3,Jean Grey in other media,0,LDA
4,Newspaper,0,LDA
5,Newsweek,0,LDA
6,Publishing,0,LDA
7,The Guardian,0,LDA
8,Toronto Star,0,LDA
9,Chinese Wikipedia,0,LDA
10,El País,0,LDA
11,Godey's Lady's Book,0,LDA
12,Incipit,0,LDA
13,Magneto in other media,0,LDA
14,National Geographic,0,LDA
15,National Post,0,LDA
16,Postmedia Network,0,LDA
17,The Daily Telegraph,0,LDA
18,The Independent,0,LDA
19,The Jerusalem Post,0,LDA
20,The New York Times,0,LDA
21,The New Yorker,0,LDA
22,Yomiuri Shimbun,0,LDA
23,Zine,0,LDA
24,Algemeen Dagblad,0,LDA
25,Anandabazar Patrika,0,LDA
26,Berliner (format),0,LDA
27,Bonnier Group,0,LDA
28,Caesar's Messiah,0,LDA
29,Corriere della Sera,0,LDA
30,Crain Communications,0,LDA
31,De Telegraaf,0,LDA
32,Die Welt,0,LDA
33,Ei Samay Sangbadpatra,0,LDA
34,Fangoria,0,LDA
35,Gazette,0,LDA
36,Government gazette,0,LDA
37,Haymarket Media Group,0,LDA
38,Hindustan Times,0,LDA
39,History of newspaper publishing,0,LDA
40,I (newspaper),0,LDA
41,Jet (magazine),0,LDA
42,Jiaxing Media,0,LDA
43,LGBT rights in the State of Palestine,0,LDA
44,La Repubblica,0,LDA
45,Ladies' Home Journal,0,LDA
46,Le Monde,0,LDA
47,Magazine,0,LDA
48,NRC Handelsblad,0,LDA
49,Navbharat Times,0,LDA
50,Prothom Alo,0,LDA
51,Rajasthan Patrika,0,LDA
52,Self-publishing,0,LDA
53,Sunday Mirror,0,LDA
54,TI Media,0,LDA
55,Tabloid journalism,0,LDA
56,The Advocate (LGBT magazine),0,LDA
57,The Globe and Mail,0,LDA
58,The Hindu,0,LDA
59,The Japan Times,0,LDA
60,The Jewish Chronicle,0,LDA
61,The Times Group,0,LDA
62,Bartaman,0,LDA
63,Killing Jesus,0,LDA
64,Middle-market newspaper,0,LDA
65,Press Holdings,0,LDA
66,Telegraph Media Group,0,LDA
67,The Post and Courier,0,LDA
68,Media in Toronto,0,LDA
69,Newspaper circulation,0,LDA
70,Censorship in Turkey,1,LDA
71,Agence France-Presse,1,LDA
72,Alexander Lebedev,1,LDA
73,Asia-Pacific Broadcasting Union,1,LDA
74,Bertelsmann,1,LDA
75,Concentration of media ownership,1,LDA
76,European Broadcasting Union,1,LDA
77,Media freedom in Russia,1,LDA
78,Media of Turkey,1,LDA
79,Television in Russia,1,LDA
80,Yle,1,LDA
81,ABP Group,1,LDA
82,All-Russia State Television and Radio Broadcasting Company,1,LDA
83,Anadolu Agency,1,LDA
84,Axel Springer SE,1,LDA
85,Gazprom-Media,1,LDA
86,Grupo Globo,1,LDA
87,Independent Press Standards Organisation,1,LDA
88,Interfax,1,LDA
89,Media conglomerate,1,LDA
90,Media of Russia,1,LDA
91,Media portrayal of the Ukrainian crisis,1,LDA
92,News agency,1,LDA
93,RIA Novosti,1,LDA
94,Rossiya Segodnya,1,LDA
95,Russia Insider,1,LDA
96,State media,1,LDA
97,TASS,1,LDA
98,Voice of Russia,1,LDA
99,World news,1,LDA
100,Zee Entertainment Enterprises,1,LDA
101,India News,1,LDA
102,Pakistan Electronic Media Regulatory Authority,1,LDA
103,Pier Silvio Berlusconi,1,LDA
104,Zee 24 Ghanta,1,LDA
105,Zee Business,1,LDA
106,Zee TV,1,LDA
107,Lists of newspapers,1,LDA
108,Women in journalism,1,LDA
109,Ars Technica,2,LDA
