media_group_id,country,project,media_article_0,media_article_1,media_article_2,media_article_3,media_article_4,media_article_5,media_article_6,media_article_7,media_article_8,media_article_9,media_article_10,media_article_11,media_article_12,media_article_13,media_article_14,media_article_15,media_article_16,media_article_17,media_article_18,media_article_19,media_article_20,media_article_21,media_article_22,media_article_23,media_article_24,media_article_25,media_article_26,media_article_27,media_article_28,media_article_29,media_article_30,media_label_0,media_label_1,media_label_2,media_label_3,media_label_4,media_label_5,media_label_6,media_label_7,media_label_8,media_label_9,media_label_10,media_label_11,media_label_12,media_label_13,media_label_14,media_label_15,media_label_16,media_label_17,media_label_18,media_label_19,media_label_20,media_label_21,media_label_22,media_label_23,media_label_24
LDA_c6_g12,6,media,News ticker,Lmao,Web series,Bloomberg Radio,Michael Redstone,All India Radio,Sean Hannity,Hellenic Broadcasting Corporation,Sony Crackle,NBCUniversal,Guardian Media Group,Real News Update,Television advertisement,BeIN Media Group,Sponsor (commercial),Tucker Carlson,CNN,Dow Jones & Company,Defy Media,MSNBC,Antena 3 (Spain),Timeline of social media,Peter Chernin,Nielsen Corporation,Newsmax Media,Mediaset,Broadcast network,Media of the United States,GNN (news channel),Nielsen Media Research,Naming rights,,media companies by year of establishment,media companies by country,pay television,television by country,programming,united states,india,network,,launched,news,cable television,television networks by country,television by year,youtube,channel,company,,tv,service,,,,broadcast
kmeans_plain_c1_g16,1,media,Sky News,Baby Powder,News Corp Australia,News agency,Singapore Press Holdings,Anadolu Agency,Government gazette,Sunday Mirror,STS (TV channel),BeIN Channels Network,"Tony Hall, Baron Hall of Birkenhead",Televisión Española,WPP plc,ABS-CBN News Channel,Media freedom in Russia,Yomiuri Shimbun,La Repubblica,Bloomberg L.P.,BBC Cymru Wales,Roy Greenslade,Bouygues,De Telegraaf,MediaCityUK,Bell Pottinger,Axel Springer SE,Mediaset,BBC Sport,Tiscali,Satellite television,Asia-Pacific Broadcasting Union,Al Jazeera English,media in europe by country,government,regional,united kingdom,broadcast,community,media,,reference,newspaper,bbc,bbc,serve,radio station,london,group,edition,service,establishments by country and year,establishments in europe by year,reporters without borders,media by country,news,establishments by year and country,russian
kmeans_augmented_c3_g11,3,media,Nikon,Canon Inc.,Digital Audio Tape,Digital signage,Google Videos,17 (app),Video,Module file,Mini CD,PlayStation,Kodi (software),Hybrid Log-Gamma,RCA,Comparison of MIDI editors and sequencers,Light,NTSC,Alliance for Open Media,Ultra-high-definition television,Digital signal processing,Topsite (warez),Avid Technology,Alliance for Open Media,Chroma subsampling,Radio,Mamiya,Lmao,Niconico,XAVC,Telesync,360-degree video,Digital television,formats,electronics,dvd,tape,standard,media technology,uses,sony,audio,information and communications technology,film and video technology,video,high efficiency video coding,develop,developed,standards,,video,moving picture experts group,software,different,,sensor,single,systems
kmeans_plain_c1_g2,1,media,BBC Store,Lmao,IHS Markit,Sunday Mirror,Algemeen Dagblad,Al Arabiya,BBC News (TV channel),Media of Turkey,Commercial broadcasting,Satellite television,Singapore Press Holdings,El País,Government gazette,De Telegraaf,Roy Greenslade,Telewizja Polska,Public inquiry,Bonnier Group,Guardian Media Group,Rediffusion,Axel Springer SE,Al-Arab News Channel,Dubai Media City,WPP plc,Fairfax Media,Deutsche Welle,Bertelsmann,Corriere della Sera,Lists of newspapers,Daily Mirror,Independent Press Standards Organisation,united kingdom,bbc,russian,community,establishments in europe by year,london,media in europe by country,radio station,newspaper,media,regional,service,establishments by country and year,serve,reference,news,group,media by country,,reporters without borders,broadcast,establishments by year and country,government,bbc,edition
kmeans_augmented_c2_g20,2,media,Meredith Corporation,Univision Communications,Media market,Naming rights,Nielsen Media Research,Liberty Media,Call sign,ESPN,HBO Now,Fox Business Network,Dick Clark Productions,El Rey Network,Hubbard Broadcasting,Sports Illustrated,Tribune Media,CNBC,Xfinity Streampix,Vivendi,Media of Canada,Roone Arledge,Pluto TV,IAC (company),A&E Networks,Low-power broadcasting,Religious broadcasting,A&E Networks,Federal Communications Commission,DuMont Television Network,Nielsen Media Research,Cox Media Group,,television broadcasting companies of the united states,nbc,cable television,canada,,,television in the united states,broadcasting,offer,corporation,owned,company,network,canada,new york city,stations,united states,marketing,media companies by year of establishment,access,platform,software,programming,media companies of the united states,establishments in the united states by year
LDA_c2_g19,2,media,Personality rights,Whistleblower,Advertising campaign,Buckminster Fuller,Advertising media selection,Culture industry,CNN effect,Panel discussion,Information overload,Spiral of silence,Content (media),Gatekeeping (communication),Bleach,Exhibition,Technical writing,Lying press,Web content,User-generated content,Body worn video,Racial bias in criminal news in the United States,Information design,United States news media and the Vietnam War,Publicity stunt,The Plot to Hack America,Journalism ethics and standards,Advertising to children,Social media analytics,Mashup (video),Niche blogging,Political communication,Overchoice,people,marketing,,mass media,communication studies,advertising,medium,social sciences,references,,social,,,social_media,use,,communication,research,communication,behavior,social media,information,society,studies,
LDA_c2_g16,2,media,Attack ad,History of advertising,Tokenism,Novara Media,Dumbing down,LGBT rights in Pakistan,Pandit,Lmao,Digital media,Censorship,Subliminal stimuli,Media event,Media buying,Misinformation,Digital content,Elsevier,Performance-based advertising,Media bias in the United States,Culture of fear,Walter Lippmann,Organization for Transformative Works,Spin (propaganda),Copywriting,Slogan,Propaganda through media,Adbusters,Demographic profile,Marketing,Propaganda,New media,Bernie Bro,use,advertising,people,,society,,,studies,communication,references,social,,social_media,medium,research,mass media,information,social media,behavior,communication,social sciences,communication studies,,marketing,
LDA_c3_g4,3,media,Roy Greenslade,Doctor Doom in other media,George Eaton (journalist),Film producer,Sarah Koenig,Hearst Communications,Virgin EMI Records,Amy Goodman,Ingmar Bergman,Bill Weir,Monte Lipman,Diapers,Cynthia McFadden,Criticism of The Walt Disney Company,"Tony Hall, Baron Hall of Birkenhead","Roy Thomson, 1st Baron Thomson of Fleet",Bill Moyers,Conrad Black,From The Doctor to my son Thomas,Nat Hentoff,Andy Warhol,Natalie Morales (journalist),The Village Voice,Mortimer Zuckerman,Gio Benitez,The Walt Disney Company,Ben Sherwood,Michael Bloomberg,Pulitzer Prize for Criticism,TNT (Russian TV channel),Julie Chen,years,new_york,john,series,20th-century births,survivors,worked,life,gold ,the new york times,births by decade,,career,work,years,new york city,year,,award,cnn,abc news,people,film,producer,
LDA_c5_g3,5,media,Hybrid Log-Gamma,Color television,Lip sync,PAL,Cable television,Sound,Quiz,Stock sound effect,Digital Audio Tape,Chrominance,Mini CD,Digitization,OpenELEC,Lead vocalist,Home video,Rainbow Books,Hybrid Log-Gamma,Google Video,Kodi (software),Lists of singers,Cassette tape adaptor,ISDB,Avid Technology,Blues,Napster,Telesync,Google Video,Lists of singers,Telesync,DVD,Program and System Information Protocol,jazz,uses,dvd,,software,media formats,system,video,use,high efficiency video coding,media technology,developed,digital media,audio,,record,,video,systems,moving picture experts group,music,standard,,electronics,standards
LDA_c6_g6,6,media,History (U.S. TV network),Afghan War documents leak,Mediaset,Skai TV,All India Radio,ABS-CBN News Channel,BAMTech,Tucker Carlson,Federal Communications Commission,BitChute,CNA (news channel),Media of Canada,Jalsha Movies,Submarine communications cable,Radia tapes controversy,Television advertisement,Sean Hannity,Jawed Karim,Economist Group,DuMont Television Network,Newsmax Media,Hindustan (newspaper),Revolt (TV network),Media of India,Topsite (warez),Diapers,Mediaite,Call sign,Univision Deportes Network,News Corporation (1980–2013),Aaj Tak,television networks by country,,,,channel,network,broadcast,youtube,india,service,cable television,launched,tv,programming,,media companies by country,news,,pay television,united states,,television by year,company,media companies by year of establishment,television by country
kmeans_plain_c5_g5,5,media,Prometheus Global Media,Taft Broadcasting,Communications in the United States,Ziff Davis,NBC,Religious broadcasting,Rogers Communications,Vulcan Inc.,Ben Sherwood,"David Thomson, 3rd Baron Thomson of Fleet",Thomson Reuters,PR Newswire,Toronto Star,Ted Turner,NBCUniversal,"Roy Thomson, 1st Baron Thomson of Fleet",Telemundo,The Globe and Mail,Four-leaf clover,Dick Clark Productions,American Broadcasting Company,Shari Redstone,Bloomberg Radio,CBS,HBO Now,Sumner Redstone,Comcast,Mario Impemba,CBS Corporation,Hubbard Broadcasting,CNBC,,television in the united states,,canada,media companies by year of establishment,television broadcasting companies of the united states,united states,network,cable,media companies of the united states,programming,marketing,owned,broadcasting,company,new york city,cable television,canada,stations,establishments in the united states by year,platform,software,offer,nbc,access
LDA_c6_g17,6,media,Radiotelevizija Slovenija,The Young Turks,Revolt (TV network),PR Newswire,Splinter News,Discovery Channel,Euronews,Paid news in India,Reuters,Tom Wheeler,Broadcasting contracts in cricket,EMI,TV5 Network,Donald Trump on social media,Telemundo,Quiz,WION (TV channel),Video on demand,Ziff Davis,Vimeo,Call sign,Canadian Radio-television and Telecommunications Commission,Subhash Chandra,Commercial broadcasting,IAC (company),Submarine communications cable,Zee Bangla,The Real News,Stadium (sports network),Rediffusion,StarMaker Interactive,india,television by country,,tv,media companies by year of establishment,network,television networks by country,media companies by country,pay television,,service,programming,launched,youtube,united states,,,company,television by year,news,,,broadcast,channel,cable television
