article_id,vector_0,vector_1,vector_2,vector_3,vector_4,vector_5,vector_6,vector_7,vector_8,vector_9,vector_10,vector_11,vector_12,vector_13,vector_14,vector_15,vector_16,vector_17,vector_18,vector_19,vector_20,vector_21,vector_22,vector_23,vector_24,vector_25,vector_26,vector_27,vector_28,vector_29,vector_30,vector_31,vector_32,vector_33,vector_34,vector_35,vector_36,vector_37,vector_38,vector_39,vector_40,vector_41,vector_42,vector_43,vector_44,vector_45,vector_46,vector_47,vector_48,vector_49,vector_50,vector_51,vector_52,vector_53,vector_54,vector_55,vector_56,vector_57,vector_58,vector_59,vector_60,vector_61,vector_62,vector_63,vector_64,vector_65,vector_66,vector_67,vector_68,vector_69,vector_70,vector_71,vector_72,vector_73,vector_74,vector_75,vector_76,vector_77,vector_78,vector_79,vector_80,vector_81,vector_82,vector_83,vector_84,vector_85,vector_86,vector_87,vector_88,vector_89,vector_90,vector_91,vector_92,vector_93,vector_94,vector_95,vector_96,vector_97,vector_98,vector_99
0,0.477426,-0.092496,0.491907,-0.693328,0.570276,0.217292,0.319232,-0.242599,-0.185896,0.281675,-0.240126,0.193537,0.233873,-0.356532,0.618808,0.131259,0.076873,0.245098,-0.015962,0.240001,-0.162013,0.148208,-0.530848,0.418786,-0.337525,0.569357,-0.053633,0.134927,0.750949,0.716872,0.335878,-0.701336,-0.161576,-0.30391,-0.130914,0.300408,-0.266321,0.511029,-0.018718,0.583868,-1.03578,-0.426475,-0.132124,-0.01092,-0.559575,-0.378243,0.490389,0.470467,-0.009985,-0.168794,0.475265,-0.910445,0.345053,0.404748,-0.144935,-0.138552,0.203587,0.640583,-0.603509,-0.274379,-0.286724,-0.133794,-0.358652,0.010089,0.064538,0.030488,-0.671664,0.07325,0.580836,0.377697,0.718071,0.850793,0.38342,-0.122789,-0.207244,-0.464431,0.266087,-0.056524,0.058406,-0.473362,-0.017796,0.378023,-0.444018,-0.241047,0.225383,-0.286626,-0.43193,0.009128,-0.286735,0.326959,0.722951,0.186982,-0.272131,0.76058,-0.294161,-0.778263,-0.279738,-0.023584,-0.126308,-0.01495
1,-0.26258,-0.010726,-0.442328,-0.587588,-0.241654,-0.304465,0.529724,-0.584792,-0.563737,-0.020633,0.796585,0.723777,0.474581,-0.007987,1.184487,-0.48305,0.986688,-0.17632,0.798181,-0.188252,0.039675,-0.230729,0.475214,-0.095838,0.48317,-0.897069,0.082593,-0.186165,0.189835,1.00731,-0.051107,-0.760633,-0.631329,0.02607,-0.312298,0.695014,-0.23151,0.482023,0.37832,-0.611004,-0.131751,0.209676,0.505054,-0.315212,-0.230691,-0.136426,0.411627,-0.119418,-0.309381,0.344954,-0.41211,-0.647723,0.560497,0.184947,-0.414657,0.176104,0.435616,-0.6692,0.516739,-0.658532,0.139811,-0.631247,-0.595554,0.458046,-0.271546,-0.292943,0.462297,-0.658037,0.518302,0.127728,0.445335,0.035341,-0.12579,0.200188,0.204153,-0.562982,-0.418667,-0.299182,-0.599503,-0.773935,0.672585,0.668211,-0.26375,0.180079,0.092013,-0.178486,0.204269,1.123501,-0.366684,0.129559,0.72893,1.268736,0.152477,0.257882,-0.221012,-0.06773,0.240294,-0.466961,-0.018312,-0.097757
2,-0.207098,0.504809,-0.205504,-0.12862,-0.390281,-0.356351,-0.228584,-0.24733,0.043202,0.35877,0.697024,0.466465,-0.370739,0.037239,0.180495,-0.024816,1.400584,0.149194,0.546549,-0.042863,0.453098,-0.027065,-0.704782,-0.467416,-0.700852,0.169092,-0.443661,0.189583,0.465038,0.545169,0.020372,0.4845,-0.228384,-0.002431,-0.275359,-0.269226,-0.346849,0.289765,0.59927,0.417832,0.213054,0.158141,0.331348,-0.335776,0.32517,-0.243839,0.803423,0.542448,-0.093175,-0.090018,0.794013,0.192056,-0.14133,-0.305592,-0.247676,0.269291,0.224058,0.18965,-0.191437,0.3377,0.560956,0.01484,-0.569724,0.554156,-0.208227,-0.36809,-0.532414,0.340102,-0.26402,-0.181808,0.902084,-0.052991,-0.213229,-0.024852,0.115816,0.411642,-0.068868,-0.201214,-0.996183,-0.442444,0.134067,0.677036,0.081583,-0.36075,0.203019,0.541988,-1.040165,0.155446,0.221874,0.102038,0.271373,0.156196,0.128717,0.088836,-0.115197,0.498821,-0.34783,-0.026338,0.673073,-0.307377
4,0.260004,-0.04854,0.441264,0.451036,-0.015078,0.56223,-0.127871,0.304726,-0.785381,0.285379,-0.284158,0.634967,-0.060797,-0.338887,0.840643,-0.498154,0.028774,0.269362,0.037414,0.202262,0.277824,0.138424,-0.077341,0.458817,-0.068339,0.271049,-0.99819,0.440667,0.618969,0.41716,0.20572,-0.370302,-0.419338,-0.05298,0.31273,0.197473,0.023249,-0.309166,0.493142,0.453809,0.363718,0.157386,-0.262964,-0.49395,0.090923,-0.131692,0.587899,0.08154,0.138804,0.272789,0.828551,-0.652838,0.372604,0.072247,-0.355865,0.33445,-0.007574,-0.429332,-0.076915,-0.349474,0.966944,-0.135267,0.00213,0.169527,-0.108575,-0.564574,0.189284,-0.338877,-0.610104,0.255602,0.650214,0.13708,0.710479,-0.583069,-0.2338,-0.449917,-0.165748,0.615418,-0.456214,0.542554,0.07983,0.234428,-0.365781,0.323703,0.566564,-0.473105,-0.250249,-0.141555,0.464531,0.031112,0.260742,0.328019,-0.148177,0.15634,0.078031,-0.050958,-0.498962,0.259605,0.019779,0.439006
5,-0.035347,-0.128965,-0.252173,0.027759,0.212175,-0.548523,0.031532,-0.924286,0.298366,-0.184339,0.839534,0.796799,0.234012,0.530455,0.277133,-0.150817,0.207325,0.456259,0.046124,0.430598,0.332245,0.087388,-0.544386,0.123622,-0.367544,-0.003414,0.183419,-0.474076,0.492351,-0.212832,0.085553,0.043093,0.332813,-0.469933,0.198857,0.668424,-0.038726,-0.344406,0.107461,-0.108405,-0.338195,-0.172674,8.5e-05,-0.190417,0.22367,0.213017,0.964115,0.032229,-0.548609,0.266315,0.549162,-0.669701,0.325392,0.83295,0.239037,-0.372747,0.887243,-0.490033,0.272232,0.10585,0.718628,0.277418,-0.371957,-0.524996,-0.022581,0.328161,-0.211614,0.130859,0.289534,-0.044298,0.30532,0.433984,-0.313239,0.460448,-0.113756,-0.153822,-0.183924,-0.196185,-0.912737,-0.209367,0.192214,0.954108,0.974551,-0.520451,0.414519,0.602143,-0.498727,-0.501506,-0.631708,0.434332,0.363773,0.074364,-0.127355,-0.349127,-0.660874,0.53275,-0.371939,-0.044538,0.196585,-0.826079
6,-0.199605,-0.362123,-0.02213,-0.172585,0.04015,-0.052611,0.414178,-0.788619,0.345273,0.099698,0.348865,0.847693,-0.268697,-0.090518,0.378587,-0.152898,-0.114095,0.515806,0.764517,0.010526,0.379371,0.450751,-0.0146,0.226269,-0.327035,0.3822,0.120587,-0.015387,0.196038,0.199439,0.014422,-0.543072,0.336641,-0.519966,-0.167703,0.903251,0.291999,-0.19611,0.010335,0.058261,-0.011502,0.031283,-0.095051,-0.221708,-0.352856,0.389009,0.985618,0.333943,-0.604761,0.15272,0.603208,-0.167083,0.327434,1.071085,0.305678,-0.126295,0.805576,-0.545062,0.33466,0.384086,1.183663,0.142183,-0.445152,0.213481,0.357334,0.268723,-0.442906,0.101682,-0.229287,-0.10246,0.411951,0.533187,-0.172255,-0.369302,-0.011868,-0.013597,-0.351224,-0.270357,-0.942734,-0.355827,-0.139215,0.826793,0.522666,-0.731528,0.940739,0.62254,-0.320806,-0.500527,-0.674014,0.455115,0.587408,0.290264,-0.572005,-0.71323,-0.462152,0.075853,0.1173,-0.46573,0.5631,-0.146337
7,-0.253389,-0.314664,0.353059,0.158998,0.418355,-0.173309,-0.045451,-0.103071,0.034651,-0.264254,0.472894,0.116892,-0.21621,-0.246174,0.541941,-0.136445,0.804968,0.120567,0.58617,-0.528909,-0.132303,0.299847,-0.771984,-0.273712,0.519118,-0.323476,-0.636366,0.011463,-0.162914,0.556088,0.260857,-0.346032,-0.441928,0.171722,-0.225898,0.430468,-0.242323,-0.17209,-0.107154,0.176691,-0.426062,0.787005,0.092848,-0.072072,-0.148474,0.530606,0.224178,-0.033492,0.764146,0.371067,0.12679,0.279933,0.393932,0.513957,0.204825,-0.337213,-0.073695,-0.364916,-0.277394,-0.252931,-0.522485,-0.553012,0.157652,-0.115969,-0.263588,0.600582,-0.394391,0.319729,0.181012,0.272726,0.640569,-0.455309,0.006669,-0.32783,0.025949,-0.643128,-0.103443,-0.422504,-0.595219,-0.134932,0.449614,0.507168,-0.511713,-0.648443,0.324291,0.088136,0.068624,0.281683,0.351063,0.651694,-0.212478,0.608016,-0.50201,0.243633,-0.09103,-0.490853,-0.512861,-0.109928,-0.08224,-0.097063
9,-0.153349,-0.007242,0.559374,-0.591329,-0.611232,-0.141632,-0.436724,-0.259668,-0.084933,0.35355,0.210742,0.499482,-1.187825,-0.255275,0.548449,-0.172016,1.06179,0.108348,0.434645,-0.43057,0.397489,-0.012296,-0.148691,-0.651243,-0.078799,0.160661,0.382801,-0.163537,1.000998,0.03022,-0.140388,0.68992,0.100778,0.522818,-0.56764,0.864065,-0.094427,0.123335,-0.170302,0.921002,0.616036,-0.663128,-0.090601,-0.578541,0.366415,-0.146802,-0.474542,0.207695,0.286407,-0.152523,0.678056,-1.07656,-0.077993,0.263208,-0.244621,0.28609,-0.276386,0.301667,0.494651,0.085541,-0.050846,-0.153683,0.299416,0.06875,0.080578,0.664742,0.124488,0.283897,-0.362913,0.002698,0.071682,0.713755,-0.373044,-0.195248,-0.019629,-0.427731,-0.058467,0.169227,-0.597921,0.296837,-0.356183,1.027697,0.663083,-0.777351,-0.302147,-0.510048,-0.825697,0.004928,-0.056853,0.420232,0.347101,-0.141464,-1.064239,0.036074,0.12653,0.071182,0.237065,-0.226192,0.174356,-0.290866
10,0.194305,-0.346205,0.282399,-0.107775,0.43868,0.057828,-0.042685,0.210581,-0.359757,-0.796245,0.052064,-0.304632,0.60593,-0.452848,1.29626,-0.349031,0.40789,-0.462716,0.304338,0.088245,-0.433536,-0.093653,0.034778,-0.114793,-0.371148,-0.700967,-0.432275,0.175276,-0.231414,0.45633,0.080444,-0.398198,-0.954751,0.170511,0.552388,0.773499,-0.345992,0.472034,-0.250696,0.382985,1.458179,0.464355,0.242402,-0.245352,-0.44117,0.522825,0.479945,-0.961597,0.511888,0.396828,1.013989,-0.37479,0.101777,0.623407,-0.112305,0.1449,-0.594104,-0.234043,-0.596897,-0.013608,-0.118031,-0.072763,-0.116556,-0.456047,-0.129345,-0.328913,0.002755,-0.18273,-0.454585,0.506465,0.408275,-0.450576,-0.466382,-0.782202,-1.081304,0.538743,-0.184147,-0.114213,-0.170917,0.402969,0.379746,0.530912,0.22975,-0.228204,0.369168,0.365702,-0.060426,-0.450562,0.206796,0.60089,0.486093,0.175685,-0.286518,0.121936,0.07439,-0.337121,-0.173452,0.078045,0.282097,0.274747
11,-0.029872,0.154732,-0.101746,0.150656,-0.175908,-0.300581,-0.015491,-0.063759,0.45124,-0.088412,0.230927,0.058327,-0.477213,-0.007448,0.042789,-0.335887,0.302562,0.019657,0.525728,0.587749,-0.324141,-0.113848,-0.069519,-0.286181,-0.03894,0.27737,-0.462537,-0.7404,0.309914,0.289057,-0.247725,0.172444,-0.346796,-0.110221,0.124871,0.561062,-0.094231,-0.213061,0.136008,0.254104,-0.089327,-0.155583,0.420034,0.045426,-0.470522,-0.034079,-0.125405,0.339169,0.670703,0.25319,0.920911,-1.026883,0.274021,0.376513,-0.013521,0.122369,0.51496,-0.036447,0.060391,0.200582,0.477475,0.35326,-0.010649,0.644128,-0.069537,0.16368,0.606375,0.060454,0.333286,0.547519,0.349746,0.666331,-0.225844,-0.757258,-0.189223,-0.021356,-0.475725,0.115741,-0.120302,-0.19348,0.175403,0.401215,0.053792,-0.410167,-0.127473,-0.507563,-0.200177,-0.888913,-0.515512,0.154031,0.444181,0.572459,-0.330503,0.17809,-0.720177,0.205973,-0.51177,-0.356903,-0.322967,0.169175
