,Unnamed: 0,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,0,computer-related introductions by year,0.00673084000994305,0.017412090163249273,0,1,0,0,0,0,LDA,0,1,0
1,1,computers,0.006140613315421648,0.015781258897563013,0,1,0,0,0,0,LDA,0,1,0
2,2,technology by year,0.00585998627527851,0.015251701198549829,0,1,0,0,0,0,LDA,0,1,0
3,3,companies by industry and year of establishment,0.005848060545828445,0.015210008690505478,0,1,0,0,0,0,LDA,0,1,0
4,4,mobile phones,0.005621051979186962,0.014667087143110168,0,1,0,0,0,0,LDA,0,1,0
5,5,product introductions by year,0.005591975340855531,0.014523361469900572,0,1,0,0,0,0,LDA,0,1,0
6,6,computer networking,0.005390079900673204,0.014018863431610469,0,1,0,0,0,0,LDA,0,1,0
7,7,smart devices,0.00537128140032435,0.01399488945755496,0,1,0,0,0,0,LDA,0,1,0
8,8,mobile computers,0.005353548772752972,0.013969499406776229,0,1,0,0,0,0,LDA,0,1,0
9,9,technology companies by year of establishment,0.00530340386459592,0.013838698850533009,0,1,0,0,0,0,LDA,0,1,0
10,10,materials,0.0255244310757952,0.0845655434409064,1,1,0,0,0,0,LDA,0,1,0
11,11,industrial processes,0.02325916146354579,0.07426764603548827,1,1,0,0,0,0,LDA,0,1,0
12,12,chemistry,0.022437771676592246,0.07329511960712802,1,1,0,0,0,0,LDA,0,1,0
13,13,manufacturing,0.020883293687103528,0.06613000388114934,1,1,0,0,0,0,LDA,0,1,0
14,14,artificial materials,0.01997359422505544,0.06895498581960352,1,1,0,0,0,0,LDA,0,1,0
15,15,building engineering,0.018825630913369487,0.06066602342600118,1,1,0,0,0,0,LDA,0,1,0
16,16,materials science,0.01641844876280424,0.05705018941883189,1,1,0,0,0,0,LDA,0,1,0
17,17,technology by type,0.015211091608218603,0.03745783726653073,1,1,0,0,0,0,LDA,0,1,0
18,18,procedural knowledge,0.014828025435293619,0.05820471480679535,1,1,0,0,0,0,LDA,0,1,0
19,19,building materials,0.01453357283562266,0.0528566934309397,1,1,0,0,0,0,LDA,0,1,0
20,20,electrical engineering,0.027984696348755368,0.11238238747011324,2,1,0,0,0,0,LDA,0,1,0
21,21,electrical components,0.0246134019494293,0.1284792826254183,2,1,0,0,0,0,LDA,0,1,0
22,22,electronics,0.02357246880615561,0.09096933399511298,2,1,0,0,0,0,LDA,0,1,0
23,23,electricity,0.022736289977933543,0.10700458691809388,2,1,0,0,0,0,LDA,0,1,0
24,24,electromagnetism,0.02175579510873972,0.10964944848393204,2,1,0,0,0,0,LDA,0,1,0
25,25,engineering disciplines,0.017998053634655654,0.0521235228713068,2,1,0,0,0,0,LDA,0,1,0
26,26,telecommunications,0.017598843354691092,0.0865573948570708,2,1,0,0,0,0,LDA,0,1,0
27,27,glass applications,0.016193311336019176,0.08829475699662574,2,1,0,0,0,0,LDA,0,1,0
28,28,electronic engineering,0.01619325502532433,0.08089444005498253,2,1,0,0,0,0,LDA,0,1,0
29,29,manufactured goods,0.016142787472250075,0.05161607185740765,2,1,0,0,0,0,LDA,0,1,0
30,30,management by type,0.018314163664127442,0.09036359600710277,3,1,0,0,0,0,LDA,0,1,0
31,31,subfields by academic discipline,0.017700359163445718,0.06820522388059701,3,1,0,0,0,0,LDA,0,1,0
32,32,systems science,0.015709919274789926,0.09287203687445128,3,1,0,0,0,0,LDA,0,1,0
