article_id,country
0,4
1,0
2,6
3,4
4,2
5,4
6,4
7,4
8,0
9,4
10,2
11,1
12,3
13,5
14,4
15,4
16,2
17,3
18,3
19,6
20,4
21,4
22,5
23,2
24,5
25,0
26,1
27,4
28,2
29,5
30,4
31,1
32,6
33,2
34,5
35,4
36,5
37,6
38,5
39,4
40,5
41,2
42,1
43,4
44,4
45,5
46,2
47,1
48,4
49,2
50,6
51,0
52,2
53,1
54,5
55,6
56,6
57,5
58,2
59,1
60,5
61,6
62,6
63,2
64,2
65,0
66,3
67,6
68,2
69,2
70,6
71,2
72,5
73,5
74,3
75,3
76,3
77,2
78,3
79,2
80,5
81,0
82,0
83,1
84,6
85,1
86,0
87,2
88,6
89,2
90,6
91,2
92,2
93,2
94,5
95,0
96,2
97,2
98,1
99,3
100,6
101,6
102,6
103,6
104,5
105,5
106,5
107,5
108,5
109,0
110,6
111,1
112,1
113,1
114,2
115,4
116,3
117,4
118,6
119,1
120,5
121,5
122,2
123,1
124,1
125,4
126,2
127,2
128,6
129,2
130,2
131,2
132,0
133,2
134,2
135,6
136,2
137,5
138,0
139,6
140,3
141,0
142,6
143,5
144,4
145,2
146,2
147,2
148,1
149,2
150,6
151,0
152,6
153,1
154,4
155,6
156,4
157,0
158,2
159,0
160,2
161,6
162,2
163,5
164,0
165,4
166,2
167,3
168,6
169,5
170,3
171,1
172,1
173,1
174,0
175,0
176,3
177,0
178,6
179,2
180,6
181,1
182,3
183,3
184,2
185,5
186,2
187,5
188,6
189,5
190,5
191,2
192,4
193,5
194,0
195,0
196,6
197,0
198,1
199,5
200,2
201,2
202,0
203,5
204,5
205,2
206,0
207,5
208,0
209,2
210,0
211,3
212,2
213,2
214,6
215,3
216,4
217,3
218,2
219,6
220,1
221,3
222,1
223,6
224,6
225,3
226,2
227,2
228,4
229,3
230,3
231,6
232,3
233,3
234,3
235,4
236,2
237,2
238,0
239,6
240,5
241,6
242,3
243,6
244,1
245,1
246,6
247,0
248,5
249,4
250,6
251,0
252,0
253,0
254,6
255,6
256,2
257,6
258,0
259,3
260,4
261,1
262,2
263,2
264,2
265,4
266,3
267,5
268,5
269,1
