,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,steam,0.008838459772041245,0.02100772944087132,0,0,0,0,1,0,LDA,0,1,0
1,building,0.008751301555623786,0.020869051098770627,0,0,0,0,1,0,LDA,0,1,0
2,unit,0.008695263870341573,0.020780289547456376,0,0,0,0,1,0,LDA,0,1,0
3,motor,0.008619297299290646,0.020660460871546008,0,0,0,0,1,0,LDA,0,1,0
4,cut,0.008553873278023759,0.020557721657113535,0,0,0,0,1,0,LDA,0,1,0
5,end,0.008325390114272614,0.02020224559425206,0,0,0,0,1,0,LDA,0,1,0
6,tool,0.0082567656986033,0.02009648456281539,0,0,0,0,1,0,LDA,0,1,0
7,common,0.00823235838706414,0.020058980625962137,0,0,0,0,1,0,LDA,0,1,0
8,load,0.007924547499072928,0.0195910047724812,0,0,0,0,1,0,LDA,0,1,0
9,typically,0.007848896924029704,0.01947740286023704,0,0,0,0,1,0,LDA,0,1,0
10,electricity,0.013802310035810679,0.03411146463850091,1,0,0,0,1,0,LDA,0,1,0
11,tube,0.013720804834949765,0.03387957160900737,1,0,0,0,1,0,LDA,0,1,0
12,output,0.013591710728690679,0.033515030152555365,1,0,0,0,1,0,LDA,0,1,0
13,fire,0.013519793351366004,0.03331340229735951,1,0,0,0,1,0,LDA,0,1,0
14,source,0.013113735363172457,0.03219434743982547,1,0,0,0,1,0,LDA,0,1,0
15,battery,0.013037432670205679,0.03198770849605252,1,0,0,0,1,0,LDA,0,1,0
16,fuel,0.01292401812857561,0.03168267631077548,1,0,0,0,1,0,LDA,0,1,0
17,weapon,0.01287899636822216,0.031562286153799766,1,0,0,0,1,0,LDA,0,1,0
18,color,0.012467933276120304,0.030481253722843934,1,0,0,0,1,0,LDA,0,1,0
19,plant,0.012107203112316082,0.02955922291628104,1,0,0,0,1,0,LDA,0,1,0
20,range,0.015492442850266526,0.042478005645984626,2,0,0,0,1,0,LDA,0,1,0
21,carry,0.015348981148922308,0.04194132837945291,2,0,0,0,1,0,LDA,0,1,0
22,british,0.015207473140262955,0.041418042934918256,2,0,0,0,1,0,LDA,0,1,0
23,transport,0.015142089815089042,0.041178285812284866,2,0,0,0,1,0,LDA,0,1,0
24,boat,0.015003352851918355,0.040673753006743286,2,0,0,0,1,0,LDA,0,1,0
25,space,0.014848324832915195,0.040116690528503904,2,0,0,0,1,0,LDA,0,1,0
26,fly,0.014758200727803455,0.03979607761718719,2,0,0,0,1,0,LDA,0,1,0
27,military,0.014615608518686414,0.03929362171513551,2,0,0,0,1,0,LDA,0,1,0
28,later,0.014553834485996784,0.03907776505278044,2,0,0,0,1,0,LDA,0,1,0
29,mill,0.014527471907336798,0.0389859793450816,2,0,0,0,1,0,LDA,0,1,0
30,introduce,0.014808426463633175,0.0399906802341449,3,0,0,0,1,0,LDA,0,1,0
31,sell,0.014611098074250017,0.039289508713801255,3,0,0,0,1,0,LDA,0,1,0
32,like,0.014452416225142787,0.03873385272727726,3,0,0,0,1,0,LDA,0,1,0
33,app,0.014347971985391048,0.038372065428014884,3,0,0,0,1,0,LDA,0,1,0
34,number,0.01426173787399878,0.03807569882884119,3,0,0,0,1,0,LDA,0,1,0
35,platform,0.014176220596427605,0.037783875116797955,3,0,0,0,1,0,LDA,0,1,0
36,format,0.014150703421081687,0.037697198286096065,3,0,0,0,1,0,LDA,0,1,0
37,apple,0.014099858164769255,0.037525032204484964,3,0,0,0,1,0,LDA,0,1,0
38,access,0.01404085457429593,0.03732614882350341,3,0,0,0,1,0,LDA,0,1,0
39,hardware,0.013998915383508167,0.03718537511494786,3,0,0,0,1,0,LDA,0,1,0
40,approach,0.018675352639735583,0.05503293132942135,4,0,0,0,1,0,LDA,0,1,0
41,element,0.01861063349775951,0.05473335086491715,4,0,0,0,1,0,LDA,0,1,0
42,value,0.018418837668818563,0.053853864777103806,4,0,0,0,1,0,LDA,0,1,0
43,case,0.018317962471962615,0.053396264226687626,4,0,0,0,1,0,LDA,0,1,0
44,function,0.01818082405323068,0.05277961445609071,4,0,0,0,1,0,LDA,0,1,0
45,effect,0.01809447838355744,0.052394562552815424,4,0,0,0,1,0,LDA,0,1,0
46,testing,0.018045455211907514,0.05217704490858994,4,0,0,0,1,0,LDA,0,1,0
47,determine,0.017851621713805447,0.051324739938158656,4,0,0,0,1,0,LDA,0,1,0
48,field,0.017803717796584722,0.05111599671522766,4,0,0,0,1,0,LDA,0,1,0
49,level,0.01775603162519379,0.050908944576634335,4,0,0,0,1,0,LDA,0,1,0
50,part,0.018379852140425014,0.055189797949328157,5,0,0,0,1,0,LDA,0,1,0
51,dry,0.017897726763033577,0.052829211591926196,5,0,0,0,1,0,LDA,0,1,0
52,particle,0.01783824183598677,0.05248657119278341,5,0,0,0,1,0,LDA,0,1,0
53,fiber,0.017776752237558507,0.05220324287325421,5,0,0,0,1,0,LDA,0,1,0
54,remove,0.01773043151845301,0.05192631120961889,5,0,0,0,1,0,LDA,0,1,0
55,liquid,0.01771825483330162,0.05187073046441191,5,0,0,0,1,0,LDA,0,1,0
56,coating,0.01753734239146434,0.05105107183184285,5,0,0,0,1,0,LDA,0,1,0
57,cell,0.0174896407190724,0.0508368528050111,5,0,0,0,1,0,LDA,0,1,0
58,property,0.017301052768132184,0.049997657917334876,5,0,0,0,1,0,LDA,0,1,0
59,wire,0.017161884482878812,0.04938622159121205,5,0,0,0,1,0,LDA,0,1,0
60,idea,0.014679213823462057,0.039190493524692595,6,0,0,0,1,0,LDA,0,1,0
61,communication,0.014622664411692137,0.0388568266828246,6,0,0,0,1,0,LDA,0,1,0
62,term,0.01365488824411404,0.03436080087030477,6,0,0,0,1,0,LDA,0,1,0
63,focus,0.013558680349271107,0.03408030453666963,6,0,0,0,1,0,LDA,0,1,0
64,establish,0.013538763514268736,0.03401479984509119,6,0,0,0,1,0,LDA,0,1,0
65,management,0.01337288437326957,0.033537319365982296,6,0,0,0,1,0,LDA,0,1,0
66,innovation,0.013248241063170777,0.0331824270975592,6,0,0,0,1,0,LDA,0,1,0
67,organization,0.013201879742873032,0.03305127125922893,6,0,0,0,1,0,LDA,0,1,0
68,human,0.013163401513628622,0.032942764130997705,6,0,0,0,1,0,LDA,0,1,0
69,society,0.013117413528740665,0.032813492329306415,6,0,0,0,1,0,LDA,0,1,0
