,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,computer-related introductions by year,0.00673084000994305,0.017412090163249277,0,1,0,0,0,0,LDA,0,1,0
1,computers,0.006140613315421648,0.015781258897563013,0,1,0,0,0,0,LDA,0,1,0
2,technology by year,0.00585998627527851,0.015251701198549829,0,1,0,0,0,0,LDA,0,1,0
3,companies by industry and year of establishment,0.005848060545828445,0.015210008690505478,0,1,0,0,0,0,LDA,0,1,0
4,mobile phones,0.005621051979186962,0.014667087143110167,0,1,0,0,0,0,LDA,0,1,0
5,product introductions by year,0.005591975340855531,0.014523361469900572,0,1,0,0,0,0,LDA,0,1,0
6,computer networking,0.005390079900673205,0.014018863431610469,0,1,0,0,0,0,LDA,0,1,0
7,smart devices,0.00537128140032435,0.013994889457554961,0,1,0,0,0,0,LDA,0,1,0
8,mobile computers,0.005353548772752973,0.01396949940677623,0,1,0,0,0,0,LDA,0,1,0
9,technology companies by year of establishment,0.00530340386459592,0.013838698850533007,0,1,0,0,0,0,LDA,0,1,0
10,materials,0.0255244310757952,0.0845655434409064,1,1,0,0,0,0,LDA,0,1,0
11,industrial processes,0.023259161463545792,0.07426764603548827,1,1,0,0,0,0,LDA,0,1,0
12,chemistry,0.022437771676592246,0.07329511960712803,1,1,0,0,0,0,LDA,0,1,0
13,manufacturing,0.020883293687103528,0.06613000388114934,1,1,0,0,0,0,LDA,0,1,0
14,artificial materials,0.01997359422505544,0.06895498581960352,1,1,0,0,0,0,LDA,0,1,0
15,building engineering,0.018825630913369487,0.06066602342600118,1,1,0,0,0,0,LDA,0,1,0
16,materials science,0.016418448762804235,0.05705018941883189,1,1,0,0,0,0,LDA,0,1,0
17,technology by type,0.015211091608218605,0.03745783726653073,1,1,0,0,0,0,LDA,0,1,0
18,procedural knowledge,0.01482802543529362,0.058204714806795343,1,1,0,0,0,0,LDA,0,1,0
19,building materials,0.014533572835622661,0.052856693430939704,1,1,0,0,0,0,LDA,0,1,0
20,electrical engineering,0.02798469634875537,0.11238238747011324,2,1,0,0,0,0,LDA,0,1,0
21,electrical components,0.0246134019494293,0.1284792826254183,2,1,0,0,0,0,LDA,0,1,0
22,electronics,0.02357246880615561,0.09096933399511298,2,1,0,0,0,0,LDA,0,1,0
23,electricity,0.022736289977933546,0.10700458691809388,2,1,0,0,0,0,LDA,0,1,0
24,electromagnetism,0.021755795108739717,0.10964944848393204,2,1,0,0,0,0,LDA,0,1,0
25,engineering disciplines,0.017998053634655654,0.052123522871306796,2,1,0,0,0,0,LDA,0,1,0
26,telecommunications,0.01759884335469109,0.0865573948570708,2,1,0,0,0,0,LDA,0,1,0
27,glass applications,0.016193311336019176,0.08829475699662574,2,1,0,0,0,0,LDA,0,1,0
28,electronic engineering,0.01619325502532433,0.08089444005498253,2,1,0,0,0,0,LDA,0,1,0
29,manufactured goods,0.016142787472250075,0.051616071857407644,2,1,0,0,0,0,LDA,0,1,0
30,management by type,0.018314163664127442,0.09036359600710275,3,1,0,0,0,0,LDA,0,1,0
31,subfields by academic discipline,0.017700359163445718,0.06820522388059701,3,1,0,0,0,0,LDA,0,1,0
32,systems science,0.015709919274789923,0.09287203687445127,3,1,0,0,0,0,LDA,0,1,0
33,academic disciplines,0.015299069967342777,0.0736139089826939,3,1,0,0,0,0,LDA,0,1,0
34,main topic classifications,0.015051257820533308,0.05171583029733224,3,1,0,0,0,0,LDA,0,1,0
35,product,0.014844659342954036,0.08537849913522516,3,1,0,0,0,0,LDA,0,1,0
36,applied sciences,0.014735758342361958,0.05869988997321088,3,1,0,0,0,0,LDA,0,1,0
37,systems theory,0.01443321052693753,0.0819139136951227,3,1,0,0,0,0,LDA,0,1,0
38,technology,0.014263236637219125,0.03987375102204853,3,1,0,0,0,0,LDA,0,1,0
39,production and manufacturing,0.013591657058903675,0.07079427152493759,3,1,0,0,0,0,LDA,0,1,0
40,vehicle technology,0.03927787857026761,0.17951003768991083,4,1,0,0,0,0,LDA,0,1,0
41,engines,0.03326343081103788,0.16848409787490554,4,1,0,0,0,0,LDA,0,1,0
42,machines,0.029690486402055818,0.10295428632215474,4,1,0,0,0,0,LDA,0,1,0
43,vehicle parts,0.028275294603953633,0.14723360234172492,4,1,0,0,0,0,LDA,0,1,0
44,rotating machines,0.026964375474459935,0.14599105832025325,4,1,0,0,0,0,LDA,0,1,0
45,propulsion,0.02526152716624352,0.13760372889126615,4,1,0,0,0,0,LDA,0,1,0
46,automotive technologies,0.024999769347254012,0.1438760793153511,4,1,0,0,0,0,LDA,0,1,0
47,motor vehicles,0.02455283425234011,0.14037941273396037,4,1,0,0,0,0,LDA,0,1,0
48,mechanical engineering,0.0244458891252309,0.08541584849868768,4,1,0,0,0,0,LDA,0,1,0
49,automotive industry,0.024382807843223327,0.14001782939813046,4,1,0,0,0,0,LDA,0,1,0
50,optics,0.01587425571303066,0.07730040904991038,5,1,0,0,0,0,LDA,0,1,0
51,measurement,0.01579246108042346,0.06784872703475976,5,1,0,0,0,0,LDA,0,1,0
52,measuring instruments,0.014465812319099049,0.066144194063911,5,1,0,0,0,0,LDA,0,1,0
53,military technology,0.01320674453100204,0.08002230103928373,5,1,0,0,0,0,LDA,0,1,0
54,weapons,0.012264683320788316,0.07413964609361454,5,1,0,0,0,0,LDA,0,1,0
55,scientific equipment,0.012221523339192531,0.05779492693717394,5,1,0,0,0,0,LDA,0,1,0
56,applied and interdisciplinary physics,0.012073657093277663,0.046310902322999475,5,1,0,0,0,0,LDA,0,1,0
57,electromagnetic radiation,0.011894866055602573,0.06734681577416393,5,1,0,0,0,0,LDA,0,1,0
58,engineering equipment,0.011854783045660032,0.061078832808794045,5,1,0,0,0,0,LDA,0,1,0
59,imaging,0.011213654452023655,0.06202285000068468,5,1,0,0,0,0,LDA,0,1,0
60,tools,0.010862144712395612,0.03341715296666789,6,1,0,0,0,0,LDA,0,1,0
61,hardlines (retail),0.010653134400312757,0.03469098886374604,6,1,0,0,0,0,LDA,0,1,0
62,equipment,0.010382776313294647,0.02979568279050316,6,1,0,0,0,0,LDA,0,1,0
63,history of technology,0.00932415592037843,0.037593066439220287,6,1,0,0,0,0,LDA,0,1,0
64,construction,0.00874717990886107,0.031044245300098146,6,1,0,0,0,0,LDA,0,1,0
65,inventions by country,0.007724275233028761,0.026389733282320322,6,1,0,0,0,0,LDA,0,1,0
66,history of industries,0.007696567096589028,0.03529732173390398,6,1,0,0,0,0,LDA,0,1,0
67,stub categories,0.007396094469691672,0.02875936474177646,6,1,0,0,0,0,LDA,0,1,0
68,wikiproject stub sorting,0.007386386910199876,0.02869129523942906,6,1,0,0,0,0,LDA,0,1,0
69,wikipedia maintenance,0.007386386910199876,0.02869129523942906,6,1,0,0,0,0,LDA,0,1,0
70,main topic classifications,0.006245487148189134,0.01487631196698568,0,1,0,0,0,0,LDA,0,1,0
71,matter,0.01439625834753701,0.05756441220295954,1,1,0,0,0,0,LDA,0,1,0
72,business process,0.014146635052486999,0.05331119513807598,1,1,0,0,0,0,LDA,0,1,0
73,lighting,0.013177047883123917,0.08809598358238135,2,1,0,0,0,0,LDA,0,1,0
74,telecommunications engineering,0.01591295278333451,0.08502760595142218,2,1,0,0,0,0,LDA,0,1,0
75,electrical equipment,0.012963883590607246,0.0834761610277709,2,1,0,0,0,0,LDA,0,1,0
76,emergence,0.011836217119506517,0.08086662722970513,3,1,0,0,0,0,LDA,0,1,0
77,formal sciences,0.01344689931942506,0.07894123134328358,3,1,0,0,0,0,LDA,0,1,0
78,quality,0.010771706010833094,0.07537614347616756,3,1,0,0,0,0,LDA,0,1,0
79,concepts,0.011219468044136318,0.07483446208265032,3,1,0,0,0,0,LDA,0,1,0
80,evaluation,0.011086130940201009,0.0747372604433454,3,1,0,0,0,0,LDA,0,1,0
81,internal combustion engine,0.02421239530358595,0.1428059454764808,4,1,0,0,0,0,LDA,0,1,0
82,vehicles,0.023648640742232486,0.1257727935828166,4,1,0,0,0,0,LDA,0,1,0
83,aircraft,0.010537308490304532,0.06914634635670931,5,1,0,0,0,0,LDA,0,1,0
84,military science,0.010264004745805196,0.06605168470158386,5,1,0,0,0,0,LDA,0,1,0
85,"atomic, molecular, and optical physics",0.010316749571706755,0.06417102095954012,5,1,0,0,0,0,LDA,0,1,0
86,natural philosophy,0.010177142136789007,0.06254849198458336,5,1,0,0,0,0,LDA,0,1,0
87,manufactured goods,0.011126509905267193,0.032693551743481174,6,1,0,0,0,0,LDA,0,1,0
88,tool stubs,0.006434936268630699,0.031362114606041734,6,1,0,0,0,0,LDA,0,1,0
89,industrial history,0.006301495944631968,0.030464221754335014,6,1,0,0,0,0,LDA,0,1,0
90,top-level stub categories,0.006646609903670269,0.029073530449293103,6,1,0,0,0,0,LDA,0,1,0
