,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,sulfur,0.005526349685677844,0.012245395809025523,0,0,0,1,0,0,LDA,0,1,0
1,military,0.005341932314314063,0.011832758358255974,0,0,0,1,0,0,LDA,0,1,0
2,arrival,0.005253269324953101,0.011954663062699844,0,0,0,1,0,0,LDA,0,1,0
3,generate,0.00502718628422533,0.0118335213987951,0,0,0,1,0,0,LDA,0,1,0
4,apgood,0.004929322613663662,0.011732909566715974,0,0,0,1,0,0,LDA,0,1,0
5,crewed,0.0048811116503089365,0.011296887363683216,0,0,0,1,0,0,LDA,0,1,0
6,messe convention,0.004834685298584822,0.01214276054015174,0,0,0,1,0,0,LDA,0,1,0
7,abacuses,0.004787255823042768,0.011980062604076778,0,0,0,1,0,0,LDA,0,1,0
8,useful,0.004609266498274504,0.01017947138221375,0,0,0,1,0,0,LDA,0,1,0
9,com,0.004595192936334387,0.011282264469033297,0,0,0,1,0,0,LDA,0,1,0
10,bao,0.007245755473143729,0.021336854569485808,1,0,0,1,0,0,LDA,0,1,0
11,feinstein,0.0062885653134390875,0.019135737320477887,1,0,0,1,0,0,LDA,0,1,0
12,crimes,0.006215624198025269,0.02167618862358776,1,0,0,1,0,0,LDA,0,1,0
13,sources,0.0060486445079897515,0.021859496772624443,1,0,0,1,0,0,LDA,0,1,0
14,communication,0.005668611421399532,0.016141842592033436,1,0,0,1,0,0,LDA,0,1,0
15,private,0.005499514942107509,0.01735848472182154,1,0,0,1,0,0,LDA,0,1,0
16,instrument,0.005281165605137425,0.016869922279105547,1,0,0,1,0,0,LDA,0,1,0
17,greatly,0.00522444527721182,0.01743583982307743,1,0,0,1,0,0,LDA,0,1,0
18,recreation,0.005105014634690891,0.013952319523696898,1,0,0,1,0,0,LDA,0,1,0
19,cannons,0.004959861697988932,0.0186455886822647,1,0,0,1,0,0,LDA,0,1,0
20,nitroglycerine,0.005517255194572922,0.03163967534075656,2,0,0,1,0,0,LDA,0,1,0
21,dowding,0.005389368165602023,0.02856327269855135,2,0,0,1,0,0,LDA,0,1,0
22,ministry,0.005181145658310454,0.032029556465861184,2,0,0,1,0,0,LDA,0,1,0
23,unit,0.0051629511246273265,0.026028487611087465,2,0,0,1,0,0,LDA,0,1,0
24,club,0.005078463476132074,0.029584681440177823,2,0,0,1,0,0,LDA,0,1,0
25,sfo,0.005041445394030822,0.02314699994351001,2,0,0,1,0,0,LDA,0,1,0
26,weather,0.0049029661141814064,0.016182797106908054,2,0,0,1,0,0,LDA,0,1,0
27,lining,0.004889249058616829,0.012642509452569383,2,0,0,1,0,0,LDA,0,1,0
28,chinatown,0.004882687635390231,0.02009477299017462,2,0,0,1,0,0,LDA,0,1,0
29,boistissandeau,0.004842752591373578,0.030701312345859603,2,0,0,1,0,0,LDA,0,1,0
