,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,android,0.03105769457717596,0.08169668971516851,0,0,0,0,0,1,LDA,0,1,0
1,smartphone,0.02603403145082994,0.06855512095641277,0,0,0,0,0,1,LDA,0,1,0
2,united states,0.01701037105600929,0.044686536892488714,0,0,0,0,0,1,LDA,0,1,0
3,wi-fi,0.015131749544238076,0.03888458051620373,0,0,0,0,0,1,LDA,0,1,0
4,apple inc.,0.014616885201500096,0.03737443317653213,0,0,0,0,0,1,LDA,0,1,0
5,google,0.013621126301126883,0.03458364002525771,0,0,0,0,0,1,LDA,0,1,0
6,microsoft,0.012327793572306973,0.031037136153260075,0,0,0,0,0,1,LDA,0,1,0
7,intel,0.010579139705681714,0.02650640132264728,0,0,0,0,0,1,LDA,0,1,0
8,samsung electronics,0.009832257915429606,0.024260596974240153,0,0,0,0,0,1,LDA,0,1,0
9,internet,0.009551336260703047,0.023567437060690435,0,0,0,0,0,1,LDA,0,1,0
10,plastic,0.01814051529106361,0.07898717524268023,1,0,0,0,0,1,LDA,0,1,0
11,paper,0.015589017298497763,0.06787357056453903,1,0,0,0,0,1,LDA,0,1,0
12,metal,0.014806557754775794,0.06444126836430628,1,0,0,0,0,1,LDA,0,1,0
13,polymer,0.014159357034121233,0.06134282100004746,1,0,0,0,0,1,LDA,0,1,0
14,glass,0.013243408139197143,0.057061583044073286,1,0,0,0,0,1,LDA,0,1,0
15,composite material,0.01214403279170393,0.05208129646743508,1,0,0,0,0,1,LDA,0,1,0
16,adhesive,0.01162276078094843,0.04965579019120694,1,0,0,0,0,1,LDA,0,1,0
17,corrosion,0.011396339290240098,0.04895723276764951,1,0,0,0,0,1,LDA,0,1,0
18,thermoplastic,0.011175463053843827,0.047411361158935676,1,0,0,0,0,1,LDA,0,1,0
19,heat,0.010659352057345388,0.04586233185619332,1,0,0,0,0,1,LDA,0,1,0
20,alternating current,0.023743293692844083,0.17686031608639563,2,0,0,0,0,1,LDA,0,1,0
21,voltage,0.022354376434172627,0.1657910344452881,2,0,0,0,0,1,LDA,0,1,0
22,magnetic field,0.01699396477154137,0.1229692335630625,2,0,0,0,0,1,LDA,0,1,0
23,electronics,0.016083428466254285,0.11698840554434145,2,0,0,0,0,1,LDA,0,1,0
24,transistor,0.015163941452550785,0.11403734666574547,2,0,0,0,0,1,LDA,0,1,0
25,frequency,0.014092027438912363,0.10614797048132281,2,0,0,0,0,1,LDA,0,1,0
26,electric current,0.013817502485679959,0.103543112310002,2,0,0,0,0,1,LDA,0,1,0
27,cathode ray tube,0.013623893804341076,0.10337015610903875,2,0,0,0,0,1,LDA,0,1,0
28,direct current,0.012385358003946433,0.09397286919003522,2,0,0,0,0,1,LDA,0,1,0
29,light,0.012160330913222174,0.08977408141771451,2,0,0,0,0,1,LDA,0,1,0
30,engineering,0.033484786495200446,0.21507840525192956,3,0,0,0,0,1,LDA,0,1,0
31,technology,0.02248365896778502,0.1391270393641552,3,0,0,0,0,1,LDA,0,1,0
32,system,0.013831870098879186,0.10541772557599152,3,0,0,0,0,1,LDA,0,1,0
33,design,0.013606042491846665,0.10356422710432574,3,0,0,0,0,1,LDA,0,1,0
34,information technology,0.011701113410403113,0.08429646392212559,3,0,0,0,0,1,LDA,0,1,0
35,software,0.011649718063151154,0.08369755476459717,3,0,0,0,0,1,LDA,0,1,0
36,electrical engineering,0.011647618266738095,0.08780445341453705,3,0,0,0,0,1,LDA,0,1,0
37,computer science,0.011647618266738095,0.08780445341453705,3,0,0,0,0,1,LDA,0,1,0
38,artificial intelligence,0.01150158057848686,0.08637383095564437,3,0,0,0,0,1,LDA,0,1,0
39,industrial engineering,0.011482149482606386,0.08746491569831685,3,0,0,0,0,1,LDA,0,1,0
40,internal combustion engine,0.05394940079040685,0.331772819711751,4,0,0,0,0,1,LDA,0,1,0
41,automobile,0.029369485516240825,0.19538827985995522,4,0,0,0,0,1,LDA,0,1,0
42,cylinder,0.025799250536218808,0.17552611429499523,4,0,0,0,0,1,LDA,0,1,0
43,valve,0.025799250536218808,0.17552611429499523,4,0,0,0,0,1,LDA,0,1,0
44,crankshaft,0.024700316715980296,0.16991975780855811,4,0,0,0,0,1,LDA,0,1,0
45,volkswagen group,0.02455056357477143,0.1686610929359021,4,0,0,0,0,1,LDA,0,1,0
46,diesel engine,0.021348316151975157,0.1466618199442627,4,0,0,0,0,1,LDA,0,1,0
47,steam engine,0.020932737713342326,0.1404683309263462,4,0,0,0,0,1,LDA,0,1,0
48,piston,0.01886594926254775,0.13046080495041973,4,0,0,0,0,1,LDA,0,1,0
49,clutch,0.0170171848776061,0.11785324816949681,4,0,0,0,0,1,LDA,0,1,0
50,world war ii,0.025271827545709075,0.16589816836255206,5,0,0,0,0,1,LDA,0,1,0
51,aircraft,0.019893001117267026,0.13540578666578165,5,0,0,0,0,1,LDA,0,1,0
52,radar,0.019893001117267026,0.13540578666578165,5,0,0,0,0,1,LDA,0,1,0
53,submarine,0.015140646205547944,0.10633867779486053,5,0,0,0,0,1,LDA,0,1,0
54,laser,0.013582188586041875,0.09442642153915211,5,0,0,0,0,1,LDA,0,1,0
55,missile,0.011807466647777381,0.08359958946136833,5,0,0,0,0,1,LDA,0,1,0
