technology_group_id,country,project,technology_article_0,technology_article_1,technology_article_2,technology_article_3,technology_article_4,technology_article_5,technology_article_6,technology_article_7,technology_article_8,technology_article_9,technology_article_10,technology_article_11,technology_article_12,technology_article_13,technology_article_14,technology_article_15,technology_article_16,technology_article_17,technology_article_18,technology_article_19,technology_article_20,technology_article_21,technology_article_22,technology_article_23,technology_article_24,technology_article_25,technology_article_26,technology_article_27,technology_article_28,technology_article_29,technology_article_30,technology_label_0,technology_label_1,technology_label_2,technology_label_3,technology_label_4,technology_label_5,technology_label_6,technology_label_7,technology_label_8,technology_label_9,technology_label_10,technology_label_11,technology_label_12,technology_label_13,technology_label_14,technology_label_15,technology_label_16,technology_label_17,technology_label_18,technology_label_19,technology_label_20,technology_label_21,technology_label_22,technology_label_23,technology_label_24
LDA_c2_g14,2,technology,Coilgun,Vernier scale,Sailor Moon,Surge protector,Dynamo,Power inverter,Street light,Sensor,Vernier scale,Wavelength-division multiplexing,Solar cell efficiency,Tesla coil,Quick Charge,Three-phase electric power,Television set,Control system,Thermocouple,Arc lamp,Electric motor,Electrical engineering,Button cell,Strain gauge,Counter (digital),Sodium-vapor lamp,Photovoltaic system,Edison screw,Electronics,Seismometer,Strain gauge,Electric generator,Compact fluorescent lamp,circuit,,alternating current,electrical components,signal,,magnetic field,frequency,electromagnetism,design,electronics,transistor,devices,electricity,,light,electrical engineering,power,voltage,electronics,system,,,device,signals
kmeans_plain_c4_g8,4,technology,Compass (drawing tool),Lighter,Theodolite,Spinning jenny,Open defecation,Assembly line,Watt steam engine,Creosote,Conveyor belt,Mass production,Binoculars,Gas lighting,Do it yourself,Overhead line,Flashlight,Shelf life,Bronze Age,Glass,Fountain pen,Corrugated fiberboard,Oil lamp,AC power plugs and sockets,Sailor Moon,Stopwatch,Victoria and Albert Museum,Love lock,Thomas Edison,Seismometer,Siphon,Drill,Metallurgy,invented,focus,tools,,manufactured goods,inventor,,machine,communication,century,produced,paper,printing,idea,establish,term,england,equipment,hardlines (retail),inventions by country,references,,history,industrial revolution,wood
LDA_c1_g13,1,technology,Pressure vessel,Paperboard,Electrostatic precipitator,Laser cutting,Limbo,Chemical industry,Laser printing,Thin-layer chromatography,Absorption refrigerator,Offset printing,Food irradiation,Vickers hardness test,Compressive strength,Geotechnical engineering,Ultimate tensile strength,Inkjet printing,Thermosetting polymer,Insecticide,Crystallography,Glass,Alkaline battery,Heat sink,Carbon sequestration,Shell and tube heat exchanger,Oxy-fuel welding and cutting,Gorilla Glass,Whale oil,Electrode,Electrical discharge machining,Vacuum pump,Waste-to-energy,materials,,,process,produce,,,water,manufacturing,paper,materials,,material,temperature,,glass,plastic,polymer,,artificial materials,surface,metal,chemistry,industrial processes,
kmeans_plain_c3_g8,3,technology,Reciprocating engine,VTEC,Hybrid electric vehicle,Shock absorber,Stirling engine,Torque converter,Leaf spring,Fuel cell vehicle,Four-stroke engine,Two-stroke engine,Clutch,Start-stop system,Aircraft engine,History of the internal combustion engine,Volkswagen air-cooled engine,Starter (engine),Traction control system,Gasoline direct injection,Oxygen sensor,Immobiliser,Braces,Flywheel energy storage,Automotive industry in the United Kingdom,Start-stop system,Limited-slip differential,Wheel and axle,Wankel engine,History of the internal combustion engine,Audi S and RS models,Hydrogen vehicle,MAN SE,automotive industry,vehicle,car,volkswagen group,crankshaft,cars,motors,engines,function,engines,value,automotive technologies,engine,element,case,automobile,,vehicle parts,vehicles,speed,vehicle technology,cylinder ,approach,internal combustion engine,cylinder
kmeans_augmented_c6_g8,6,technology,Home appliance,Bed,Braces,Lever,Mass production,Love lock,Paper size,Creosote,Refrigerator,Nut (hardware),Tire,Food preservation,Packaging and labeling,Abacus,Cinematography,Combine harvester,Wire,Technical drawing,Architectural drawing,Loader (equipment),Neolithic Revolution,Ruler,Binoculars,Camera obscura,Trebuchet,Metal detector,Barbed wire,Glass,Kiln,Camping,Muslim world,equipment,paper,machine,term,tools,idea,printing,,invented,inventions by country,england,industrial revolution,,manufactured goods,,wood,cast iron,history,references,communication,century,establish,produced,hardlines (retail),focus
kmeans_plain_c3_g3,3,technology,Hybrid electric vehicle,Gear train,Automobile air conditioning,Steering,Heat engine,Ford Model T,VTEC,Dynamo,Starter (engine),Battery electric vehicle,Four-stroke engine,The Lion King,Tachometer,Anti-lock braking system,Turbocharger,Exhaust gas recirculation,Forklift,Dual-clutch transmission,Shock absorber,Motor vehicle,Carnot heat engine,Immobiliser,Carburetor,Airbag,Wheel and axle,Leaf spring,Power steering,Start-stop system,Governor (device),Automotive industry,Steam engine,vehicle,engines,element,vehicles,volkswagen group,case,speed,cars,crankshaft,automotive technologies,cylinder ,automotive industry,engine,vehicle technology,engines,car,automobile,internal combustion engine,,cylinder,vehicle parts,motors,function,approach,value
kmeans_augmented_c3_g7,3,technology,Document management system,Product lifecycle,E-procurement,Quantum computing,Graphics,Information,Computer engineering,Biomedical engineering,Risk management,Automation,Information and communications technology,Robot,Artificial intelligence,Hyperloop,Surveillance,Aerospace,Digital Revolution,Materials science,Microchip implant (human),Petroleum engineering,Smart grid,Quality management,Control engineering,Clarke's three laws,Mass communication,Information technology in India,Six Sigma,"Science, technology, engineering, and mathematics",Information Age,Old Town Road,Aerospace engineering,like,academic disciplines,number,information,engineering,research,app,human,technological change,science,,information technology,innovation,main topic classifications,technological,society,management,technology,institute,computer,introduce,university,sell,technology,
kmeans_augmented_c4_g18,4,technology,Google,Mobile payment,Qualcomm,Smart TV,Necklace,Microsoft,Internet Archive,Memory card,San Francisco,Broadridge Financial Solutions,Acer Inc.,Sony,Smart card,Redmi,Pono (digital music service),Oracle Corporation,Hyperledger,3D computer graphics,Digital camera,OnePlus One,Display resolution,Oracle Corporation,Electronic Data Systems,Digital camera,SCART,Google Play,Samsung Galaxy Note series,Hard disk drive,AngelList,Steam (software),Pono (digital music service),android,steam,cut,software,unit,building,product introductions by year,technology by year,google,smartphone,features,announced,computer-related introductions by year,support,phone,wi-fi,computers,android ,users,,released,motor,mobile phones,apple inc.,company
kmeans_augmented_c6_g24,6,technology,Incandescent light bulb,Textile industry,AC power plugs and sockets,Castile soap,History of books,Scalpel,Overhead line,Bronze Age,Glass,Necessity is the mother of invention,Corrugated fiberboard,Victoria and Albert Museum,Backhoe,Paper,Inclined plane,Lever,Simple machine,Necklace,Offset printing,Monkey wrench,Whale oil,Home appliance,Vise,Packaging and labeling,Canal,Gas mask,Iron Age,Mimeograph,Oil lamp,Wallpaper,FieldTurf,wood,paper,equipment,,machine,century,references,invented,cast iron,tools,manufactured goods,history,establish,idea,,focus,hardlines (retail),produced,england,inventions by country,industrial revolution,communication,term,,printing
LDA_c0_g38,0,technology,Bleacher Report,Anker (electronics),Mobile phone tracking,Programmer,Smart card,Blockchain,Computer data storage,Science and technology in India,IPhone SE,Hitachi Magic Wand,IBM System i,I Am Rich,Multi-core processor,HBO Go,Barcode,Hyper-threading,Hewlett-Packard,Sony Crackle,Slow movement (culture),Sailor Moon,Kara Swisher,Transport Layer Security,IPod,Oracle Corporation,Bomis,Single-page application,Google Nexus,Desktop computer,Vending machine,Microchip implant (human),Google Stadia,computers,,computer-related introductions by year,,wi-fi,services,mobile phones,business,apple inc.,company,,service,technology by year,united states,smartphone,,,system,android ,companies by industry and year of establishment,university,,technology,new,research
kmeans_augmented_c3_g12,3,technology,Mass communication,Engineering design process,Safety,Hype cycle,Productivity,Information and communication technologies for development,Machine,Manufacturing,Electrical grid,Agricultural engineering,Fourth-generation programming language,Service-level agreement,Online advertising,Cyber-physical system,History of technology,Laboratory information management system,OCLC,Risk management,Emerging technologies,Kardashev scale,Research and development,Health,Reverse engineering,Risk assessment,Just-in-time manufacturing,Requirement,Recommender system,The Lion King,IT service management,Biotechnology,Analytics,information technology,research,computer,main topic classifications,management,human,information,academic disciplines,engineering,science,technology,innovation,like,institute,app,university,technology,,technological change,society,sell,number,,introduce,technological
