,article_name,country,treatment
0,Centrifugal compressor,0,kmeans_augmented
1,Charging station,0,kmeans_augmented
2,Diesel engine,0,kmeans_augmented
3,Differential (mechanical device),0,kmeans_augmented
4,Direct-shift gearbox,0,kmeans_augmented
5,Electric motor,0,kmeans_augmented
6,Hybrid electric vehicle,0,kmeans_augmented
7,Hydrogen vehicle,0,kmeans_augmented
8,Radial engine,0,kmeans_augmented
9,Scania AB,0,kmeans_augmented
10,Stirling engine,0,kmeans_augmented
11,Turbocharger,0,kmeans_augmented
12,Airbag,0,kmeans_augmented
13,Aircraft engine,0,kmeans_augmented
14,Air–fuel ratio,0,kmeans_augmented
15,Anti-lock braking system,0,kmeans_augmented
16,Audi S and RS models,0,kmeans_augmented
17,Automatic transmission,0,kmeans_augmented
18,Automobile air conditioning,0,kmeans_augmented
19,Automotive battery,0,kmeans_augmented
20,Battery electric vehicle,0,kmeans_augmented
21,Bearing (mechanical),0,kmeans_augmented
22,Bogie,0,kmeans_augmented
23,Camshaft,0,kmeans_augmented
24,Carburetor,0,kmeans_augmented
25,Carnot heat engine,0,kmeans_augmented
26,Clutch,0,kmeans_augmented
27,Crankshaft,0,kmeans_augmented
28,Dual-clutch transmission,0,kmeans_augmented
29,Electric generator,0,kmeans_augmented
30,Engine,0,kmeans_augmented
31,Exhaust gas recirculation,0,kmeans_augmented
32,Flat engine,0,kmeans_augmented
33,Flywheel energy storage,0,kmeans_augmented
34,Ford Model T,0,kmeans_augmented
35,Forklift,0,kmeans_augmented
36,Formula One car,0,kmeans_augmented
37,Four-stroke engine,0,kmeans_augmented
38,Gas turbine,0,kmeans_augmented
39,Gasoline direct injection,0,kmeans_augmented
40,Governor (device),0,kmeans_augmented
41,Heat engine,0,kmeans_augmented
42,History of the internal combustion engine,0,kmeans_augmented
43,Internal combustion engine,0,kmeans_augmented
44,Limited-slip differential,0,kmeans_augmented
45,MAN SE,0,kmeans_augmented
46,Manual transmission,0,kmeans_augmented
47,Mass flow sensor,0,kmeans_augmented
48,Motor vehicle,0,kmeans_augmented
49,On-board diagnostics,0,kmeans_augmented
50,Oxygen sensor,0,kmeans_augmented
51,Piston,0,kmeans_augmented
52,Power steering,0,kmeans_augmented
53,Radiator (engine cooling),0,kmeans_augmented
54,Shock absorber,0,kmeans_augmented
55,Spark plug,0,kmeans_augmented
56,Start-stop system,0,kmeans_augmented
57,Starter (engine),0,kmeans_augmented
