,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,engine,0.014972768663711325,0.06478806454955997,0,0,1,0,0,0,kmeans_augmented,1,0,0
1,car,0.009223457718087451,0.05213247520788644,0,0,1,0,0,0,kmeans_augmented,1,0,0
2,vehicle,0.009110073462261142,0.045859021593815046,0,0,1,0,0,0,kmeans_augmented,1,0,0
3,cylinder,0.006808835930693877,0.03869737105491426,0,0,1,0,0,0,kmeans_augmented,1,0,0
4,crankshaft,0.006254432604290862,0.04567558550743978,0,0,1,0,0,0,kmeans_augmented,1,0,0
5,fuel,0.005608571799535071,0.030544373024522484,0,0,1,0,0,0,kmeans_augmented,1,0,0
6,piston,0.0054955753938183685,0.03578571514115653,0,0,1,0,0,0,kmeans_augmented,1,0,0
7,torque,0.00542844136683032,0.03675047109794005,0,0,1,0,0,0,kmeans_augmented,1,0,0
8,diesel,0.005355976305879881,0.03865772210916127,0,0,1,0,0,0,kmeans_augmented,1,0,0
9,wheels,0.0052457765122811695,0.03415909172564941,0,0,1,0,0,0,kmeans_augmented,1,0,0
10,material,0.006222059942060612,0.021868355054566666,1,0,1,0,0,0,kmeans_augmented,1,0,0
11,water,0.00597889088717449,0.019396386682563892,1,0,1,0,0,0,kmeans_augmented,1,0,0
12,pressure,0.004674524334933919,0.016841015214725155,1,0,1,0,0,0,kmeans_augmented,1,0,0
13,flow,0.00458287112296172,0.017975932288019032,1,0,1,0,0,0,kmeans_augmented,1,0,0
14,process,0.004367620865852312,0.015208388986373441,1,0,1,0,0,0,kmeans_augmented,1,0,0
15,heat,0.00408009502322822,0.015528959726008557,1,0,1,0,0,0,kmeans_augmented,1,0,0
16,gas,0.0038350256637210596,0.014350902611231967,1,0,1,0,0,0,kmeans_augmented,1,0,0
17,temperature,0.003813883465998176,0.014340350476959002,1,0,1,0,0,0,kmeans_augmented,1,0,0
18,surface,0.0037692575557303127,0.013701472628431013,1,0,1,0,0,0,kmeans_augmented,1,0,0
19,fluid,0.0035872370727827434,0.014534664169058714,1,0,1,0,0,0,kmeans_augmented,1,0,0
20,aircraft,0.00954749994944795,0.046110446326992204,2,0,1,0,0,0,kmeans_augmented,1,0,0
21,flight,0.006450586732417807,0.03911597891146714,2,0,1,0,0,0,kmeans_augmented,1,0,0
22,weapon,0.005687188153953226,0.036601064561114054,2,0,1,0,0,0,kmeans_augmented,1,0,0
23,ship,0.005233335341750674,0.03303863755516575,2,0,1,0,0,0,kmeans_augmented,1,0,0
24,navy,0.005073957452237408,0.03453990287722134,2,0,1,0,0,0,kmeans_augmented,1,0,0
25,air,0.0047316890817834766,0.020277915447969162,2,0,1,0,0,0,kmeans_augmented,1,0,0
26,military,0.004502143760576486,0.02673779066964501,2,0,1,0,0,0,kmeans_augmented,1,0,0
27,war,0.004488795065894113,0.029363274876615077,2,0,1,0,0,0,kmeans_augmented,1,0,0
28,british,0.004229279971492537,0.026120704644841633,2,0,1,0,0,0,kmeans_augmented,1,0,0
29,pilot,0.0041783423171901255,0.026890578044900124,2,0,1,0,0,0,kmeans_augmented,1,0,0
30,technology,0.005323846618555658,0.019409142868846693,3,0,1,0,0,0,kmeans_augmented,1,0,0
31,research,0.0048160926893044105,0.019332766507336226,3,0,1,0,0,0,kmeans_augmented,1,0,0
32,information,0.004689738893796865,0.018073139932184908,3,0,1,0,0,0,kmeans_augmented,1,0,0
33,human,0.004546895651164818,0.01923971774495946,3,0,1,0,0,0,kmeans_augmented,1,0,0
34,management,0.004438673331879376,0.01823838587647309,3,0,1,0,0,0,kmeans_augmented,1,0,0
35,science,0.0043940781117138535,0.018645252523053706,3,0,1,0,0,0,kmeans_augmented,1,0,0
36,data,0.003760627698763023,0.013408855469422673,3,0,1,0,0,0,kmeans_augmented,1,0,0
37,social,0.0037333446948639567,0.016329146881330997,3,0,1,0,0,0,kmeans_augmented,1,0,0
38,organization,0.003628480609201674,0.01578512997729512,3,0,1,0,0,0,kmeans_augmented,1,0,0
39,analysis,0.0035992972664128445,0.014913452488116985,3,0,1,0,0,0,kmeans_augmented,1,0,0
40,company,0.005419825521900812,0.018590766513446794,4,0,1,0,0,0,kmeans_augmented,1,0,0
41,software,0.005144639470224502,0.01796927366393546,4,0,1,0,0,0,kmeans_augmented,1,0,0
42,phone,0.0048539667090400085,0.019359359391837097,4,0,1,0,0,0,kmeans_augmented,1,0,0
43,android,0.004505349914813086,0.018378036772141643,4,0,1,0,0,0,kmeans_augmented,1,0,0
