,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,par,0.008474079091968907,0.04283258154562401,0,0,1,0,0,kmeans_augmented,1,0,0
1,radiate,0.008141444841374353,0.040261198106531525,0,0,1,0,0,kmeans_augmented,1,0,0
2,iii,0.0081064804012632,0.03363698318009077,0,0,1,0,0,kmeans_augmented,1,0,0
3,heavenly,0.007966475914157745,0.03640460393993152,0,0,1,0,0,kmeans_augmented,1,0,0
4,barrier,0.006575819020992398,0.034826743459374594,0,0,1,0,0,kmeans_augmented,1,0,0
5,competition,0.006419842099907507,0.030774669934040783,0,0,1,0,0,kmeans_augmented,1,0,0
6,aroused,0.006334215459851769,0.02510495782108554,0,0,1,0,0,kmeans_augmented,1,0,0
7,people,0.006308326535398689,0.027376175972585383,0,0,1,0,0,kmeans_augmented,1,0,0
8,legale,0.005937602134924688,0.03106944646597604,0,0,1,0,0,kmeans_augmented,1,0,0
9,prove,0.005722844992590398,0.017506967853965372,0,0,1,0,0,kmeans_augmented,1,0,0
10,bao,0.006456120155380362,0.018466709344045013,0,0,1,0,0,kmeans_augmented,1,0,0
11,feinstein,0.006042206393722318,0.017886984617463197,0,0,1,0,0,kmeans_augmented,1,0,0
12,crimes,0.005568907540706701,0.018610478630009447,0,0,1,0,0,kmeans_augmented,1,0,0
13,sources,0.005112594763138061,0.017851444587546075,0,0,1,0,0,kmeans_augmented,1,0,0
14,private,0.004722261404931518,0.014425703210895414,0,0,1,0,0,kmeans_augmented,1,0,0
15,reporter,0.004634621377859049,0.015692694106859098,0,0,1,0,0,kmeans_augmented,1,0,0
16,recreation,0.004587132650320909,0.012182716863753832,0,0,1,0,0,kmeans_augmented,1,0,0
17,instrument,0.00449627923767612,0.01395278050606944,0,0,1,0,0,kmeans_augmented,1,0,0
18,communication,0.004373980778921083,0.012064584395185693,0,0,1,0,0,kmeans_augmented,1,0,0
19,applications,0.004356820087605143,0.011914460524533564,0,0,1,0,0,kmeans_augmented,1,0,0
20,include,0.006192876352623036,0.0290450797412729,0,0,1,0,0,kmeans_augmented,1,0,0
21,accredited,0.00527713547916104,0.032936637915347386,0,0,1,0,0,kmeans_augmented,1,0,0
22,couple,0.004638094658574518,0.018281443325000632,0,0,1,0,0,kmeans_augmented,1,0,0
23,hosted,0.00451182526858397,0.02203102296673285,0,0,1,0,0,kmeans_augmented,1,0,0
24,arm,0.004444829700861283,0.016793546082511053,0,0,1,0,0,kmeans_augmented,1,0,0
25,neighbors,0.004406188645251114,0.012531510740280489,0,0,1,0,0,kmeans_augmented,1,0,0
