,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,approach,0.01660873832736116,0.048263680654888494,0,0,0,0,1,0,kmeans_augmented,1,0,0
1,element,0.016539714022266127,0.047958985701259144,0,0,0,0,1,0,kmeans_augmented,1,0,0
2,value,0.016476874630705664,0.04751445425233204,0,0,0,0,1,0,kmeans_augmented,1,0,0
3,case,0.01636858155980749,0.047046907347020044,0,0,0,0,1,0,kmeans_augmented,1,0,0
4,function,0.016248129559756706,0.0465317952227826,0,0,0,0,1,0,kmeans_augmented,1,0,0
5,testing,0.01622788084771866,0.046291772440934305,0,0,0,0,1,0,kmeans_augmented,1,0,0
6,effect,0.016224763303573468,0.04635500624636753,0,0,0,0,1,0,kmeans_augmented,1,0,0
7,level,0.016076965424331187,0.04551687050303684,0,0,0,0,1,0,kmeans_augmented,1,0,0
8,field,0.016073756357899004,0.04557495774731411,0,0,0,0,1,0,kmeans_augmented,1,0,0
9,determine,0.01607045592063774,0.04563359558158452,0,0,0,0,1,0,kmeans_augmented,1,0,0
10,electricity,0.009644788508643382,0.023700430662425304,1,0,0,0,1,0,kmeans_augmented,1,0,0
11,tube,0.009621972205542952,0.02362897895387643,1,0,0,0,1,0,kmeans_augmented,1,0,0
12,output,0.009577202797713954,0.02349570795432118,1,0,0,0,1,0,kmeans_augmented,1,0,0
13,fire,0.009548336360301897,0.02341495976027544,1,0,0,0,1,0,kmeans_augmented,1,0,0
14,battery,0.00939214713193733,0.022975509571023876,1,0,0,0,1,0,kmeans_augmented,1,0,0
15,source,0.0093887248258455,0.02297342047100466,1,0,0,0,1,0,kmeans_augmented,1,0,0
16,weapon,0.009373605401630663,0.022920871316292203,1,0,0,0,1,0,kmeans_augmented,1,0,0
17,fuel,0.009355793187191382,0.022879120426262743,1,0,0,0,1,0,kmeans_augmented,1,0,0
18,color,0.009119895584773234,0.022286383528989994,1,0,0,0,1,0,kmeans_augmented,1,0,0
19,plant,0.00899597918283295,0.021986585524317016,1,0,0,0,1,0,kmeans_augmented,1,0,0
20,part,0.014200379128606425,0.042390316639948675,2,0,0,0,1,0,kmeans_augmented,1,0,0
21,particle,0.013922685087839034,0.04066579252985927,2,0,0,0,1,0,kmeans_augmented,1,0,0
22,dry,0.013916387974903724,0.04080123000370553,2,0,0,0,1,0,kmeans_augmented,1,0,0
23,fiber,0.013863470021948399,0.04039895662087069,2,0,0,0,1,0,kmeans_augmented,1,0,0
24,remove,0.01385488384388552,0.04028154730282592,2,0,0,0,1,0,kmeans_augmented,1,0,0
25,liquid,0.01385488384388552,0.04028154730282592,2,0,0,0,1,0,kmeans_augmented,1,0,0
26,cell,0.013794292667986957,0.039785697184407026,2,0,0,0,1,0,kmeans_augmented,1,0,0
27,coating,0.0137911477356208,0.03984613374340013,2,0,0,0,1,0,kmeans_augmented,1,0,0
28,property,0.013693983555468206,0.03927783725053074,2,0,0,0,1,0,kmeans_augmented,1,0,0
29,wire,0.013606547867046246,0.03883414316307104,2,0,0,0,1,0,kmeans_augmented,1,0,0
30,introduce,0.010339720572577284,0.026179045830212654,3,0,0,0,1,0,kmeans_augmented,1,0,0
31,sell,0.010182030091679443,0.02568614781505214,3,0,0,0,1,0,kmeans_augmented,1,0,0
32,like,0.010121529277643678,0.025472456208178753,3,0,0,0,1,0,kmeans_augmented,1,0,0
33,app,0.010076163389372622,0.025320931797105747,3,0,0,0,1,0,kmeans_augmented,1,0,0
34,number,0.010047111188342483,0.025208091038869902,3,0,0,0,1,0,kmeans_augmented,1,0,0
35,platform,0.009994736192633944,0.025038653652186278,3,0,0,0,1,0,kmeans_augmented,1,0,0
36,apple,0.009988599127947419,0.024997610633034063,3,0,0,0,1,0,kmeans_augmented,1,0,0
37,format,0.009972102024175969,0.024970874756669422,3,0,0,0,1,0,kmeans_augmented,1,0,0
38,access,0.009966694324230507,0.02492144213310866,3,0,0,0,1,0,kmeans_augmented,1,0,0
39,hardware,0.00993672289223344,0.024832615429136787,3,0,0,0,1,0,kmeans_augmented,1,0,0
40,steam,0.010143593088855634,0.02503941383033343,4,0,0,0,1,0,kmeans_augmented,1,0,0
41,building,0.01005043718674572,0.024854830195098897,4,0,0,0,1,0,kmeans_augmented,1,0,0
42,unit,0.009992879540037847,0.024737486647408845,4,0,0,0,1,0,kmeans_augmented,1,0,0
43,motor,0.00990710273128394,0.02456353420687623,4,0,0,0,1,0,kmeans_augmented,1,0,0
44,cut,0.009836128472544302,0.024420431764657316,4,0,0,0,1,0,kmeans_augmented,1,0,0
45,end,0.009586030253203285,0.02393751946330669,4,0,0,0,1,0,kmeans_augmented,1,0,0
46,tool,0.009503316089921682,0.023775093546676954,4,0,0,0,1,0,kmeans_augmented,1,0,0
47,common,0.009482733878099087,0.023734830898841767,4,0,0,0,1,0,kmeans_augmented,1,0,0
48,load,0.009118659490914451,0.02303273236773388,4,0,0,0,1,0,kmeans_augmented,1,0,0
49,typically,0.009013048419932964,0.022832610880965627,4,0,0,0,1,0,kmeans_augmented,1,0,0
50,bridge,0.008786779694114214,0.02217799253196539,5,0,0,0,1,0,kmeans_augmented,1,0,0
51,mill,0.00878150978348983,0.02217382940849323,5,0,0,0,1,0,kmeans_augmented,1,0,0
52,later,0.008776186662575807,0.02216964407182335,5,0,0,0,1,0,kmeans_augmented,1,0,0
53,space,0.008771289299266523,0.022256684846303602,5,0,0,0,1,0,kmeans_augmented,1,0,0
54,operation,0.008770928178426918,0.022108440469976665,5,0,0,0,1,0,kmeans_augmented,1,0,0
55,transmission,0.008767090038929773,0.022119294713177653,5,0,0,0,1,0,kmeans_augmented,1,0,0
56,military,0.008765380184525745,0.022161206043937273,5,0,0,0,1,0,kmeans_augmented,1,0,0
57,boat,0.008760349443458356,0.02226487585647489,5,0,0,0,1,0,kmeans_augmented,1,0,0
58,fly,0.008737422124657297,0.022139709527494385,5,0,0,0,1,0,kmeans_augmented,1,0,0
59,range,0.008685067592210811,0.02224802237001096,5,0,0,0,1,0,kmeans_augmented,1,0,0
