,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,internal combustion engine,0.07397851521561265,0.4849485528312278,0,0,0,0,1,kmeans_augmented,1,0,0
1,automobile,0.034239027778192134,0.256156944607389,0,0,0,0,1,kmeans_augmented,1,0,0
2,cylinder,0.03171403945377854,0.2461629962981356,0,0,0,0,1,kmeans_augmented,1,0,0
3,volkswagen group,0.03162783208223385,0.2524085534859836,0,0,0,0,1,kmeans_augmented,1,0,0
4,crankshaft,0.030591219691054633,0.24599444922775002,0,0,0,0,1,kmeans_augmented,1,0,0
5,steam engine,0.026857920201740763,0.2042582219805443,0,0,0,0,1,kmeans_augmented,1,0,0
6,diesel engine,0.025877317158191335,0.2065160892158048,0,0,0,0,1,kmeans_augmented,1,0,0
7,piston,0.020829380950727273,0.1693295124765542,0,0,0,0,1,kmeans_augmented,1,0,0
8,motor vehicle,0.01995365074948546,0.16436132564751732,0,0,0,0,1,kmeans_augmented,1,0,0
9,automatic transmission,0.018737672230068295,0.1552362487052137,0,0,0,0,1,kmeans_augmented,1,0,0
10,plastic,0.018897002274247728,0.08308923642970578,0,0,0,0,1,kmeans_augmented,1,0,0
11,valve,0.01677630791475991,0.07397885257703177,0,0,0,0,1,kmeans_augmented,1,0,0
12,pressure,0.015090466507152716,0.06630094968442163,0,0,0,0,1,kmeans_augmented,1,0,0
13,metal,0.014915306955338907,0.06546169715677073,0,0,0,0,1,kmeans_augmented,1,0,0
14,polymer,0.013080262150668334,0.05762088106278426,0,0,0,0,1,kmeans_augmented,1,0,0
15,corrosion,0.012746699642009716,0.05588768813456291,0,0,0,0,1,kmeans_augmented,1,0,0
16,composite material,0.012746699642009716,0.05588768813456291,0,0,0,0,1,kmeans_augmented,1,0,0
17,thermoplastic,0.012348609949916677,0.053709671406074494,0,0,0,0,1,kmeans_augmented,1,0,0
18,fluid,0.012337522470286327,0.054322206674211004,0,0,0,0,1,kmeans_augmented,1,0,0
19,packaging,0.011376340002487953,0.0495790287463153,0,0,0,0,1,kmeans_augmented,1,0,0
20,world war ii,0.03429270017305742,0.23002379773660947,0,0,0,0,1,kmeans_augmented,1,0,0
21,aircraft,0.027448965707043544,0.1919508932836534,0,0,0,0,1,kmeans_augmented,1,0,0
22,submarine,0.024282698875299064,0.17779328022842683,0,0,0,0,1,kmeans_augmented,1,0,0
23,ship,0.016516273929950566,0.12198115018908247,0,0,0,0,1,kmeans_augmented,1,0,0
24,radar,0.01638186872494254,0.11534799442315073,0,0,0,0,1,kmeans_augmented,1,0,0
25,buoyancy,0.01611776363078436,0.12123214312651792,0,0,0,0,1,kmeans_augmented,1,0,0
26,nasa,0.015357436137237277,0.1140302336338535,0,0,0,0,1,kmeans_augmented,1,0,0
