,article_name,country,treatment
0,Trinity (nuclear test),0,kmeans_plain
1,Fat Man,0,kmeans_plain
2,Little Boy,0,kmeans_plain
3,NASA,0,kmeans_plain
4,Analog computer,0,kmeans_plain
5,Gyroscope,0,kmeans_plain
6,Kevlar,0,kmeans_plain
7,Norden bombsight,0,kmeans_plain
8,Nuclear weapon design,0,kmeans_plain
9,Propeller,0,kmeans_plain
10,Railgun,0,kmeans_plain
11,Turbofan,0,kmeans_plain
12,Aerial refueling,0,kmeans_plain
13,Airship,0,kmeans_plain
14,Altimeter,0,kmeans_plain
15,Ammunition,0,kmeans_plain
16,Amundsen–Scott South Pole Station,0,kmeans_plain
17,Anti-aircraft warfare,0,kmeans_plain
18,Autocannon,0,kmeans_plain
19,Avionics,0,kmeans_plain
20,Bazooka,0,kmeans_plain
21,Breakwater (structure),0,kmeans_plain
22,Close-in weapon system,0,kmeans_plain
23,Coilgun,0,kmeans_plain
24,Concertina wire,0,kmeans_plain
25,Depth charge,0,kmeans_plain
26,Directed-energy weapon,0,kmeans_plain
27,Electric aircraft,0,kmeans_plain
28,Electronic warfare,0,kmeans_plain
29,Flamethrower,0,kmeans_plain
30,Flight instruments,0,kmeans_plain
31,Generation IV reactor,0,kmeans_plain
32,Gimbal,0,kmeans_plain
33,Harrier Jump Jet,0,kmeans_plain
34,Helicopter,0,kmeans_plain
35,Inertial navigation system,0,kmeans_plain
36,Jet engine,0,kmeans_plain
37,Joint Direct Attack Munition,0,kmeans_plain
38,Land mine,0,kmeans_plain
39,Machine pistol,0,kmeans_plain
40,Mary Babnik Brown,0,kmeans_plain
41,Maxim gun,0,kmeans_plain
42,Military,0,kmeans_plain
43,Mushroom cloud,0,kmeans_plain
44,Muzzle brake,0,kmeans_plain
45,Naval mine,0,kmeans_plain
46,Nuclear electromagnetic pulse,0,kmeans_plain
47,Nuclear reactor,0,kmeans_plain
48,Nuclear weapons testing,0,kmeans_plain
49,Operation Paperclip,0,kmeans_plain
50,Pitot tube,0,kmeans_plain
51,Powered exoskeleton,0,kmeans_plain
52,Project Habakkuk,0,kmeans_plain
53,Pykrete,0,kmeans_plain
54,Rebreather,0,kmeans_plain
55,Recoilless rifle,0,kmeans_plain
56,Rifling,0,kmeans_plain
57,Scramjet,0,kmeans_plain
58,Ship breaking,0,kmeans_plain
59,Sonar,0,kmeans_plain
60,Soviet atomic bomb project,0,kmeans_plain
61,Stealth technology,0,kmeans_plain
62,Steam turbine,0,kmeans_plain
63,Technology during World War I,0,kmeans_plain
64,Technology during World War II,0,kmeans_plain
65,Thermobaric weapon,0,kmeans_plain
66,Torpedo,0,kmeans_plain
67,Unmanned aerial vehicle,0,kmeans_plain
68,Bomb,0,kmeans_plain
69,Booby trap,0,kmeans_plain
70,Chaff (countermeasure),0,kmeans_plain
71,Heliograph,0,kmeans_plain
72,Limpet mine,0,kmeans_plain
73,Pump-jet,0,kmeans_plain
74,Metrology,1,kmeans_plain
75,Cavity magnetron,1,kmeans_plain
76,Chromatography,1,kmeans_plain
77,Cleanroom,1,kmeans_plain
78,Magnetic resonance imaging,1,kmeans_plain
79,Printed circuit board,1,kmeans_plain
80,Quantum computing,1,kmeans_plain
81,Scanning electron microscope,1,kmeans_plain
82,Solar cell,1,kmeans_plain
83,Spectroscopy,1,kmeans_plain
84,Tesla coil,1,kmeans_plain
85,Thermocouple,1,kmeans_plain
86,Accelerometer,1,kmeans_plain
87,Actuator,1,kmeans_plain
88,American wire gauge,1,kmeans_plain
89,Anechoic chamber,1,kmeans_plain
90,Angiography,1,kmeans_plain
91,Arc lamp,1,kmeans_plain
92,Arithmetic logic unit,1,kmeans_plain
93,Atomic clock,1,kmeans_plain
94,Beamforming,1,kmeans_plain
95,Biosensor,1,kmeans_plain
96,Button cell,1,kmeans_plain
97,Calibration,1,kmeans_plain
98,Compact fluorescent lamp,1,kmeans_plain
99,Comparator,1,kmeans_plain
100,Coordinate-measuring machine,1,kmeans_plain
101,Current source,1,kmeans_plain
102,Data transmission,1,kmeans_plain
103,Display device,1,kmeans_plain
104,Electrochemical cell,1,kmeans_plain
105,Electronic circuit,1,kmeans_plain
106,Electronic paper,1,kmeans_plain
107,Electronics,1,kmeans_plain
108,Fiber-optic communication,1,kmeans_plain
109,Filter (signal processing),1,kmeans_plain
110,Flow cytometry,1,kmeans_plain
111,Fresnel lens,1,kmeans_plain
112,Galvanic cell,1,kmeans_plain
113,Geiger counter,1,kmeans_plain
114,Hall effect sensor,1,kmeans_plain
115,Heat sink,1,kmeans_plain
116,Holography,1,kmeans_plain
117,Hyperspectral imaging,1,kmeans_plain
118,Inductive charging,1,kmeans_plain
119,Inductor,1,kmeans_plain
120,Inkjet printing,1,kmeans_plain
121,Instrumentation,1,kmeans_plain
122,Integrated circuit,1,kmeans_plain
123,LED lamp,1,kmeans_plain
124,Laser cutting,1,kmeans_plain
125,Laser pointer,1,kmeans_plain
126,Laser printing,1,kmeans_plain
127,Lidar,1,kmeans_plain
128,Lithium-ion battery,1,kmeans_plain
129,Logic gate,1,kmeans_plain
130,Magnetometer,1,kmeans_plain
131,Mammography,1,kmeans_plain
132,Medical imaging,1,kmeans_plain
133,Mercury-vapor lamp,1,kmeans_plain
134,Microelectromechanical systems,1,kmeans_plain
135,Micrometer,1,kmeans_plain
