,label,tfidf,pmi,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,weapons,0.016233452059839948,0.09872018507521774,1,0,0,0,0,kmeans_plain,0,0,1
1,military technology,0.01526571273524035,0.09546844888629948,1,0,0,0,0,kmeans_plain,0,0,1
2,aircraft,0.01393264042821687,0.09302641022573865,1,0,0,0,0,kmeans_plain,0,0,1
3,military science,0.013378308110633279,0.08962657922820062,1,0,0,0,0,kmeans_plain,0,0,1
4,aerospace engineering,0.012226643052505221,0.078708432304038,1,0,0,0,0,kmeans_plain,0,0,1
5,aircraft components,0.011213332375476602,0.07666405743899804,1,0,0,0,0,kmeans_plain,0,0,1
6,warfare by type,0.011032096221364711,0.07440923222020399,1,0,0,0,0,kmeans_plain,0,0,1
7,vehicles by type,0.010611321207697175,0.06553287527505355,1,0,0,0,0,kmeans_plain,0,0,1
8,military equipment by type,0.01032224356639692,0.0708118393138837,1,0,0,0,0,kmeans_plain,0,0,1
9,aviation,0.0100998097247583,0.0714274414937113,1,0,0,0,0,kmeans_plain,0,0,1
10,optics,0.020166019571983967,0.08154029708588335,1,0,0,0,0,kmeans_plain,0,0,1
11,measurement,0.01863303207603587,0.06799145451369898,1,0,0,0,0,kmeans_plain,0,0,1
12,electrical engineering,0.01852019667474831,0.06331364244315649,1,0,0,0,0,kmeans_plain,0,0,1
13,electricity,0.018366882537926264,0.07034849160350722,1,0,0,0,0,kmeans_plain,0,0,1
14,electronics,0.017800527443037714,0.059721379042126335,1,0,0,0,0,kmeans_plain,0,0,1
15,electronic engineering,0.016716143793523017,0.06739839356852143,1,0,0,0,0,kmeans_plain,0,0,1
16,electromagnetism,0.016559692759911208,0.06574625383505346,1,0,0,0,0,kmeans_plain,0,0,1
17,measuring instruments,0.01641464535610423,0.06271065537226929,1,0,0,0,0,kmeans_plain,0,0,1
18,electrical components,0.016239673858789175,0.06721653821020039,1,0,0,0,0,kmeans_plain,0,0,1
19,electromagnetic radiation,0.015850918071877097,0.07063562830392968,1,0,0,0,0,kmeans_plain,0,0,1
20,computer-related introductions by year,0.01082744813522948,0.040601353908609056,1,0,0,0,0,kmeans_plain,0,0,1
21,computers,0.009996589592207667,0.035895438884230704,1,0,0,0,0,kmeans_plain,0,0,1
22,product introductions by year,0.008801221039171544,0.033641923985733346,1,0,0,0,0,kmeans_plain,0,0,1
23,technology by year,0.008696141989175581,0.03402257244885665,1,0,0,0,0,kmeans_plain,0,0,1
24,mobile phones,0.008402439037195503,0.033737027593019824,1,0,0,0,0,kmeans_plain,0,0,1
25,companies by industry and year of establishment,0.008222044661585664,0.03197018254957351,1,0,0,0,0,kmeans_plain,0,0,1
26,computer networking,0.008184893601089692,0.031400229609043886,1,0,0,0,0,kmeans_plain,0,0,1
27,technology companies by year of establishment,0.007940237251425604,0.03176375095456335,1,0,0,0,0,kmeans_plain,0,0,1
28,mobile computers,0.0077896523022294144,0.031660281967354535,1,0,0,0,0,kmeans_plain,0,0,1
29,21st-century introductions,0.007737113739715333,0.031027484584383563,1,0,0,0,0,kmeans_plain,0,0,1
30,vehicle technology,0.04977580630341088,0.22335083053118554,1,0,0,0,0,kmeans_plain,0,0,1
31,engines,0.042711520290783136,0.21454987536609224,1,0,0,0,0,kmeans_plain,0,0,1
32,automotive technologies,0.03400138852119503,0.20130363274784174,1,0,0,0,0,kmeans_plain,0,0,1
33,vehicle parts,0.03351054639467113,0.1738110049768405,1,0,0,0,0,kmeans_plain,0,0,1
34,automotive industry,0.033228629691167876,0.19672855018539082,1,0,0,0,0,kmeans_plain,0,0,1
35,motor vehicles,0.03204819010385825,0.1869810997192268,1,0,0,0,0,kmeans_plain,0,0,1
36,internal combustion engine,0.031316685906708344,0.18820965534293235,1,0,0,0,0,kmeans_plain,0,0,1
37,rotating machines,0.028680007601707906,0.15547754137024844,1,0,0,0,0,kmeans_plain,0,0,1
38,machines,0.027937196726623526,0.09546276169269946,1,0,0,0,0,kmeans_plain,0,0,1
39,engine technology,0.027603365839017704,0.17561139018041713,1,0,0,0,0,kmeans_plain,0,0,1
40,equipment,0.01255096650629928,0.03365699283739902,1,0,0,0,0,kmeans_plain,0,0,1
41,tools,0.012514403257148032,0.0356575053704016,1,0,0,0,0,kmeans_plain,0,0,1
42,hardlines (retail),0.012477674530935626,0.037546763134469335,1,0,0,0,0,kmeans_plain,0,0,1
43,manufactured goods,0.012442885348572137,0.03395059980824255,1,0,0,0,0,kmeans_plain,0,0,1
44,inventions by country,0.010173091636245876,0.03110496173282468,1,0,0,0,0,kmeans_plain,0,0,1
45,inventions,0.00928110358044391,0.029866317124544194,1,0,0,0,0,kmeans_plain,0,0,1
46,technology by type,0.009206126373421896,0.022375882957525923,1,0,0,0,0,kmeans_plain,0,0,1
47,chinese inventions,0.00903993515742143,0.03485015607569238,1,0,0,0,0,kmeans_plain,0,0,1
48,science and technology by country,0.008640867780934612,0.025896995411774412,1,0,0,0,0,kmeans_plain,0,0,1
49,construction,0.008275031382409858,0.026196518138552456,1,0,0,0,0,kmeans_plain,0,0,1
50,building engineering,0.021416819598160886,0.06776490093432688,1,0,0,0,0,kmeans_plain,0,0,1
51,industrial processes,0.021002554831236274,0.06559540316430135,1,0,0,0,0,kmeans_plain,0,0,1
52,chemistry,0.019620971018557053,0.06293150739254863,1,0,0,0,0,kmeans_plain,0,0,1
53,manufacturing,0.01798179237252455,0.056118945886537076,1,0,0,0,0,kmeans_plain,0,0,1
54,chemical engineering,0.017713276626135192,0.06587525688117932,1,0,0,0,0,kmeans_plain,0,0,1
55,materials,0.017547678037469008,0.057134319994435454,1,0,0,0,0,kmeans_plain,0,0,1
56,building materials,0.0170100749321526,0.06078331432184108,1,0,0,0,0,kmeans_plain,0,0,1
57,engineering disciplines,0.016762908315208856,0.04337652573631442,1,0,0,0,0,kmeans_plain,0,0,1
58,artificial materials,0.015617094808368861,0.053066179154283334,1,0,0,0,0,kmeans_plain,0,0,1
59,architecture,0.015564350940957698,0.05427595915791517,1,0,0,0,0,kmeans_plain,0,0,1
60,main topic classifications,0.015949830487857586,0.04920418371987267,1,0,0,0,0,kmeans_plain,0,0,1
61,technology,0.014315496461279623,0.03698621516246313,1,0,0,0,0,kmeans_plain,0,0,1
62,academic disciplines,0.012600996643901017,0.04737415094786169,1,0,0,0,0,kmeans_plain,0,0,1
63,technological change,0.01199677859280582,0.04354077393252561,1,0,0,0,0,kmeans_plain,0,0,1
64,subfields by academic discipline,0.011594698329959298,0.037100256628681334,1,0,0,0,0,kmeans_plain,0,0,1
65,society,0.011397535732577733,0.04612761119795368,1,0,0,0,0,kmeans_plain,0,0,1
66,categories by type,0.01057830655830492,0.02909565582849836,1,0,0,0,0,kmeans_plain,0,0,1
67,technology in society,0.010560966411915843,0.0422256503493935,1,0,0,0,0,kmeans_plain,0,0,1
68,humans,0.010272179128571108,0.04349853664812016,1,0,0,0,0,kmeans_plain,0,0,1
69,science,0.010247530306047832,0.04048427185503915,1,0,0,0,0,kmeans_plain,0,0,1
