,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,part,0.014212021942894356,0.04248465800762631,0,0,0,0,1,0,kmeans_plain,0,0,1
1,particle,0.013936946820895474,0.040761294455288734,0,0,0,0,1,0,kmeans_plain,0,0,1
2,dry,0.013929517639911631,0.040894323215896984,0,0,0,0,1,0,kmeans_plain,0,0,1
3,fiber,0.013877671097922005,0.04049348043127238,0,0,0,0,1,0,kmeans_plain,0,0,1
4,remove,0.013869630355572005,0.040377064007247984,0,0,0,0,1,0,kmeans_plain,0,0,1
5,liquid,0.013869630355572005,0.040377064007247984,0,0,0,0,1,0,kmeans_plain,0,0,1
6,cell,0.013810606377065432,0.03988355649695531,0,0,0,0,1,0,kmeans_plain,0,0,1
7,coating,0.01380691786543427,0.039942840861870894,0,0,0,0,1,0,kmeans_plain,0,0,1
8,property,0.013710710862214462,0.03937515773521535,0,0,0,0,1,0,kmeans_plain,0,0,1
9,wire,0.013672699527184655,0.03907118115905312,0,0,0,0,1,0,kmeans_plain,0,0,1
10,space,0.008862755874901103,0.02248364087050237,1,0,0,0,1,0,kmeans_plain,0,0,1
11,boat,0.008852607530089037,0.022494169121152787,1,0,0,0,1,0,kmeans_plain,0,0,1
12,bridge,0.008850560721076808,0.022334038036186984,1,0,0,0,1,0,kmeans_plain,0,0,1
13,mill,0.008845465516506619,0.02233037009959161,1,0,0,0,1,0,kmeans_plain,0,0,1
14,later,0.008840317673397309,0.022326682596319574,1,0,0,0,1,0,kmeans_plain,0,0,1
15,operation,0.008834172343545684,0.022262976785997302,1,0,0,0,1,0,kmeans_plain,0,0,1
16,transmission,0.008830728143630524,0.02227494025086521,1,0,0,0,1,0,kmeans_plain,0,0,1
17,military,0.00882986347917083,0.022319248260113923,1,0,0,0,1,0,kmeans_plain,0,0,1
18,fly,0.008828237972385624,0.02236476056406475,1,0,0,0,1,0,kmeans_plain,0,0,1
19,range,0.008754252001820452,0.02241986116753356,1,0,0,0,1,0,kmeans_plain,0,0,1
20,steam,0.010224935602424297,0.02529316952453855,2,0,0,0,1,0,kmeans_plain,0,0,1
21,building,0.010131275082216501,0.025106847445149166,2,0,0,0,1,0,kmeans_plain,0,0,1
22,unit,0.010073254486589923,0.024988068746413985,2,0,0,0,1,0,kmeans_plain,0,0,1
23,motor,0.009986787755937991,0.024811993100520284,2,0,0,0,1,0,kmeans_plain,0,0,1
24,cut,0.009915242635493282,0.02466714784015531,2,0,0,0,1,0,kmeans_plain,0,0,1
25,end,0.009663593114548268,0.02417938346645609,2,0,0,0,1,0,kmeans_plain,0,0,1
26,tool,0.00958020969120714,0.024014991057618996,2,0,0,0,1,0,kmeans_plain,0,0,1
27,common,0.009559460943790602,0.02397424163840358,2,0,0,0,1,0,kmeans_plain,0,0,1
28,load,0.009192440743744274,0.023263698801700074,2,0,0,0,1,0,kmeans_plain,0,0,1
29,typically,0.00908597514835188,0.0230611856456461,2,0,0,0,1,0,kmeans_plain,0,0,1
30,approach,0.016301410765791776,0.04705670041086123,3,0,0,0,1,0,kmeans_plain,0,0,1
31,element,0.016233663684225453,0.04676158156225124,3,0,0,0,1,0,kmeans_plain,0,0,1
32,value,0.016166390452856456,0.04631704165320763,3,0,0,0,1,0,kmeans_plain,0,0,1
33,case,0.01606013801683827,0.04586420164926548,3,0,0,0,1,0,kmeans_plain,0,0,1
34,function,0.015941955770065595,0.04536522574736957,3,0,0,0,1,0,kmeans_plain,0,0,1
35,testing,0.01591665260209213,0.045119253626178746,3,0,0,0,1,0,kmeans_plain,0,0,1
36,effect,0.01591630293051459,0.045187205579375715,3,0,0,0,1,0,kmeans_plain,0,0,1
37,level,0.01576331983905583,0.044355563951618354,3,0,0,0,1,0,kmeans_plain,0,0,1
38,field,0.01576281956747052,0.04441834298039437,3,0,0,0,1,0,kmeans_plain,0,0,1
39,determine,0.01576224686675492,0.044481713392426445,3,0,0,0,1,0,kmeans_plain,0,0,1
40,idea,0.011380615671383078,0.029321421713734995,4,0,0,0,1,0,kmeans_plain,0,0,1
41,communication,0.011345220247882284,0.029093055544798567,4,0,0,0,1,0,kmeans_plain,0,0,1
42,term,0.010699672909481624,0.02613665659501169,4,0,0,0,1,0,kmeans_plain,0,0,1
43,focus,0.010640215038610859,0.0259673479143503,4,0,0,0,1,0,kmeans_plain,0,0,1
44,establish,0.01064005399277027,0.02595544508760429,4,0,0,0,1,0,kmeans_plain,0,0,1
45,management,0.010584871241790637,0.025794752945376795,4,0,0,0,1,0,kmeans_plain,0,0,1
46,innovation,0.01047611340618056,0.025502046528975354,4,0,0,0,1,0,kmeans_plain,0,0,1
47,organization,0.010456766809889054,0.025445715806585643,4,0,0,0,1,0,kmeans_plain,0,0,1
48,engineering,0.010448105334390135,0.025397301260901176,4,0,0,0,1,0,kmeans_plain,0,0,1
49,human,0.01043745790575245,0.02538983799452671,4,0,0,0,1,0,kmeans_plain,0,0,1
50,electricity,0.009982618096403245,0.024600264567662587,5,0,0,0,1,0,kmeans_plain,0,0,1
51,tube,0.009958472918039559,0.024524291947984007,5,0,0,0,1,0,kmeans_plain,0,0,1
52,output,0.009890792328077786,0.024332639798899956,5,0,0,0,1,0,kmeans_plain,0,0,1
53,fire,0.009860765812151496,0.02424811354113163,5,0,0,0,1,0,kmeans_plain,0,0,1
54,battery,0.009677528167396152,0.023736524020117025,5,0,0,0,1,0,kmeans_plain,0,0,1
55,source,0.009674488371752825,0.02373594364338344,5,0,0,0,1,0,kmeans_plain,0,0,1
56,fuel,0.009639749709422099,0.023635639098386653,5,0,0,0,1,0,kmeans_plain,0,0,1
57,weapon,0.00963831330074933,0.02363011328893786,5,0,0,0,1,0,kmeans_plain,0,0,1
58,color,0.009377438792214735,0.022974320479020288,5,0,0,0,1,0,kmeans_plain,0,0,1
59,plant,0.009248906279086542,0.022660614404634172,5,0,0,0,1,0,kmeans_plain,0,0,1
60,introduce,0.010262198687364759,0.025920594255533478,6,0,0,0,1,0,kmeans_plain,0,0,1
61,sell,0.01010569048825814,0.02543370823993294,6,0,0,0,1,0,kmeans_plain,0,0,1
62,like,0.01004519624625781,0.025221764716343464,6,0,0,0,1,0,kmeans_plain,0,0,1
63,app,0.009999951551943156,0.025071659487381263,6,0,0,0,1,0,kmeans_plain,0,0,1
64,number,0.009970681586988887,0.02495935818418208,6,0,0,0,1,0,kmeans_plain,0,0,1
65,platform,0.009918488932244618,0.024791563409008652,6,0,0,0,1,0,kmeans_plain,0,0,1
66,apple,0.009911969807227227,0.02475020606020744,6,0,0,0,1,0,kmeans_plain,0,0,1
67,format,0.009896027434010534,0.024724604426134895,6,0,0,0,1,0,kmeans_plain,0,0,1
68,access,0.009890020573982685,0.024674558220173722,6,0,0,0,1,0,kmeans_plain,0,0,1
69,google,0.009878020627764697,0.024499931423602253,6,0,0,0,1,0,kmeans_plain,0,0,1
70,carry,0.008746781485930685,0.022345799666830406,1,0,0,0,1,0,kmeans_plain,0,0,1
71,hardware,0.009860279712124198,0.024586806957332473,6,0,0,0,1,0,kmeans_plain,0,0,1
