,label,tfidf,pmi,country,h_cat,key_phrases,key_words,lda_label,links,cluster_alg,augmented,LDA,plain
0,world war ii,0.03436164012171089,0.23224566034261263,0,0,0,0,0,1,kmeans_plain,0,0,1
1,aircraft,0.027504147430176602,0.19395305508762956,0,0,0,0,0,1,kmeans_plain,0,0,1
2,submarine,0.022979764477481228,0.169855857334318,0,0,0,0,0,1,kmeans_plain,0,0,1
3,ship,0.016549477237678783,0.12342467141940061,0,0,0,0,0,1,kmeans_plain,0,0,1
4,radar,0.01641480183266069,0.11656774522943392,0,0,0,0,0,1,kmeans_plain,0,0,1
5,buoyancy,0.016150165797761813,0.12276815720972296,0,0,0,0,0,1,kmeans_plain,0,0,1
6,missile,0.014815570330476334,0.11280749538332314,0,0,0,0,0,1,kmeans_plain,0,0,1
7,propeller,0.01420220416075187,0.10705201092499034,0,0,0,0,0,1,kmeans_plain,0,0,1
8,gyroscope,0.013605882033301424,0.10087593337162551,0,0,0,0,0,1,kmeans_plain,0,0,1
9,torpedo,0.012206622099710783,0.09325419618354713,0,0,0,0,0,1,kmeans_plain,0,0,1
10,light,0.017831669283776982,0.08779691105982604,1,0,0,0,0,1,kmeans_plain,0,0,1
11,integrated circuit,0.015610301924462855,0.07651916356782906,1,0,0,0,0,1,kmeans_plain,0,0,1
12,magnetic field,0.015455907775910613,0.07562681180610512,1,0,0,0,0,1,kmeans_plain,0,0,1
13,voltage,0.014852335766999047,0.07318494296095501,1,0,0,0,0,1,kmeans_plain,0,0,1
14,electron,0.014700637632263685,0.07229179338383589,1,0,0,0,0,1,kmeans_plain,0,0,1
15,transistor,0.014700637632263685,0.07229179338383589,1,0,0,0,0,1,kmeans_plain,0,0,1
16,semiconductor,0.014506544088759355,0.07139448564080932,1,0,0,0,0,1,kmeans_plain,0,0,1
17,laser,0.013859500078211963,0.06826314855130014,1,0,0,0,0,1,kmeans_plain,0,0,1
18,electromagnetic radiation,0.013456611039220466,0.0663003104140423,1,0,0,0,0,1,kmeans_plain,0,0,1
19,intel,0.012950785968975913,0.06317764178243537,1,0,0,0,0,1,kmeans_plain,0,0,1
